,,,Xfinder Recommendations,,,Xfinder Accuracy on Commit/Patch Files,,,
BUG #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\misc\TestPageListener.java,tod nick eduardo karice kevinh,greg ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\IPageListener.java,tod nick eduardo karice kevinh,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.ui.forms\src\org\eclipse\update\ui\forms\internal\ScrollableSectionForm.java,dejan ,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\wizards\templates\NewPluginTemplateChoiceWizard.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\PageSelectionService.java,nick ,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.ui\src\org\eclipse\update\internal\ui\wizards\ReviewPage.java,vlad dejan celek,maeschlimann cvs maeschli dbaeumer egamma dejan vlad erich mhuebscher dmegert ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\part\MultiPageEditor.java,sarsenau tod nick eduardo karice kevinh,tod nick eduardo karice kevinh randyg sarsenau,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.ui.forms\src\org\eclipse\update\ui\forms\internal\engine\BulletParagraph.java,dejan,jburns darin darins ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\part\PageBook.java,tod nick eduardo karice kevinh , ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
11172,egamma,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Standard Components\org\eclipse\ui\views\contentoutline\ContentOutline.java,randyg tod nick eduardo karice kevinh, ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\ui\templates\IFieldData.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\configuration\IVolume.java,vlad ,vlad celek,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\ui\templates\NewPluginTemplateWizard.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\configuration\IInstallConfigurationChangedListener.java, , ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\core\plugin\IPluginImport.java,dejan vlad ,dejan vlad ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\configuration\ILocalSystemInfoListener.java, , ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\core\plugin\IPluginLibrary.java,dejan vlad ,dejan vlad ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\configuration\ILocalSite.java, , ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\ui\templates\ITemplateSection.java,dejan ,dejan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
11401,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\configuration\IInstallConfiguration.java,vlad celek,vlad celek,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\syncinfo\ReentrantLock.java, ,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.debug\jdi\org\eclipse\jdi\internal\connect\PacketManager.java,darin darins ,darins darin jszursze jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.core.resources\src\org\eclipse\core\resources\WorkspaceLock.java,dj jeff rperetti ,dj johna rperetti rodrigo jeff maeschlimann akiezun dwilson ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\UIWorkspaceLock.java,tod nick eduardo davids karice kevinh,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\views\launch\LaunchViewEventHandler.java,jburns darins darin jszursze ,jburns darins darin jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.update.core\src\org\eclipse\update\internal\core\ConfigurationPolicy.java,celek vlad,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.debug\jdi\org\eclipse\jdi\internal\ThreadGroupReferenceImpl.java,darins darin ,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.debug.ui\ui\org\eclipse\jdt\internal\debug\ui\actions\StackFrameAction.java,darins ,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze cvs maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.debug\jdi\org\eclipse\jdi\internal\ThreadReferenceImpl.java,darins jburns darin ,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
12101,maeschlimann,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\PerThreadObject.java,pmulet jlanneluc ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse JFace\org\eclipse\jface\action\IContributionManagerOverrides.java,randyg tod eduardo ,tod eduardo nick karice kevinh randyg,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\IWorkbenchWindowPulldownDelegate.java,tod nick eduardo karice kevinh,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\part\IPageSite.java,randyg tod,tod nick eduardo karice kevinh randyg sarsenau ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\PopupMenuExtender.java,tod nick eduardo davids karice kevinh,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse JFace\org\eclipse\jface\action\IStatusLineManager.java,tod nick eduardo karice kevinh,tod eduardo nick karice kevinh randyg ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse JFace\org\eclipse\jface\action\IMenuCreator.java,tod nick eduardo karice kevinh,tod eduardo nick karice kevinh randyg,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\IWorkbenchPartSite.java,randyg tod nick eduardo karice kevinh,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\actions\DebugHistoryMenuAction.java,darins jszursze ,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze cvs maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\IWorkbenchWindowPulldownDelegate2.java,lkues ,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13529,dbaeumer,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.search\search\org\eclipse\search\ui\IContextMenuContributor.java,dmegert cvs ,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\client\RemovedHandler.java,mvalenta jlemieux ,jlemieux mvalenta dj tellison jeff,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\actions\CheckoutAsAction.java,mvalenta jlemieux james,darins dbaeumer akiezun darin jburns dmegert maeschlimann jszursze cvs maeschli ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\client\CopyHandler.java,mvalenta jlemieux ,jlemieux mvalenta dj tellison jeff ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\AnonymousFileSource.java,pmulet jlanneluc othomann ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\indexing\IndexAllProject.java,pmulet jlanneluc othomann ,dj daved rperetti johna rodrigo pmulet othomann jlanneluc ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.launching\launching\org\eclipse\jdt\launching\sourcelookup\JavaSourceLocator.java,darin darins jszursze ,darin darins jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\schema\FileSchemaDescriptor.java,dejan vlad ,dejan vlad kkolosow ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde\src\org\eclipse\pde\internal\builders\ExtensionPointSchemaBuilder.java,dejan vlad ,dejan johna dj rodrigo vlad kkolosow ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.core\src\org\eclipse\team\internal\ccvs\core\client\ModifiedFileSender.java,mvalenta jlemieux ,jlemieux mvalenta dj tellison jeff ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
13904,johna,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\editor\SystemFileStorage.java,dejan ,dejan vlad ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\ExceptionHandler.java,aweinand ,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\model\CVSModelElement.java,james ,jburns darin dejan vlad darins akiezun pmulet ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.pde.core\src\org\eclipse\pde\internal\core\plugin\XMLErrorHandler.java,dejan ,dejan vlad ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.swt\Eclipse SWT OLE Win32\win32\org\eclipse\swt\ole\win32\OleAutomation.java,veronika carolyn torres seven ,kkolosow dbirsan rperetti kcornell silenio dj rodrigo vlad torres mfaraj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse JFace\org\eclipse\jface\util\SafeRunnable.java,nick tod ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse JFace\org\eclipse\jface\dialogs\IDialogSettings.java,tod nick eduardo karice kevinh ,maeschlimann cvs cknaus akiezun maeschli dbaeumer dmegert egamma dwright ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\IErrorHandlingPolicy.java,pmulet othomann ,pmulet othomann jlanneluc ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
