BUG #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall
49828,ccornu,\org.eclipse.help.base\src\org\eclipse\help\internal\browser\CustomBrowserFactory.java,kkolosow dbirsan ,kkolosow dbirsan droberts nick ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.base\src\org\eclipse\help\internal\browser\CurrentBrowser.java,kkolosow ,kkolosow dbirsan droberts nick ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.ui\src\org\eclipse\help\ui\internal\browser\SystemBrowserFactory.java,kkolosow dbirsan droberts ,kkolosow dbirsan droberts nick ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.ui\src\org\eclipse\help\ui\internal\browser\embedded\EmbeddedBrowser.java,kkolosow ,kkolosow dbirsan ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.base\src\org\eclipse\help\internal\browser\BrowserManager.java,kkolosow dbirsan ,kkolosow dbirsan droberts nick ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.ui.intro\src\org\eclipse\ui\internal\intro\impl\presentations\BrowserIntroPartLocationListener.java,cgoldthor dejan curtispd mfaraj,cmclaren ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.base\src\org\eclipse\help\internal\browser\macosx\DefaultBrowserFactory.java,kkolosow dbirsan ,aweinand droberts kkolosow dbirsan veronika ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.base\src\org\eclipse\help\browser\IBrowserFactory.java,kkolosow dbirsan ,kkolosow dbirsan droberts nick ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.base\src\org\eclipse\help\internal\browser\macosx\DefaultBrowserAdapter.java,kkolosow dbirsan ,aweinand droberts kkolosow dbirsan veronika ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
49828,ccornu,\org.eclipse.help.ui\src\org\eclipse\help\ui\internal\browser\BrowsersPreferencePage.java,kkolosow dbirsan droberts ,kkolosow dbirsan droberts nick ,dbaeumer droberts dmegert othomann akiezun darins darin dejan jlanneluc ptff,0,0,0,0
