,,,Xfinder Recommendations,,,Xfinder Accuracy on Commit/Patch Files,,,,,Maintainer Accuracy on Commit/Patch Files,,,,,Maintainer Accuracy on Commit/Patch Files,,,
Bug #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall,Listed contacts of maintainers,File Level,Package Level,System Level,Overall,Liste of randomly selected developers from before the alpaha release,File Level,Package Level,System Level,Overall
124527,mecir,export\listeformat.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,girish zander mkruisselbrink,girish zander sebsauer staniek mkruisselbrink zachmann ducroquet fmerz roop,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,export\listeformat.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,odf\KoOdfNumberStyles.cpp,girish,girish fmerz zachmann langkamp jaham sengels,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,main\KoPageFormat.cpp,,fmerz rempt staniek villani jaham langkamp berger boemann,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,girish zander mkruisselbrink,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,wml\wmlparser.cpp,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,girish zander mkruisselbrink,girish zander sebsauer staniek mkruisselbrink zachmann ducroquet fmerz roop,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,dialogs\LayoutDialog.cpp,nikolaus,zander nikolaus girish ducroquet sebsauer rempt jaham zachmann mkruisselbrink,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,export\listeformat.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
125306,mkruisselbrink,calendar\CalendarToolFactory.cpp,,nikolaus,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,commands\TextCommandBase.cpp,,zander nikolaus ducroquet sebsauer mkruisselbrink girish jaham langkamp boemann ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,commands\TextCommandBase.h,,zander nikolaus ducroquet sebsauer mkruisselbrink girish jaham langkamp boemann ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,commands\TextInsertParagraphCommand.cpp,,zander nikolaus ducroquet sebsauer mkruisselbrink girish jaham langkamp boemann ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,commands\TextInsertTextCommand.cpp,,zander nikolaus ducroquet sebsauer mkruisselbrink girish jaham langkamp boemann ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,models\kptcalendarmodel.cpp,danders,danders,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,tool_curves\kis_tool_example.h,,berger,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,RulerAssistantTool\kis_ruler_assistant_tool.h,berger,berger,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,tool_curves\kis_tool_moutline.h,,berger,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
125306,mkruisselbrink,tool_polygon\kis_tool_polygon.h,,rempt,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
130922,mkruisselbrink,kformula1.3\KFormula13Import.cpp,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,import\wpimport.h,,ingwa,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,wml\wmlimport.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,abiword\abiwordimport.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,pdf\pdfimport.cpp,,jaham rempt ingwa,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,amipro\amiproimport.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,import\excelimport.h,,ingwa,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,pdf\kis_pdf_import.cpp,rempt,jaham rempt ingwa ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,import\xsltimport.h,,ingwa,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
130922,mkruisselbrink,xaml\xamlimport.h,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,page quique habacker scripty sebsauer anagl jriddell lukast fela ingwa,0,0,0,0
137639,langkamp,common\KarbonGradientHelper.cpp,,piggz jaham fmerz mkruisselbrink ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,svg\SvgGradientHelper.cpp,,,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,flake\KoGradientBackground.cpp,,jaham zander zachmann staniek mkruisselbrink rempt boemann jsimon nikolaus clicea,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,widgets\KarbonGradientChooser.cpp,,rempt jaham fmerz mkruisselbrink zander berger ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,tools\KarbonGradientEditStrategy.cpp,jaham mkruisselbrink ,jaham boemann zachmann mkruisselbrink ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,tools\KarbonGradientEditStrategy.cpp,jaham mkruisselbrink ,jaham boemann zachmann mkruisselbrink ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,opengl\kis_opengl_gradient_program.cpp,tburdick,tburdick rempt ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,widgets\KarbonGradientItem.cpp,,rempt jaham fmerz mkruisselbrink zander berger ,rempt fmerz staniek girish zander nikolaus villani berger jaham zachmann,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
