,,,Xfinder Recommendations,,,Xfinder Accuracy on Commit/Patch Files,,,,,Maintainer Accuracy on Commit/Patch Files,,,,,Maintainer Accuracy on Commit/Patch Files,,,
Bug #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall,Listed contacts of maintainers,File Level,Package Level,System Level,Overall,Liste of randomly selected developers from before the alpaha release,File Level,Package Level,System Level,Overall
124527,mecir,export\listeformat.h,,ingwa ossi zachmann,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,zander girish fyanardi rempt mkruisselbrink sebsauer ducroquet,zander zachmann girish sebsauer fyanardi ducroquet rempt staniek mlaurent buis,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,export\listeformat.h,,ingwa ossi zachmann,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,odf\KoOdfNumberStyles.cpp,zachmann girish,girish zachmann dfaure fmerz zander nikolaus langkamp sengels bcail rempt,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,main\KoPageFormat.cpp,rempt jlayt,zander rempt jaham zachmann staniek dfaure fmerz psn sebsauer nikolaus,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,zander girish fyanardi rempt mkruisselbrink sebsauer ducroquet,zander zachmann girish sebsauer fyanardi ducroquet rempt staniek mlaurent buis,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,wml\wmlparser.cpp,,,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,zander girish fyanardi rempt mkruisselbrink sebsauer ducroquet,zander zachmann girish sebsauer fyanardi ducroquet rempt staniek mlaurent buis,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,dialogs\LayoutDialog.cpp,nikolaus sebsauer zander pfau,nikolaus zander sebsauer ingwa jaham fyanardi girish mkruisselbrink rempt mlaurent,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
