Commit #,LSI Given Top 10 Relevant Files,Commit Author,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall,Listed contacts of maintainers,File Level,Package Level,System Level,Overall,Liste of randomly selected developers from before the alpaha release,File Level,Package Level,System Level,Overall
846840,dialogs/KWPageSettingsDialog.cpp,ducroquet,zander sebsauer ducroquet nikolaus ,nikolaus zander sebsauer ingwa jaham fyanardi girish mkruisselbrink rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAChangeMasterPageCommand.cpp,ducroquet,zachmann fyanardi ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,part/KWDocument.cpp,ducroquet,zander zachmann ducroquet sebsauer boemann langkamp nikolaus psn ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,tests/TestPageCommands.cpp,ducroquet, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAPageMoveCommand.cpp,ducroquet,zachmann ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KWPagePropertiesCommand.cpp,ducroquet,zander mkruisselbrink ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAPageDeleteCommand.cpp,ducroquet,zachmann ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KWPageRemoveCommand.cpp,ducroquet,zander sebsauer ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAPageInsertCommand.cpp,ducroquet,zachmann ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KWPageInsertCommand.cpp,ducroquet,zander sebsauer ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
