metadata,unique_words,total_words
org.argouml.model.UUIDManager,41,86
org.argouml.kernel.DelayedChangeNotify,19,43
org.argouml.language.java.ui.ActionSynchronize,67,306
org.argouml.ocl.CriticOclEvaluator,52,288
org.argouml.application.helpers.DiagramHelper,48,143
org.argouml.model.AbstractDataTypesHelperDecorator,39,315
org.argouml.model.UmlHelper,57,128
org.argouml.application.api.ArgoSingletonModule,55,124
org.argouml.uml.diagram.sequence.ui.MessageNodeBuilder,17,55
org.argouml.cognitive.ui.WizStepConfirm,49,149
org.argouml.model.CommonBehaviorHelper,78,538
org.argouml.model.UndoCommonBehaviorHelperDecorator,17,33
org.argouml.ui.ExceptionDialog,135,674
"org.argouml.ui.ExceptionDialog.ExceptionDialog(Frame,String,Throwable,boolean).$1",5,8
"org.argouml.ui.ExceptionDialog.ExceptionDialog(Frame,String,Throwable,boolean).$2",5,9
"org.argouml.ui.ExceptionDialog.ExceptionDialog(Frame,String,Throwable,boolean).$3",6,7
"org.argouml.ui.ExceptionDialog.ExceptionDialog(Frame,String,String).$4",5,8
"org.argouml.ui.ExceptionDialog.ExceptionDialog(Frame,String,String).$5",5,9
"org.argouml.ui.ExceptionDialog.ExceptionDialog(Frame,String,String).$6",6,7
org.argouml.application.api.PluggableMenu,86,219
org.argouml.cognitive.Offender,29,41
org.argouml.model.AssociationChangeEvent,36,107
org.argouml.language.java.cognitive.critics.CrMultipleInheritance,66,157
org.argouml.model.MementoCreationObserver,17,25
org.argouml.model.StateMachinesFactory,88,688
org.argouml.cognitive.critics.ui.CriticBrowserDialog,173,1253
org.argouml.cognitive.critics.ui.CriticBrowserDialog.CriticBrowserDialog().$1,4,8
org.argouml.cognitive.critics.ui.TableModelCritics,61,210
org.argouml.cognitive.critics.ui.TableModelCritics.vetoableChange(PropertyChangeEvent).$1,5,5
org.argouml.application.helpers.SettingsTabHelper,62,250
org.argouml.model.DiagramInterchangeModel,36,82
org.argouml.model.mdr.UmlHelperMDRImpl,57,191
org.argouml.cognitive.ui.DismissToDoItemDialog,101,388
org.argouml.cognitive.ui.DismissToDoItemDialog.DismissToDoItemDialog().$1,16,30
org.argouml.cognitive.ui.DismissToDoItemDialog.DismissToDoItemDialog().$2,6,7
org.argouml.cognitive.ui.DismissToDoItemDialog.DismissToDoItemDialog().$3,6,7
org.argouml.cognitive.ui.DismissToDoItemDialog.DismissToDoItemDialog().$4,9,12
org.argouml.ui.explorer.rules.GoModelToNode,30,67
org.argouml.model.MetaTypes,90,414
org.argouml.language.ui.LanguageComboBox,54,160
org.argouml.model.AbstractStateMachinesHelperDecorator,71,891
org.argouml.model.AbstractCollaborationsHelperDecorator,65,809
org.argouml.model.DeleteInstanceEvent,31,73
org.argouml.language.java.generator.CodePieceCollector,72,275
org.argouml.model.ExtensionMechanismsFactory,59,275
org.argouml.kernel.MemberList,50,534
org.argouml.model.CoreHelper,294,2676
org.argouml.cognitive.ui.ToDoPane,202,1100
org.argouml.i18n.Translator,113,423
org.argouml.ui.cmd.NavigateTargetForwardAction,36,83
org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl,146,1028
org.argouml.application.api.Pluggable,93,169
org.argouml.model.RemoveAssociationEvent,37,93
org.argouml.model.UndoCollaborationsHelperDecorator,16,29
