metadata,unique_words,total_words
org.argouml.kernel.UndoEnabler.UndoEnabler(),3,3
org.argouml.ui.ActionAutoResize.ActionAutoResize(),13,22
org.argouml.ui.ActionAutoResize.actionPerformed(ActionEvent),8,22
org.argouml.ui.ActionAutoResize.isAutoResizable(),8,9
org.argouml.persistence.OffenderXMLHelper.OffenderXMLHelper(String),14,30
org.argouml.persistence.OffenderXMLHelper.getOffender(),4,7
org.argouml.model.NotImplementedException.NotImplementedException(),4,5
org.argouml.model.NotImplementedException.NotImplementedException(String),6,11
org.argouml.ui.ProjectSettingsTabProperties.ProjectSettingsTabProperties(),38,196
org.argouml.ui.ProjectSettingsTabProperties.handleSettingsTabRefresh(),17,35
org.argouml.ui.ProjectSettingsTabProperties.handleSettingsTabSave(),16,31
org.argouml.ui.ProjectSettingsTabProperties.handleSettingsTabCancel(),6,15
org.argouml.ui.ProjectSettingsTabProperties.handleResetToDefault(),17,30
org.argouml.ui.ProjectSettingsTabProperties.getTabKey(),6,10
org.argouml.ui.ProjectSettingsTabProperties.getTabPanel(),4,8
"org.argouml.model.AbstractModelEventPump.addModelEventListener(PropertyChangeListener,Object,String[])",20,49
"org.argouml.model.AbstractModelEventPump.addModelEventListener(PropertyChangeListener,Object,String)",19,58
"org.argouml.model.AbstractModelEventPump.addModelEventListener(PropertyChangeListener,Object)",17,37
"org.argouml.model.AbstractModelEventPump.removeModelEventListener(PropertyChangeListener,Object,String[])",21,51
"org.argouml.model.AbstractModelEventPump.removeModelEventListener(PropertyChangeListener,Object,String)",20,60
"org.argouml.model.AbstractModelEventPump.removeModelEventListener(PropertyChangeListener,Object)",18,38
"org.argouml.model.AbstractModelEventPump.addClassModelEventListener(PropertyChangeListener,Object,String[])",18,48
"org.argouml.model.AbstractModelEventPump.addClassModelEventListener(PropertyChangeListener,Object,String)",17,57
"org.argouml.model.AbstractModelEventPump.removeClassModelEventListener(PropertyChangeListener,Object,String[])",19,50
"org.argouml.model.AbstractModelEventPump.removeClassModelEventListener(PropertyChangeListener,Object,String)",18,59
org.argouml.model.AbstractModelEventPump.setSaveAction(Action),21,48
org.argouml.model.AbstractModelEventPump.enableSaveAction(),7,12
org.argouml.model.EventAdapter.addPropertyChangeListener(PropertyChangeListener),15,41
org.argouml.model.EventAdapter.removePropertyChangeListener(PropertyChangeListener),15,41
org.argouml.model.CommonBehaviorFactory.createActionSequence(),8,16
org.argouml.model.CommonBehaviorFactory.createArgument(),7,13
org.argouml.model.CommonBehaviorFactory.createAttributeLink(),8,16
org.argouml.model.CommonBehaviorFactory.createCallAction(),8,16
org.argouml.model.CommonBehaviorFactory.createComponentInstance(),7,16
org.argouml.model.CommonBehaviorFactory.createCreateAction(),7,16
org.argouml.model.CommonBehaviorFactory.createDataValue(),12,22
org.argouml.model.CommonBehaviorFactory.createDestroyAction(),8,16
org.argouml.model.CommonBehaviorFactory.createException(),7,13
org.argouml.model.CommonBehaviorFactory.createLink(),7,13
org.argouml.model.CommonBehaviorFactory.createLinkEnd(),7,13
org.argouml.model.CommonBehaviorFactory.createLinkObject(),7,16
org.argouml.model.CommonBehaviorFactory.createNodeInstance(),7,16
org.argouml.model.CommonBehaviorFactory.createObject(),6,13
org.argouml.model.CommonBehaviorFactory.createReception(),7,13
org.argouml.model.CommonBehaviorFactory.createReturnAction(),7,13
org.argouml.model.CommonBehaviorFactory.createSendAction(),8,16
org.argouml.model.CommonBehaviorFactory.createSignal(),7,13
org.argouml.model.CommonBehaviorFactory.createStimulus(),7,13
org.argouml.model.CommonBehaviorFactory.createSubsystemInstance(),7,15
org.argouml.model.CommonBehaviorFactory.createTerminateAction(),8,16
org.argouml.model.CommonBehaviorFactory.createUninterpretedAction(),8,16
"org.argouml.model.CommonBehaviorFactory.buildCallAction(Object,String)",21,38
org.argouml.model.CommonBehaviorFactory.buildUninterpretedAction(Object),10,22
"org.argouml.model.CommonBehaviorFactory.buildLink(Object,Object)",8,19
org.argouml.model.CommonBehaviorFactory.buildAction(Object),9,18
org.argouml.model.CommonBehaviorFactory.buildSignal(Object),10,15
org.argouml.model.CommonBehaviorFactory.buildStimulus(Object),15,25
org.argouml.model.CommonBehaviorFactory.buildReception(Object),9,15
org.argouml.model.UseCasesFactory.createExtend(),6,11
org.argouml.model.UseCasesFactory.createExtensionPoint(),6,11
org.argouml.model.UseCasesFactory.createActor(),6,11
org.argouml.model.UseCasesFactory.createInclude(),6,11
org.argouml.model.UseCasesFactory.createUseCase(),5,8
org.argouml.model.UseCasesFactory.createUseCaseInstance(),5,11
"org.argouml.model.UseCasesFactory.buildExtend(Object,Object)",17,32
"org.argouml.model.UseCasesFactory.buildExtend(Object,Object,Object)",13,32
org.argouml.model.UseCasesFactory.buildExtensionPoint(Object),12,20
"org.argouml.model.UseCasesFactory.buildInclude(Object,Object)",19,35
