metadata,unique_words,total_words
1183,20,28
1256,19,20
1360,14,20
1395,6,9
1478,34,57
1520,15,17
1802,15,19
1851,48,70
1911,16,23
2538,14,16
2568,16,20
3052,13,15
3128,19,32
3277,6,9
3452,34,56
3831,13,20
3970,17,22
4010,62,91
4022,42,60
412,10,11
4199,63,101
4215,22,28
4277,57,506
4278,19,27
4287,41,47
4292,23,37
4318,17,31
4329,10,12
4356,10,14
4373,32,38
4382,26,32
4408,24,28
4432,16,23
4435,25,42
4446,22,41
4455,106,805
4457,81,561
4460,12,14
4466,26,36
4517,33,52
4553,14,17
4562,84,478
4563,6,8
4571,14,18
4584,18,25
4600,30,43
4610,58,269
4620,28,69
4627,12,15
4630,77,336
603,18,32
77,16,25
