metadata,unique_words,total_words
1009,22,27
1288,29,41
1308,13,18
1597,37,54
1853,39,57
1860,36,40
1925,18,56
2148,12,16
2421,30,74
2454,16,19
2462,31,57
2501,9,13
3110,42,53
3208,12,16
3422,19,25
3494,36,57
3524,27,31
3535,9,15
3719,26,42
3766,45,52
3819,16,26
3930,26,33
3963,21,27
4252,31,43
4258,20,27
4327,22,42
4374,57,277
4394,24,35
440,25,43
4401,23,32
4430,32,49
4569,12,19
4570,13,18
4615,22,27
4629,19,28
4632,21,29
4638,32,78
4647,86,350
4648,24,30
4651,8,9
4654,62,1006
4675,40,197
4677,19,27
4679,37,57
4685,6,7
4690,18,35
4697,61,245
4734,63,288
4735,17,19
4745,118,640
4749,11,17
4752,25,32
4760,41,76
4764,10,13
4774,25,36
4777,39,61
4780,11,16
4784,51,74
4792,43,56
4802,12,18
4808,27,44
4812,15,23
4817,26,33
4824,28,45
4830,63,123
4832,16,20
4862,79,716
4869,47,57
4876,21,25
4882,49,140
4889,42,93
4890,15,25
4894,10,14
4897,28,36
4903,17,22
4905,14,19
4906,4,7
4911,102,487
4912,103,589
4916,18,25
4917,12,18
4923,69,143
4928,62,198
4935,13,17
4936,24,31
4937,17,18
4939,22,23
4947,22,25
4949,16,23
4951,27,31
4953,9,16
4955,120,1428
4956,10,10
4958,39,53
4969,22,32
4980,29,47
4987,52,84
4988,55,83
4989,28,42
4995,42,97
5000,17,27
5013,12,18
5014,32,45
5024,61,194
5027,77,342
5029,38,46
5032,10,15
5038,22,29
5040,75,116
5048,32,51
5064,20,25
5071,22,32
5077,84,352
5088,49,68
5089,25,35
5101,22,32
5115,27,41
5157,69,386
5160,14,17
5171,40,60
5174,20,27
5183,12,19
5186,71,324
5189,17,23
5193,22,27
5195,39,51
5202,28,40
5204,35,40
5205,33,52
5207,29,41
5211,103,557
5229,30,42
5230,32,43
5232,36,43
5234,14,19
5241,19,31
5245,104,575
5247,87,317
5252,12,17
5256,12,19
5258,6,11
5262,19,34
5263,23,43
5264,12,13
5266,11,17
5267,10,13
5268,24,30
5269,17,20
5270,10,13
5271,17,21
5278,107,568
5280,19,31
5282,17,21
5286,17,23
5289,15,19
5295,35,148
5298,26,30
5299,14,18
5302,47,91
5303,24,28
5307,25,36
5308,101,382
5316,15,19
5318,30,50
5320,8,11
5325,25,33
5328,59,283
5330,62,361
5336,21,29
5338,75,672
5342,7,12
5346,37,50
5352,28,47
5353,33,39
5354,18,19
5355,62,89
5356,29,37
5362,20,26
5364,15,18
5365,89,620
5366,10,12
5367,42,48
5368,176,989
5369,52,74
5373,32,38
5376,15,18
5387,14,19
5388,55,192
5393,29,40
5395,62,307
5401,82,295
5402,33,45
5403,12,15
5406,17,23
5410,42,54
5414,16,26
5416,66,212
5418,15,21
5419,19,22
5420,6,12
5421,6,13
5428,47,140
5434,124,688
5438,116,1451
5443,24,31
5446,30,40
5455,26,36
5460,40,51
618,22,32
