algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,50.9512471977,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,50.9208899659,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,52.9554575827,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,47.2156519573,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,49.0851103061,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,54.8093140092,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,46.585018885,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,47.9470125515,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,52.4335596785,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,47.69592282,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,47.9388214998,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,50.7637442608,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,50.9958315956,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,51.0222727931,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,53.0908261639,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,47.2729522903,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,49.216758631,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,54.9755055603,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,46.6465773452,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,48.6091393903,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,52.5922081135,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,47.751914662,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,48.0443420131,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,50.8912428715,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,51.0767663483,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,51.0018466341,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,53.0420926025,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,47.3214377462,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,49.2016552949,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,54.9122754685,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,46.7077896,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,48.0606664335,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,52.5334919181,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,47.8207908204,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,48.1145543708,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,50.8639770482,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,51.5374234418,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,51.3722019613,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,53.1418412934,True,True,False,True
batch,0.05,0.5,0.01,1000,1000,100,1.0,1,1,47.7265314654,True,True,False,True
batch,0.025,0.5,0.005,1000,1000,200,1.0,1,1,49.5213406419,True,True,False,True
batch,0.01,0.5,0.002,1000,1000,500,1.0,1,1,54.9874027425,True,True,False,True
batch,0.05,0.5,0.02,1000,1000,100,1.0,1,1,47.14221483,True,True,False,True
batch,0.025,0.5,0.01,1000,1000,200,1.0,1,1,48.4141090587,True,True,False,True
batch,0.01,0.5,0.004,1000,1000,500,1.0,1,1,52.6947996895,True,True,False,True
batch,0.05,0.5,0.05,1000,1000,100,1.0,1,1,48.2066322737,True,True,False,True
batch,0.025,0.5,0.025,1000,1000,200,1.0,1,1,48.4247060523,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,500,1.0,1,1,51.1334865212,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,61.3593056671,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,58.0281309792,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,49.8611237103,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,57.7883403449,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.1011870486,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,54.9716017246,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,48.1736880665,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,64.4957778635,False,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,62.3263838212,False,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,67.3746726006,False,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,57.1957388498,False,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,64.6636186121,False,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,56.420169241,False,True,False,False
