algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,58.1528524508,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,57.387754821,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,56.6662297631,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,57.139239327,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,56.8798491557,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,57.0207436231,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,57.0407004757,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,56.6370278783,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,56.5328398111,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,57.5299625672,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,56.8098318132,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,56.2703072109,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,58.1677305309,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,57.4116795062,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,56.6900250274,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,57.1609169074,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,56.9135193399,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,57.0489752812,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,57.0617861914,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,56.8192103898,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,56.5604948518,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,57.5515773833,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,56.844364156,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,56.2947949379,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,58.1830938368,True,True,False,True
