metadata,unique_words,total_words
org.apache.bookkeeper.bookie.LedgerDescriptorReadOnlyImpl,24,61
org.apache.bookkeeper.bookie.HandleFactory,9,20
org.apache.hedwig.util.PathUtils,23,69
org.apache.hedwig.client.ssl.SslClientContextFactory,16,31
org.apache.bookkeeper.bookie.LedgerDescriptorImpl,32,119
org.apache.hedwig.client.handlers.MessageConsumeCallback,70,230
org.apache.hedwig.client.handlers.MessageConsumeCallback.MessageConsumeRetryTask,19,73
org.apache.bookkeeper.test.CloseTest,32,116
org.apache.bookkeeper.util.OrderedSafeExecutor,66,150
org.apache.bookkeeper.meta.LedgerLayoutTest,54,357
org.apache.bookkeeper.meta.HierarchicalLedgerDeleteTest,14,39
org.apache.bookkeeper.util.ZkUtils,25,72
"org.apache.bookkeeper.util.ZkUtils.createFullPathOptimistic(ZooKeeper,String,byte[],List<ACL>,CreateMode,AsyncCallback.StringCallback,Object).$1",28,45
"org.apache.bookkeeper.util.ZkUtils.createFullPathOptimistic(ZooKeeper,String,byte[],List<ACL>,CreateMode,AsyncCallback.StringCallback,Object).$1.processResult(int,String,Object,String).$1",21,37
org.apache.bookkeeper.test.BookieJournalRollingTest,105,560
org.apache.hedwig.server.handlers.PublishHandler,47,111
"org.apache.hedwig.server.handlers.PublishHandler.handleRequestAtOwner(PubSubRequest,Channel).$1",26,52
org.apache.hedwig.server.netty.PubSubServerBean,27,109
org.apache.bookkeeper.client.DigestManager,65,404
org.apache.bookkeeper.client.DigestManager.RecoveryData,5,16
org.apache.bookkeeper.bookie.BookieMXBean,6,10
org.apache.hedwig.client.handlers.SubscribeReconnectCallback,77,226
org.apache.hedwig.client.handlers.SubscribeReconnectCallback.SubscribeReconnectRetryTask,25,41
org.apache.bookkeeper.client.AsyncCallback,2,2
org.apache.bookkeeper.client.AsyncCallback.AddCallback,13,24
org.apache.bookkeeper.client.AsyncCallback.CloseCallback,11,19
org.apache.bookkeeper.client.AsyncCallback.CreateCallback,12,20
org.apache.bookkeeper.client.AsyncCallback.OpenCallback,11,19
org.apache.bookkeeper.client.AsyncCallback.ReadCallback,16,27
org.apache.bookkeeper.client.AsyncCallback.DeleteCallback,10,16
org.apache.bookkeeper.client.AsyncCallback.ReadLastConfirmedCallback,19,34
org.apache.bookkeeper.client.AsyncCallback.RecoverCallback,11,17
org.apache.bookkeeper.client.RoundRobinDistributionSchedule,31,98
org.apache.bookkeeper.client.RoundRobinDistributionSchedule.RRQuorumCoverageSet,23,68
org.apache.bookkeeper.bookie.Cookie,92,447
org.apache.bookkeeper.meta.HierarchicalBookieRecoveryTest,16,49
org.apache.hedwig.server.benchmark.BookieBenchmark,62,172
org.apache.hedwig.server.benchmark.BookieBenchmark.doOps(int).$1,19,22
org.apache.bookkeeper.conf.ClientConfiguration,116,512
org.apache.bookkeeper.bookie.MarkerFileChannel,39,200
org.apache.bookkeeper.benchmark.BenchReadThroughputLatency,106,384
org.apache.bookkeeper.benchmark.BenchReadThroughputLatency.$1,8,18
org.apache.bookkeeper.benchmark.BenchReadThroughputLatency.main(String[]).$2,10,18
org.apache.bookkeeper.benchmark.BenchReadThroughputLatency.main(String[]).$3,47,109
org.apache.bookkeeper.benchmark.BenchReadThroughputLatency.main(String[]).$3.process(WatchedEvent).$1,6,6
org.apache.bookkeeper.proto.PerChannelBookieClient,240,1273
org.apache.bookkeeper.proto.PerChannelBookieClient.ConnectionState,4,4
org.apache.bookkeeper.proto.PerChannelBookieClient.connect().$1,36,80
"org.apache.bookkeeper.proto.PerChannelBookieClient.addEntry(long,byte[],long,ChannelBuffer,WriteCallback,Object,int).$2",28,41
"org.apache.bookkeeper.proto.PerChannelBookieClient.readEntryAndFenceLedger(long,byte[],long,ReadEntryCallback,Object).$3",22,30
"org.apache.bookkeeper.proto.PerChannelBookieClient.readEntry(long,long,ReadEntryCallback,Object).$4",22,30
org.apache.bookkeeper.proto.PerChannelBookieClient.errorOutReadKey(CompletionKey).$5,25,46
org.apache.bookkeeper.proto.PerChannelBookieClient.errorOutAddKey(CompletionKey).$6,30,59
"org.apache.bookkeeper.proto.PerChannelBookieClient.messageReceived(ChannelHandlerContext,MessageEvent).$7",23,33
org.apache.bookkeeper.proto.PerChannelBookieClient.ReadCompletion,8,18
org.apache.bookkeeper.proto.PerChannelBookieClient.AddCompletion,9,20
org.apache.bookkeeper.proto.PerChannelBookieClient.CompletionKey,21,59
org.apache.bookkeeper.bookie.LedgerCacheTest,69,431
org.apache.hedwig.client.netty.ResponseHandler,218,1301
org.apache.bookkeeper.test.ConcurrentLedgerTest,80,370
"org.apache.bookkeeper.test.ConcurrentLedgerTest.doWrites(int,int,int).$1",17,21
org.apache.bookkeeper.benchmark.BenchBookie,97,418
org.apache.bookkeeper.benchmark.BenchBookie.LatencyCallback,20,30
org.apache.bookkeeper.benchmark.BenchBookie.ThroughputCallback,23,43
org.apache.bookkeeper.client.LedgerDeleteOp,40,96
org.apache.bookkeeper.bookie.Journal,192,866
org.apache.bookkeeper.bookie.Journal.JournalIdFilter,5,7
org.apache.bookkeeper.bookie.Journal.LastLogMark,51,226
