metadata,unique_words,total_words
c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9,3773,125006
e988271acee2c217209d5c7f52c07f6211257e97,1371,60905
30c326643938bb3df6b35515e714622d98772352,238,1895
8ee32a8ab80dcd51f7846972d92b7c9e83d99862,37,100
9ea30d361649e13f28efb05ea2155cf765267a2f,15,29
266b1c2744a35b9379ba5e7023322a2450b91090,17,33
267ed95a2ae2ef1a8f6a3166b217d86a28166391,161,477
d20cb28943e80c1d39cca5916f459651e29dd573,1249,7864
00f25f5622e69f063202f7bd46f09ad1d708983d,92,249
45aeb04735d120d3aa9a0110becf3ba2d7ef6afc,228,1515
74397e3e20b2cd3e3c920f00be7f044cf548e076,260,1740
3e9d596480537e45a23e591a1daabddffd2b15bf,45,172
de1c3b26a1162fb545c91d9cef4eed435c662a66,96,371
0910d6cd7ffb1a7b78ab91a327715e936a3eb9e5,164,941
40b13a6b7db9d2da337dce0c7084d8c87c4d6b06,197,1154
a772663c8e7051396bac5bae5b4ba7bc7ec75e78,32,50
a01067bb2003e6836acc638b734581844eb08324,164,575
5095045d969a5fb4b7849cce89e3fa24ee830320,38,77
c30c309bf95a6ba145d33326af73253fb835b1b4,94,243
ad96c00dcd01ee310c63f78211c6b66c8c874e05,36,51
da1df6bcf4f3a1cc2ed4d3798764e855555ab8f8,261,20100
afdd3dd1e7e06f97e29ff5bcaa2001f81f6d9210,1127,6515
675efc92fdb7c88ff9b871ba2ccf56974f769544,32,49
360174f12df9b853e4f3b65631c4063e150beb8f,78,374
28377803242f8514fcdf17f7a808aa756fa158b9,36,65
79ea05a3cbcc953bd86f024eb4143e4b85fcd8f1,183,575
ba9ebc213c14aa5d16a26f2e0601a39ac5888e10,1557,74877
6823a35ceafcaf3d8802a8e502883d3d07e891f7,96,261
06eea6791177f3d9dcb116ceccff2f6c3f619a39,59,129
9639b64a1296f937a7b2704de671a38deb31007b,56,187
c980c700d1313911903df3d4c3d48cf8da441827,58,142
2f2f6c66da80e1f2e8a0f7661e91bcd0898d6289,235,1039
2c91d144a7e283c09e90b3065aa6fb352e177083,37,75
d05e52ce5a6bf8b0076685ccec03f5ab91b2b32d,23,34
477eb1053f5c1bff1c0037fb0d6a02b468148682,66,224
4f09c6b4af38b51d259d8a6068806f7f22cc1847,31,56
45f2edbb1c3233309f6498e581e4cdcd87dcb70a,53,105
d6465cad801b4ee89b77d1beec6acc371f8ddb6c,73,198
c898d53ab269fbd64cb00919808c7bb0c52c53a6,249,1529
68bdab655445f80314a0d2531e60e3b2e4d8fa17,445,7268
d1823db0509fe49b0ce8140c620e4c5100427407,116,456
ea616470cfbd129bb03098698a562e1b8dd8ecc4,46,110
dc5f5d223502b8bc9ef6bc3706f3bbea975e757e,507,4500
978c0e13dd5896494f306ec2afed026caa9993b0,77,220
e7184063b0fa20fbbb9802863143a11183858656,83,435
c17dfb9aa2aeb6d3d1c6fa934dc9ef15bf6b5bc2,117,569
2ea2fd09f2bbbea18e183c8af8e82e81eee9fe79,69,360
6e3b195d16ef4b24618d7bb13b3eede6b9126e74,125,686
cc467bd5880c2879e6c0355469d51759f89bbabc,360,2075
75dbf699b90dd01b0dd44e4bdda60e7176b3ee12,308,4247
64411b9af4eede947f0cf0fd46da4d3170ec18e4,24,33
4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180,475,4965
4be547c861f024e48a7b0074effb8c26ff0a97fc,152,1016
b83d00086a263af5b51e3e061170934c53447976,210,661
304bf8fe61bd545072d09c7089d8b92fc3c2f1d3,55,119
3969ff71a1865b5b8c32b60ac529999c6de71ab8,519,7130
03e03c2b4a0eb0266cad4eb5e34099100629425e,37,77
e14618559769b7f3fa68360a4571a84392e162e3,454,6585
4049d4c2b115f81008ef7a3920fd9153ced2f53c,602,8227
4afc000c193174857925f357a32950ab743490bc,206,866
d33f843a67ad8bc73367259c78170c0bfab24cdc,58,418
aed845b574b88abc825634d3c860dcfd40351fb8,41,81
1bcbc47bcc6394b0c6fdeb73203aab59eab0fee5,203,1182
e110067476eb55289d6dd86a94a6a1b0ab1a2ad8,53,95
9daeb60bc274a425b9e90ed50d3454a6bfb3cf31,180,1210
d5d73a8591369458c075034b8111f0dfabc2916d,136,428
3af9f38fc3b53c40751904972384ecb9a4e9fb44,635,10403
924fb834de0ae926ea075385c47dd29f8dd804a3,91,211
c323c003687319d20eb7539c0e85a9cf3a4a6d08,174,903
504867718d934b66dfa4df8edc55c9c888aa3d42,54,273
da088187d80bf0b935aad14c1a4aa73e4920378f,142,521
8b6f36788cb4614d506e0e526475592cd8fbeb6a,204,511
aa1d8296672a1a29fdc3de630f5995c0d1a21429,47,198
e3b52e82ccccf4807100db0950609ec7ede8378c,237,1469
