score,model_base_alpha,model_base_eta,num_topics
0.37965204390855195,auto,auto,100
0.42258978595283547,auto,auto,200
0.46442859769996603,auto,auto,500
0.43120333654100385,auto,1,100
0.44677936540391966,auto,1,200
0.54498015627509255,auto,1,500
0.46844107638548954,auto,2,100
0.45371244575246661,auto,2,200
0.44809846588378632,auto,2,500
0.38595248369017582,auto,5,100
0.44429992738436286,auto,5,200
0.44624825387829653,auto,5,500
0.40320797745280873,1,auto,100
0.47558204830173789,1,auto,200
0.4779042462246495,1,auto,500
0.35383045651546924,1,1,100
0.40373388638863972,1,1,200
0.50689396684807109,1,1,500
0.366944989031049,1,2,100
0.45811750807860946,1,2,200
0.49689100054626828,1,2,500
0.44304455823082445,1,5,100
0.46663377567976633,1,5,200
0.45329005976036651,1,5,500
0.39656995944850265,2,auto,100
0.45741445592174979,2,auto,200
0.39817586401705851,2,auto,500
0.34348462984251765,2,1,100
0.48867359779780289,2,1,200
0.45747344351156694,2,1,500
0.37778285100315162,2,2,100
0.45969114752242141,2,2,200
0.4663984403218856,2,2,500
0.43630231287631427,2,5,100
0.44053519507978428,2,5,200
0.47757620897564412,2,5,500
0.35408298647741682,5,auto,100
0.38995431378889739,5,auto,200
0.38637842501273512,5,auto,500
0.3872393403748251,5,1,100
0.39622587233254208,5,1,200
0.3988421235893776,5,1,500
0.4214300367686078,5,2,100
0.38139171283141377,5,2,200
0.37766651064508988,5,2,500
0.38074104563712652,5,5,100
0.37780499212596558,5,5,200
0.37805130750271559,5,5,500
