score,model_base_alpha,model_base_eta,num_topics
0.56300813008130091,1,1,100
0.63323170731707312,1,1,200
0.64898373983739843,1,1,500
0.5482723577235773,1,2,100
0.60345528455284558,1,2,200
0.63333333333333341,1,2,500
0.50152439024390238,1,5,100
0.58140243902439026,1,5,200
0.63851626016260166,1,5,500
0.63516260162601634,2,1,100
0.60904471544715455,2,1,200
0.67906504065040652,2,1,500
0.50396341463414629,2,2,100
0.6279471544715447,2,2,200
0.65518292682926826,2,2,500
0.50132113821138213,2,5,100
0.57459349593495945,2,5,200
0.63038617886178872,2,5,500
0.53587398373983741,5,1,100
0.63109756097560987,5,1,200
0.67317073170731712,5,1,500
0.58109756097560983,5,2,100
0.56463414634146347,5,2,200
0.65386178861788624,5,2,500
0.50782520325203251,5,5,100
0.61382113821138218,5,5,200
0.6919715447154472,5,5,500
