score,model_base_alpha,model_base_eta,num_topics
0.39412265889435716,auto,auto,100
0.47971831357825595,auto,auto,200
0.45575736248707738,auto,auto,500
0.42115178937851799,auto,1,100
0.42850488216169219,auto,1,200
0.43292588499479517,auto,1,500
0.38153485575828594,auto,2,100
0.44039439368737576,auto,2,200
0.48316676468955566,auto,2,500
0.42450333536260931,auto,5,100
0.48812373621717808,auto,5,200
0.49783955808352864,auto,5,500
0.41787809538513299,1,auto,100
0.48360538853453322,1,auto,200
0.45412138664767693,1,auto,500
0.44250595082760447,1,1,100
0.47487936321073421,1,1,200
0.44962595644000986,1,1,500
0.44573509449081933,1,2,100
0.4709066945420321,1,2,200
0.44842134201453204,1,2,500
0.42411938450157349,1,5,100
0.44394689484847971,1,5,200
0.47135811678193656,1,5,500
0.40406809764147572,2,auto,100
0.4426620143263012,2,auto,200
0.47513569890523299,2,auto,500
0.44414862625928436,2,1,100
0.43738778965103192,2,1,200
0.4698612115721893,2,1,500
0.42193554817525536,2,2,100
0.42292073883613457,2,2,200
0.47536096583301307,2,2,500
0.41351604650780255,2,5,100
0.46501335965872997,2,5,200
0.44312968724851443,2,5,500
0.41439085032851736,5,auto,100
0.42687969330818043,5,auto,200
0.46724142353489467,5,auto,500
0.44161587684102599,5,1,100
0.45263277752161957,5,1,200
0.45477886609117429,5,1,500
0.40886437627768774,5,2,100
0.48928203811062604,5,2,200
0.46129694172013308,5,2,500
0.4599206260205182,5,5,100
0.40006365581523684,5,5,200
0.4626953704713484,5,5,500
