score,model_base_alpha,model_base_eta,num_topics
0.5197154471544716,auto,auto,100
0.57987804878048776,auto,auto,200
0.67550813008130084,auto,auto,500
0.58750000000000002,auto,1,100
0.62977642276422763,auto,1,200
0.64197154471544726,auto,1,500
0.53384146341463423,auto,2,100
0.57276422764227641,auto,2,200
0.64796747967479673,auto,2,500
0.46727642276422771,auto,5,100
0.54186991869918699,auto,5,200
0.63668699186991862,auto,5,500
0.52886178861788624,1,auto,100
0.63617886178861793,1,auto,200
0.6274390243902439,1,auto,500
0.58790650406504064,1,1,100
0.56422764227642286,1,1,200
0.69756097560975616,1,1,500
0.525609756097561,1,2,100
0.59512195121951217,1,2,200
0.62306910569105689,1,2,500
0.50426829268292683,1,5,100
0.57804878048780495,1,5,200
0.62713414634146336,1,5,500
0.57804878048780495,2,auto,100
0.58099593495934954,2,auto,200
0.67947154471544713,2,auto,500
0.57825203252032531,2,1,100
0.58201219512195135,2,1,200
0.67144308943089437,2,1,500
0.57764227642276422,2,2,100
0.55203252032520322,2,2,200
0.62916666666666665,2,2,500
0.52652439024390241,2,5,100
0.51981707317073167,2,5,200
0.64227642276422758,2,5,500
0.54684959349593498,5,auto,100
0.58180894308943099,5,auto,200
0.64837398373983735,5,auto,500
0.57774390243902451,5,1,100
0.61747967479674803,5,1,200
0.67306910569105682,5,1,500
0.49278455284552852,5,2,100
0.54613821138211383,5,2,200
0.65569105691056906,5,2,500
0.53770325203252034,5,5,100
0.5098577235772358,5,5,200
0.62073170731707328,5,5,500
