metadata,unique_words,total_words
719,13,34
718,15,22
717,18,23
716,13,16
715,17,24
714,8,16
712,10,19
711,13,20
710,12,21
592,33,54
595,10,14
597,21,30
596,22,25
599,20,35
598,26,43
526,14,15
446,16,31
641,11,15
640,16,21
643,13,15
642,24,39
645,13,18
644,12,17
646,44,169
432,67,107
744,19,29
740,31,65
742,21,29
743,18,21
559,31,41
745,29,39
746,20,32
747,10,14
555,11,16
554,17,25
557,12,18
556,16,19
618,51,86
619,21,36
610,10,14
611,13,17
617,13,28
614,40,57
615,5,10
688,67,293
686,27,45
683,8,10
623,43,65
629,23,37
708,12,16
709,28,68
704,10,13
700,40,107
701,20,32
703,5,5
790,6,9
586,6,10
584,62,99
585,11,18
582,22,30
583,11,23
580,25,29
581,38,58
620,13,21
627,8,8
626,15,23
624,9,15
657,10,10
654,21,27
652,10,27
653,9,12
658,8,12
659,5,8
775,8,8
774,60,267
777,7,8
758,9,16
773,21,27
779,7,9
778,6,6
668,49,75
667,30,43
666,13,16
664,26,34
663,11,21
662,10,17
661,6,10
696,4,7
697,4,8
698,24,36
699,8,12
544,11,19
548,9,10
549,15,35
313,35,67
312,124,199
363,38,46
784,50,167
785,5,5
786,22,41
787,14,18
780,33,50
781,89,626
782,5,8
783,63,423
789,19,25
579,4,10
573,13,14
577,15,15
576,21,26
574,11,13
257,24,34
731,10,11
730,10,16
732,7,7
736,10,12
739,24,38
630,16,18
632,16,22
633,49,125
636,52,112
637,16,21
638,40,57
649,19,27
768,5,10
763,26,26
766,6,7
767,16,23
765,16,28
678,69,189
675,30,32
676,25,31
673,24,34
776,11,17
429,59,84
568,39,119
569,29,38
751,14,21
750,22,37
756,24,35
755,24,30
561,24,31
562,15,23
563,17,20
564,26,39
565,41,58
567,8,14
506,15,21
726,14,18
727,9,10
724,19,21
725,16,16
720,17,22
728,4,4
729,17,19
605,46,252
604,12,13
607,30,42
601,11,14
600,16,23
603,26,36
602,22,33
608,16,21
635,14,15
