metadata,unique_words,total_words
"org.apache.bookkeeper.bookie.BookieThread.uncaughtException(Thread,Throwable)",5,6
org.apache.bookkeeper.bookie.BookieThread.BookieThread(String),8,9
"org.apache.bookkeeper.bookie.BookieThread.BookieThread(Runnable,String)",9,12
"org.apache.bookkeeper.bookie.BookieThread.handleException(Thread,Throwable)",10,15
org.apache.bookkeeper.benchmark.TestBenchmark.TestBenchmark(),2,2
org.apache.bookkeeper.benchmark.TestBenchmark.testThroughputLatency(),21,34
org.apache.bookkeeper.benchmark.TestBenchmark.testBookie(),17,29
org.apache.bookkeeper.benchmark.TestBenchmark.testReadThroughputLatency(),43,123
org.apache.bookkeeper.benchmark.TestBenchmark.testReadThroughputLatency().$1.run(),20,22
org.apache.bookkeeper.benchmark.TestBenchmark.testReadThroughputLatency().$2.run(),21,25
org.apache.bookkeeper.bookie.LedgerCache.setFenced(long),4,4
org.apache.bookkeeper.bookie.LedgerCache.isFenced(long),3,3
"org.apache.bookkeeper.bookie.LedgerCache.setMasterKey(long,byte[])",5,7
org.apache.bookkeeper.bookie.LedgerCache.readMasterKey(long),6,7
org.apache.bookkeeper.bookie.LedgerCache.ledgerExists(long),3,4
"org.apache.bookkeeper.bookie.LedgerCache.putEntryOffset(long,long,long)",4,6
"org.apache.bookkeeper.bookie.LedgerCache.getEntryOffset(long,long)",4,5
org.apache.bookkeeper.bookie.LedgerCache.flushLedger(boolean),3,3
org.apache.bookkeeper.bookie.LedgerCache.getLastEntry(long),3,3
org.apache.bookkeeper.bookie.LedgerCache.deleteLedger(long),3,4
org.apache.bookkeeper.bookie.LedgerCache.getJMXBean(),4,5
"org.apache.bookkeeper.client.LedgerOpenOp.LedgerOpenOp(BookKeeper,long,DigestType,byte[],OpenCallback,Object)",11,34
"org.apache.bookkeeper.client.LedgerOpenOp.LedgerOpenOp(BookKeeper,long,OpenCallback,Object)",13,24
org.apache.bookkeeper.client.LedgerOpenOp.initiate(),15,22
org.apache.bookkeeper.client.LedgerOpenOp.initiateWithoutRecovery(),5,8
"org.apache.bookkeeper.client.LedgerOpenOp.operationComplete(int,LedgerMetadata)",49,143
"org.apache.bookkeeper.client.LedgerOpenOp.operationComplete(int,LedgerMetadata).$1.safeOperationComplete(int,Void)",10,26
"org.apache.bookkeeper.client.LedgerOpenOp.operationComplete(int,LedgerMetadata).$2.readLastConfirmedComplete(int,long,Object)",9,21
"org.apache.bookkeeper.client.LedgerOpenOp.openComplete(int,LedgerHandle)",13,19
"org.apache.bookkeeper.bookie.GarbageCollectorThread.Offset.Offset(long,long,long)",3,10
org.apache.bookkeeper.bookie.GarbageCollectorThread.CompactionScannerFactory.newScanner(EntryLogMetadata),10,22
org.apache.bookkeeper.bookie.GarbageCollectorThread.CompactionScannerFactory.newScanner(EntryLogMetadata).$1.accept(long),4,6
"org.apache.bookkeeper.bookie.GarbageCollectorThread.CompactionScannerFactory.newScanner(EntryLogMetadata).$1.process(long,long,ByteBuffer)",25,40
org.apache.bookkeeper.bookie.GarbageCollectorThread.CompactionScannerFactory.onRotateEntryLog(),6,8
org.apache.bookkeeper.bookie.GarbageCollectorThread.CompactionScannerFactory.waitEntrylogFlushed(),25,80
org.apache.bookkeeper.bookie.GarbageCollectorThread.CompactionScannerFactory.flush(),7,9
"org.apache.bookkeeper.bookie.GarbageCollectorThread.GarbageCollectorThread(ServerConfiguration,LedgerCache,EntryLogger,SnapshotMap<Long,Boolean>,LedgerManager)",47,266
"org.apache.bookkeeper.bookie.GarbageCollectorThread.GarbageCollectorThread(ServerConfiguration,LedgerCache,EntryLogger,SnapshotMap<Long,Boolean>,LedgerManager).$1.clean(long)",13,24
org.apache.bookkeeper.bookie.GarbageCollectorThread.enableForceGC(),14,19
org.apache.bookkeeper.bookie.GarbageCollectorThread.disableForceGC(),14,19
org.apache.bookkeeper.bookie.GarbageCollectorThread.run(),45,141
org.apache.bookkeeper.bookie.GarbageCollectorThread.doGcLedgers(),8,10
org.apache.bookkeeper.bookie.GarbageCollectorThread.doGcEntryLogs(),25,88
org.apache.bookkeeper.bookie.GarbageCollectorThread.doCompactEntryLogs(double),64,165
"org.apache.bookkeeper.bookie.GarbageCollectorThread.doCompactEntryLogs(double).$2.compare(EntryLogMetadata,EntryLogMetadata)",8,27
org.apache.bookkeeper.bookie.GarbageCollectorThread.shutdown(),21,33
org.apache.bookkeeper.bookie.GarbageCollectorThread.removeEntryLog(long),9,33
"org.apache.bookkeeper.bookie.GarbageCollectorThread.compactEntryLog(CompactionScannerFactory,EntryLogMetadata)",35,89
org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.EntryLogMetadata(long),10,16
"org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.addLedgerSize(long,long)",7,28
org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.removeLedger(long),6,12
org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.containsLedger(long),5,8
org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.getUsage(),4,7
org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.isEmpty(),3,4
org.apache.bookkeeper.bookie.GarbageCollectorThread.EntryLogMetadata.toString(),8,26
org.apache.bookkeeper.bookie.GarbageCollectorThread.ExtractionScanner.ExtractionScanner(EntryLogMetadata),6,8
org.apache.bookkeeper.bookie.GarbageCollectorThread.ExtractionScanner.accept(long),2,2
"org.apache.bookkeeper.bookie.GarbageCollectorThread.ExtractionScanner.process(long,long,ByteBuffer)",10,19
"org.apache.bookkeeper.bookie.GarbageCollectorThread.extractMetaFromEntryLogs(Map<Long,EntryLogMetadata>)",50,174
"org.apache.bookkeeper.bookie.GarbageCollectorThread.extractMetaFromEntryLog(EntryLogger,long)",15,67
"org.apache.bookkeeper.meta.LedgerManager.createLedger(LedgerMetadata,GenericCallback<Long>)",14,30
"org.apache.bookkeeper.meta.LedgerManager.removeLedgerMetadata(long,Version,GenericCallback<Void>)",18,54
"org.apache.bookkeeper.meta.LedgerManager.readLedgerMetadata(long,GenericCallback<LedgerMetadata>)",15,40
"org.apache.bookkeeper.meta.LedgerManager.writeLedgerMetadata(long,LedgerMetadata,GenericCallback<Void>)",16,43
"org.apache.bookkeeper.meta.LedgerManager.registerLedgerMetadataListener(long,LedgerMetadataListener)",5,20
"org.apache.bookkeeper.meta.LedgerManager.unregisterLedgerMetadataListener(long,LedgerMetadataListener)",5,22
"org.apache.bookkeeper.meta.LedgerManager.asyncProcessLedgers(Processor<Long>,AsyncCallback.VoidCallback,Object,int,int)",22,56
org.apache.bookkeeper.meta.LedgerManager.getLedgerRanges(),8,13
org.apache.bookkeeper.meta.LedgerManager.LedgerRange.LedgerRange(Set<Long>),5,8
org.apache.bookkeeper.meta.LedgerManager.LedgerRange.size(),2,3
org.apache.bookkeeper.meta.LedgerManager.LedgerRange.start(),2,2
org.apache.bookkeeper.meta.LedgerManager.LedgerRange.end(),1,1
org.apache.bookkeeper.meta.LedgerManager.LedgerRange.getLedgers(),2,3
org.apache.bookkeeper.meta.LedgerManager.LedgerRangeIterator.hasNext(),16,27
org.apache.bookkeeper.meta.LedgerManager.LedgerRangeIterator.next(),16,22
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.MetadataVersion(int),2,3
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.MetadataVersion(MetadataVersion),2,6
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.incrementVersion(),3,5
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.compare(Version),13,33
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.equals(Object),5,14
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.toString(),2,4
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.MetadataVersion.hashCode(),3,3
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.InMemoryMetastoreTable(InMemoryMetaStore,String)",24,50
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.getName(),2,3
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.cloneValue(Value,Version,Set<String>)",16,58
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String,MetastoreCallback<Versioned<Value>>,Object)",12,12
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String,MetastoreCallback<Versioned<Value>>,Object).$1.run()",5,5
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String,MetastoreWatcher,MetastoreCallback<Versioned<Value>>,Object)",13,15
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String,MetastoreWatcher,MetastoreCallback<Versioned<Value>>,Object).$2.run()",7,11
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String,Set<String>,MetastoreCallback<Versioned<Value>>,Object)",14,15
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String,Set<String>,MetastoreCallback<Versioned<Value>>,Object).$3.run()",5,5
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.scheduleGet(String,Set<String>,MetastoreCallback<Versioned<Value>>,Object)",16,33
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.put(String,Value,Version,MetastoreCallback<Version>,Object)",12,15
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.put(String,Value,Version,MetastoreCallback<Version>,Object).$4.run()",18,38
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.remove(String,Version,MetastoreCallback<Void>,Object)",12,13
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.remove(String,Version,MetastoreCallback<Void>,Object).$5.run()",15,28
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.openCursor(MetastoreCallback<MetastoreCursor>,Object)",10,16
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.openCursor(Set<String>,MetastoreCallback<MetastoreCursor>,Object)",12,19
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.openCursor(String,boolean,String,boolean,Order,MetastoreCallback<MetastoreCursor>,Object)",9,20
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.openCursor(String,boolean,String,boolean,Order,Set<String>,MetastoreCallback<MetastoreCursor>,Object)",14,20
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.openCursor(String,boolean,String,boolean,Order,Set<String>,MetastoreCallback<MetastoreCursor>,Object).$6.run()",11,18
"org.apache.bookkeeper.metastore.InMemoryMetastoreTable.triggerWatch(String,MSWatchedEvent.EventType)",12,32
org.apache.bookkeeper.metastore.InMemoryMetastoreTable.get(String),5,6
