metadata,unique_words,total_words
.gitignore,19,32
BUILDING.html,271,1089
KEYS,2668,3881
LICENSE,345,734
NOTICE,422,1168
README,134,220
RELEASE-NOTES.html,933,5424
STATUS,177,401
bin/NetworkServerControl.bat,60,132
bin/dblook.bat,58,128
bin/derby_common.bat,97,245
bin/ij.bat,57,126
bin/setEmbeddedCP,57,89
bin/setEmbeddedCP.bat,55,117
bin/setNetworkClientCP,58,89
bin/setNetworkClientCP.bat,56,117
bin/setNetworkServerCP,58,89
bin/setNetworkServerCP.bat,56,117
bin/startNetworkServer.bat,61,130
bin/stopNetworkServer.bat,61,130
bin/sysinfo.bat,58,128
bin/templates/NetworkServerControl,54,79
bin/templates/dblook,50,70
bin/templates/derby_common.sh,145,389
bin/templates/ij,59,88
bin/templates/startNetworkServer,55,80
bin/templates/stopNetworkServer,55,80
bin/templates/sysinfo,52,77
build.xml,1058,12771
index.html,168,455
java/build/build.xml,77,169
java/build/org/apache/derbyBuild/ClassSizeCrawler.java,172,787
java/build/org/apache/derbyBuild/ElementFacade.java,103,285
java/build/org/apache/derbyBuild/GeneratorBase.java,272,2139
java/build/org/apache/derbyBuild/JiraConnector.java,144,498
java/build/org/apache/derbyBuild/JiraIssue.java,118,474
java/build/org/apache/derbyBuild/MessageBuilder.java,283,1586
java/build/org/apache/derbyBuild/MessageBundleTest.java,151,540
java/build/org/apache/derbyBuild/MessageVetter.java,150,549
java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java,468,3647
java/build/org/apache/derbyBuild/ReleaseNoteReader.java,138,406
java/build/org/apache/derbyBuild/ReleaseNotesGenerator.java,309,1446
java/build/org/apache/derbyBuild/ReleaseNotesTransformer.java,284,1535
java/build/org/apache/derbyBuild/TagReader.java,114,265
java/build/org/apache/derbyBuild/build.xml,97,211
java/build/org/apache/derbyBuild/classlister.java,284,1398
java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java,161,611
java/build/org/apache/derbyBuild/javadoc/DiskLayoutTaglet.java,84,236
java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java,78,195
java/build/org/apache/derbyBuild/javadoc/FormatIdTaglet.java,84,221
java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java,83,215
java/build/org/apache/derbyBuild/javadoc/UpgradeTaglet.java,83,215
java/build/org/apache/derbyBuild/maintversion2props.java,79,164
java/build/org/apache/derbyBuild/odbcgen_fragments.properties,178,884
java/build/org/apache/derbyBuild/propertyconfig.java,187,805
java/build/org/apache/derbyBuild/splitmessages.java,240,966
java/build/org/apache/derbyPreBuild/PropertyPrompt.java,89,273
java/build/org/apache/derbyPreBuild/PropertySetter.java,258,1496
java/build/org/apache/derbyPreBuild/ReleaseProperties.java,164,715
java/build/org/apache/derbyPreBuild/build.xml,86,146
java/client/build.xml,102,261
java/client/org/apache/derby/client/ClientDataSourceFactory.java,163,568
java/client/org/apache/derby/client/ClientPooledConnection.java,245,1283
java/client/org/apache/derby/client/ClientXAConnection.java,102,268
java/client/org/apache/derby/client/ClientXid.java,113,388
java/client/org/apache/derby/client/am/Agent.java,178,851
java/client/org/apache/derby/client/am/AsciiStream.java,56,128
java/client/org/apache/derby/client/am/BlobLocatorInputStream.java,150,549
java/client/org/apache/derby/client/am/BlobLocatorOutputStream.java,109,324
java/client/org/apache/derby/client/am/BlobOutputStream.java,68,193
java/client/org/apache/derby/client/am/ByteArrayCombinerStream.java,149,516
java/client/org/apache/derby/client/am/CachingLogicalConnection.java,139,628
java/client/org/apache/derby/client/am/CallableLocatorProcedures.java,281,3359
java/client/org/apache/derby/client/am/ClientBlob.java,248,1886
java/client/org/apache/derby/client/am/ClientCallableStatement.java,212,3895
java/client/org/apache/derby/client/am/ClientCallableStatement42.java,94,582
java/client/org/apache/derby/client/am/ClientClob.java,274,2478
java/client/org/apache/derby/client/am/ClientConnection.java,660,6772
java/client/org/apache/derby/client/am/ClientDatabaseMetaData.java,589,7744
java/client/org/apache/derby/client/am/ClientJDBCObjectFactory.java,169,1175
java/client/org/apache/derby/client/am/ClientMessageId.java,61,97
java/client/org/apache/derby/client/am/ClientParameterMetaData.java,105,375
java/client/org/apache/derby/client/am/ClientPreparedStatement.java,562,8114
java/client/org/apache/derby/client/am/ClientPreparedStatement42.java,94,284
java/client/org/apache/derby/client/am/ClientResultSet.java,670,16825
java/client/org/apache/derby/client/am/ClientSavepoint.java,63,162
java/client/org/apache/derby/client/am/ClientStatement.java,706,8794
java/client/org/apache/derby/client/am/ClientTypes.java,119,388
java/client/org/apache/derby/client/am/ClobLocatorInputStream.java,161,499
java/client/org/apache/derby/client/am/ClobLocatorOutputStream.java,112,311
java/client/org/apache/derby/client/am/ClobLocatorReader.java,155,560
java/client/org/apache/derby/client/am/ClobLocatorWriter.java,116,340
java/client/org/apache/derby/client/am/ClobOutputStream.java,76,167
java/client/org/apache/derby/client/am/ClobWriter.java,73,203
java/client/org/apache/derby/client/am/CloseFilterInputStream.java,64,161
java/client/org/apache/derby/client/am/ColumnMetaData.java,332,1989
java/client/org/apache/derby/client/am/Configuration.java,155,409
java/client/org/apache/derby/client/am/ConnectionCallbackInterface.java,82,153
java/client/org/apache/derby/client/am/CrossConverters.java,292,4218
java/client/org/apache/derby/client/am/Cursor.java,366,3413
java/client/org/apache/derby/client/am/DateTime.java,214,1879
java/client/org/apache/derby/client/am/DateTimeValue.java,104,403
java/client/org/apache/derby/client/am/Decimal.java,151,1042
java/client/org/apache/derby/client/am/Diagnosable.java,45,71
java/client/org/apache/derby/client/am/DisconnectException.java,68,155
java/client/org/apache/derby/client/am/EncryptionManager.java,341,2182
java/client/org/apache/derby/client/am/ExceptionFormatter.java,128,718
java/client/org/apache/derby/client/am/FailedProperties40.java,102,341
java/client/org/apache/derby/client/am/FloatingPoint.java,77,180
java/client/org/apache/derby/client/am/LOBStateTracker.java,182,482
java/client/org/apache/derby/client/am/Lob.java,241,874
java/client/org/apache/derby/client/am/LogWriter.java,252,2583
java/client/org/apache/derby/client/am/LogicalCallableStatement.java,120,1585
java/client/org/apache/derby/client/am/LogicalCallableStatement42.java,77,388
java/client/org/apache/derby/client/am/LogicalConnection.java,242,2135
java/client/org/apache/derby/client/am/LogicalDatabaseMetaData.java,268,2843
java/client/org/apache/derby/client/am/LogicalPreparedStatement.java,158,1311
java/client/org/apache/derby/client/am/LogicalPreparedStatement42.java,73,194
java/client/org/apache/derby/client/am/LogicalStatementEntity.java,175,786
java/client/org/apache/derby/client/am/MaterialPreparedStatement.java,98,170
java/client/org/apache/derby/client/am/MaterialStatement.java,97,218
java/client/org/apache/derby/client/am/PreparedStatementCallbackInterface.java,78,129
java/client/org/apache/derby/client/am/ProductLevel.java,82,260
java/client/org/apache/derby/client/am/ResultSetCallbackInterface.java,74,121
java/client/org/apache/derby/client/am/SQLExceptionFactory.java,115,453
java/client/org/apache/derby/client/am/Section.java,99,433
java/client/org/apache/derby/client/am/SectionManager.java,167,886
java/client/org/apache/derby/client/am/SignedBinary.java,64,170
java/client/org/apache/derby/client/am/SqlCode.java,62,126
java/client/org/apache/derby/client/am/SqlException.java,305,1324
java/client/org/apache/derby/client/am/SqlWarning.java,78,190
java/client/org/apache/derby/client/am/Sqlca.java,264,1353
java/client/org/apache/derby/client/am/StatementCacheInteractor.java,144,920
java/client/org/apache/derby/client/am/StatementCallbackInterface.java,88,196
java/client/org/apache/derby/client/am/UnitOfWorkListener.java,53,88
java/client/org/apache/derby/client/am/UpdateSensitiveBlobLocatorInputStream.java,95,318
java/client/org/apache/derby/client/am/UpdateSensitiveClobLocatorInputStream.java,88,220
java/client/org/apache/derby/client/am/UpdateSensitiveClobLocatorReader.java,132,531
java/client/org/apache/derby/client/am/UpdateSensitiveLOBLocatorInputStream.java,130,513
java/client/org/apache/derby/client/am/Utils.java,129,454
java/client/org/apache/derby/client/am/Utils42.java,65,151
java/client/org/apache/derby/client/am/Version.java,146,735
java/client/org/apache/derby/client/am/XaException.java,56,94
java/client/org/apache/derby/client/am/stmtcache/JDBCStatementCache.java,146,475
java/client/org/apache/derby/client/am/stmtcache/StatementKey.java,124,432
java/client/org/apache/derby/client/am/stmtcache/StatementKeyFactory.java,92,443
java/client/org/apache/derby/client/am/stmtcache/package.html,207,468
java/client/org/apache/derby/client/net/CcsidManager.java,139,341
java/client/org/apache/derby/client/net/ClientJDBCObjectFactoryImpl.java,188,1564
java/client/org/apache/derby/client/net/ClientJDBCObjectFactoryImpl42.java,104,519
java/client/org/apache/derby/client/net/CodePoint.java,452,1126
java/client/org/apache/derby/client/net/CodePointNameTable.java,132,297
java/client/org/apache/derby/client/net/ConnectionReply.java,60,234
java/client/org/apache/derby/client/net/ConnectionReplyInterface.java,55,133
java/client/org/apache/derby/client/net/ConnectionRequestInterface.java,67,150
java/client/org/apache/derby/client/net/DssConstants.java,68,120
java/client/org/apache/derby/client/net/EbcdicCcsidManager.java,114,271
java/client/org/apache/derby/client/net/EncodedInputStream.java,96,452
java/client/org/apache/derby/client/net/FdocaConstants.java,95,294
java/client/org/apache/derby/client/net/FdocaSimpleDataArray.java,87,194
