metadata,unique_words,total_words
1,124,1298
2,84,326
3,26,50
4,35,60
5,90,131
6,79,186
7,25,34
8,53,130
9,16,24
10,9,15
11,79,153
12,27,46
13,30,46
15,33,47
17,33,44
18,53,130
19,30,45
20,28,32
21,34,65
22,24,37
23,32,52
24,82,188
25,40,55
26,47,377
27,39,68
28,27,44
29,80,595
30,27,55
31,19,27
32,49,68
33,31,43
34,12,18
35,132,281
36,36,96
37,50,99
38,6,17
39,27,71
40,17,29
41,16,25
42,18,40
43,31,41
44,18,21
45,17,23
46,26,33
47,115,380
48,103,480
49,28,47
50,35,68
51,30,61
52,43,74
53,56,103
54,68,159
55,31,55
56,17,29
58,28,40
59,36,48
60,19,24
61,71,401
62,64,234
63,65,190
64,12,20
65,103,251
66,14,32
67,46,126
68,20,24
69,42,59
70,32,55
71,23,36
72,11,16
73,27,34
74,26,36
75,14,17
76,15,23
77,17,21
78,42,78
79,58,99
80,37,49
81,20,29
83,12,17
84,32,54
85,93,318
86,8,9
87,40,79
88,19,30
89,14,21
90,43,68
91,31,39
92,88,417
93,87,416
94,84,180
95,19,31
96,61,105
97,17,25
98,25,35
99,25,35
