metadata,unique_words,total_words
1219592,48,82
1285977,13,18
1297576,29,35
1436014,18,25
1489454,38,44
1495181,14,16
1503956,11,18
1534537,30,36
1535044,15,20
1538769,21,27
1540646,33,42
1542552,34,48
1545601,20,30
1548875,31,47
1553552,46,65
1570570,27,35
1574773,45,60
1587342,179,413
1588028,22,37
1594123,74,174
1594169,14,24
1601651,27,47
1631548,51,89
1641247,8,13
1648789,15,21
1709449,33,58
1711135,44,75
1738920,31,49
1749613,21,26
1785416,84,117
1827568,35,48
1944198,27,48
2027944,34,66
2105329,26,38
2119059,19,23
2207462,47,68
2904968,70,291
2931293,31,37
2938562,26,35
