metadata,unique_words,total_words
gnu.dtools.ritopt.OptionNotifier,17,48
net.sf.jabref.KeyCollisionException,7,29
net.sf.jabref.FieldEditorFocusListener,31,56
gnu.dtools.ritopt.OptionModificationException,8,19
net.sf.jabref.TitleLabel,17,37
gnu.dtools.ritopt.CharOption,29,239
gnu.dtools.ritopt.OptionMenu,90,345
net.sf.jabref.AdvancedTab,131,777
"net.sf.jabref.AdvancedTab.AdvancedTab(JabRefPreferences,HelpDialog).$1",10,10
gnu.dtools.ritopt.DoubleOption,32,230
gnu.dtools.ritopt.OptionEvent,26,277
gnu.dtools.ritopt.OptionArrayable,16,29
net.sf.jabref.BibtexString,7,44
net.sf.jabref.EntryComparator,83,271
gnu.dtools.ritopt.ArrayOption,23,56
net.sf.jabref.FileTab,119,822
"net.sf.jabref.FileTab.FileTab(JabRefFrame,JabRefPreferences).$1",11,22
net.sf.jabref.collab.FileUpdateMonitor,103,342
net.sf.jabref.collab.FileUpdateMonitor.Entry,35,165
net.sf.jabref.RightClickMenu,103,682
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$1",8,9
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$2",8,9
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$3",8,9
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$4",12,14
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$5",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$6",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$7",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$8",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$9",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$10",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$11",8,9
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$12",8,9
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$13",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$14",10,11
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$15",9,10
"net.sf.jabref.RightClickMenu.RightClickMenu(BasePanel,MetaData).$16",16,18
net.sf.jabref.RightClickMenu.ChangeTypeAction,11,34
net.sf.jabref.FileHistory,62,231
net.sf.jabref.FileHistory.actionPerformed(ActionEvent).$1,3,3
net.sf.jabref.FieldTextArea,95,310
net.sf.jabref.CrossRefEntryComparator,30,60
gnu.dtools.ritopt.OptionModule,60,587
net.sf.jabref.EntryTypeDialog,91,267
net.sf.jabref.EntryTypeDialog.TypeButton,9,29
net.sf.jabref.EntryTypeDialog.EntryTypeDialog(JabRefFrame).$1,6,8
net.sf.jabref.EntryTypeDialog.CancelAction,17,32
net.sf.jabref.export.ExportCustomizationDialog,78,308
net.sf.jabref.export.ExportCustomizationDialog.ExportCustomizationDialog(JabRefFrame).$1,23,41
net.sf.jabref.export.ExportCustomizationDialog.ExportCustomizationDialog(JabRefFrame).$2,28,48
net.sf.jabref.export.ExportCustomizationDialog.ExportCustomizationDialog(JabRefFrame).$3,17,38
