metadata,unique_words,total_words
"net.sf.jabref.IdComparator.compare(BibtexEntry,BibtexEntry)",3,6
gnu.dtools.ritopt.OptionModificationException.OptionModificationException(String),5,6
net.sf.jabref.FocusRequester.FocusRequester(Component),16,23
net.sf.jabref.FocusRequester.run(),4,4
"net.sf.jabref.CrossRefEntryComparator.compare(BibtexEntry,BibtexEntry)",11,22
"net.sf.jabref.DuplicateCheck.isDuplicate(BibtexEntry,BibtexEntry)",23,63
"net.sf.jabref.DuplicateCheck.compareFieldSet(String[],BibtexEntry,BibtexEntry)",15,42
"net.sf.jabref.DuplicateCheck.compareSingleField(String,BibtexEntry,BibtexEntry)",25,76
"net.sf.jabref.DuplicateCheck.compareEntriesStrictly(BibtexEntry,BibtexEntry)",18,47
"net.sf.jabref.DuplicateCheck.containsDuplicate(BibtexDatabase,BibtexEntry)",15,51
"gnu.dtools.ritopt.StreamPrinter.StreamPrinter(InputStream,PrintStream)",5,9
gnu.dtools.ritopt.StreamPrinter.start(),4,5
gnu.dtools.ritopt.StreamPrinter.setStop(Stoppable),4,6
gnu.dtools.ritopt.StreamPrinter.isStopped(),1,2
gnu.dtools.ritopt.StreamPrinter.setFlush(boolean),2,5
gnu.dtools.ritopt.StreamPrinter.stop(),2,8
gnu.dtools.ritopt.StreamPrinter.join(),4,5
gnu.dtools.ritopt.StreamPrinter.run(),14,18
"gnu.dtools.ritopt.OptionRegistrar.register(String,Option)",4,5
"gnu.dtools.ritopt.OptionRegistrar.register(char,Option)",3,4
"gnu.dtools.ritopt.OptionRegistrar.register(String,char,Option)",3,6
"gnu.dtools.ritopt.OptionRegistrar.register(String,char,String,Option)",4,8
"gnu.dtools.ritopt.OptionRegistrar.register(String,char,String,Option,boolean)",5,9
"net.sf.jabref.collab.EntryChange.EntryChange(BibtexEntry,BibtexEntry,BibtexEntry)",36,194
"net.sf.jabref.collab.EntryChange.makeChange(BasePanel,BibtexDatabase,NamedCompound)",30,51
net.sf.jabref.collab.EntryChange.description(),4,4
"net.sf.jabref.collab.EntryChange.FieldChange.FieldChange(String,BibtexEntry,BibtexEntry,String,String,String)",28,129
"net.sf.jabref.collab.EntryChange.FieldChange.makeChange(BasePanel,BibtexDatabase,NamedCompound)",20,37
net.sf.jabref.collab.EntryChange.FieldChange.description(),2,2
SimpleCsvImporter.getFormatName(),6,6
SimpleCsvImporter.isRecognizedFormat(InputStream),9,10
SimpleCsvImporter.importEntries(InputStream),30,63
gnu.dtools.ritopt.IntOption.IntOption(),1,1
gnu.dtools.ritopt.IntOption.IntOption(IntOption),2,4
gnu.dtools.ritopt.IntOption.IntOption(int),2,3
"gnu.dtools.ritopt.IntOption.IntOption(int,String)",3,6
"gnu.dtools.ritopt.IntOption.IntOption(int,char)",2,5
"gnu.dtools.ritopt.IntOption.IntOption(int,String,char)",3,9
gnu.dtools.ritopt.IntOption.getObject(),3,4
gnu.dtools.ritopt.IntOption.modify(String),11,19
gnu.dtools.ritopt.IntOption.setValue(String),7,9
gnu.dtools.ritopt.IntOption.setValue(int),2,5
gnu.dtools.ritopt.IntOption.getValue(),1,2
gnu.dtools.ritopt.IntOption.getStringValue(),3,6
gnu.dtools.ritopt.IntOption.getTypeName(),4,4
gnu.dtools.ritopt.IntOption.toString(),2,4
gnu.dtools.ritopt.OptionModuleRegistrar.register(OptionModule),3,4
"gnu.dtools.ritopt.OptionModuleRegistrar.register(String,OptionModule)",5,6
"net.sf.jabref.SidePaneHeader.SidePaneHeader(String,URL,SidePaneComponent)",9,13
net.sf.jabref.SidePaneHeader.paintComponent(Graphics),20,72
"net.sf.jabref.SidePaneHeader.addPart(String,URL,SidePaneComponent)",70,234
net.sf.jabref.SidePaneHeader.actionPerformed(ActionEvent),7,8
net.sf.jabref.export.layout.format.CompositeFormat.CompositeFormat(),5,5
