metadata,unique_words,total_words
6e51a906ed12fef9244c1223200e9bfce434af55,9646,316055
aa1c145bfff0b129f7c152aa8c4616b8e1bb96fe,184,502
c45ddf902f46e5ddb68aedbf2a0bb16f1f7b48f6,990,3951
e00e3a8b7990c12083e7b0ce66d03b7aafb7f6e0,422,1138
647ce522616e9e0a96e94a68e1f6b6d2a2d65c7b,302,852
9744df36a9cd77cfe4f86ecca6abbc5cc533d30b,259,777
3733f45ef8005bd34483ab568dc18facd9a4e993,581,2653
1c99d084b14e06ccea2816d63db3ce00e48af021,98,159
1fcdf9ec2167d3e8fec43fdd1ebf51feb488fee0,1339,7886
1c6edba16dfe7bbd2e64f41281230f66927b6de9,57,242
a36a70a2feeb226accb281ba326364dbfb74ace4,640,6715
bbe43754cef927280749b8aa679e4f4bb5a79606,498,3054
b95e46f6f79a81298f88e56bb2d3e4a1c60a6f2c,175,413
11a4f4edc6a985973e016ea012a191c7318ebb62,96,338
f1d6ec07f5d5b44e87e823524192585c99732df8,31,67
d41ec5714764738e201ec2de693daaaf6f7444de,775,5664
a6881857351d7c3491b7e81f99ba932077c9e11b,489,3048
bf100c7a12457c823f08415be4ebdca2359d5b95,420,1286
9131f20c4777a9eba935b7b25528189e8f5ddefc,168,630
50667cb348979f589f3cce07ad4b3716f247c107,108,269
ae37ead030d1571dd820fab106a2448600424b13,0,0
e1212b63a595b4c612699d1e0484a043ce152512,91,275
37ccbe1eb80d6b3f706a5ed206e518eaefa50f92,392,4173
94450bb35d63c1f778d2959dda1c6297ffecc788,0,0
aa675b72cf312cc1ead423368337993cc23b169f,378,1940
974edac7d4c1975447f38a9788a3b1ddf7687e18,177,519
fecded6e349b2f82f9269c5c5bcb78658e2c7e24,343,1660
8500a0a0b9d2bd670d7ed447b8a58848883e59c0,79,269
d0f6e12603a1823558cb9ac38bcfa69e27a78652,428,1151
d0ace333471efd15ca5f7ff25bb710767cc571f5,439,3766
9b7a4dc42081b4f7a16d979936e5ba971aa29f91,503,4065
640c4407324c088c28f2582d80b5e5b457b57daa,557,4459
5c4997909e8154079d3805437c55aa467b766ef9,599,6599
787944da24ae74d8673f098194fa0460d6d6b930,679,5051
c040428fb16439390217e7bc28510631607154fe,91,185
7cb5efbdf7b1ccee031493ebaa8bebf0841eb5fc,0,0
c39aad3c5b7f7397fd0bd2d4471e598065a631d9,449,4295
4521d05af287ff3ba372a4575ab5aba8b84a158b,1116,18452
f7746faa559d39ea64f17d1019ae1143374babe3,678,8226
a53da49dd2bd6152610f442211e099cda781e71d,136,256
ed9a9a5975445a2ac497ae90c39ace8984f2d06f,624,2998
2dc339edb18531cd85f9cfbf7ba29171ddef8888,380,2121
71384490accf654e05b32505b260d6533f385d4e,379,2142
4c18ac49b79079d7ba0d64750e15e75a68b2e696,600,4723
fba592c4e72d5a5542029a2c3c814a1651f045ac,318,2710
09b30179a11f0e160800d3231c1cf16100241ffe,209,1127
6030336b359a21f18a37250539f51285d294870e,157,733
6a6a3f7fe932a41fc5e5deba65456f1537ae7a4d,3,3
ae66aad997fc4e648bb7c60272329d55683fa89c,214,1213
ead27d2fe252bdeaea2f8f925e0af59c425f5fe1,341,1732
c9b1fcfd5f6d06ba641fb49bf1023a6c5d02804e,437,4895
f5b0cbd56f506d64e72db4208d84d2c76f4b5336,267,2415
a1aa255a4ee98cf97261176ad9329de11be13a6a,321,1000
17930794146395997ae1365d5dbfb3a6f2c519a5,333,1622
ba1ec3297d11f3a466feef112603ac39ffe7a66f,590,5328
1b1e7b51f1186f7bd1c035ecc0062d069cb94f61,55,109
0d9b0aa6e73abae724bfca9b359a0aab4938a659,39,113
3616048a115c58f1e6de79e80bc205d75dbd8381,179,1124
257dba6039d574cddfc7c3c103c83dadc0f292c8,415,3697
23e43eaa7bbf3bc2250bf45d008b88abe8d7986f,191,738
4328ecebcdb8d493f184b79e6878480300cf56aa,583,7985
489463ecb9eb288cc7fadf4175863b7f44f6fbc5,65,109
0b63f91b6998877ff8e29786098d5e0810e1a6ce,157,398
e9783d9e3b0cd94ac0504b4c5df0f2032424ad54,382,1814
6dba16d4c342780369f1c08c273fd2f431bf0a57,318,1606
7d55765ba0c9df37db06bb1701da35d3ffb07c50,100,248
3bfc047a15adf37edfafb1db8b53e86f524fad38,78,130
0b9a43031824d76682cabf880b48a13736464fd2,92,204
e4d3d50cbeda219cdc212962379f971b71a75642,33,81
6206bfe8926752ce596626824fb9dc2a6991e5ec,93,185
7feaa4da9fcb24d1b8321fa9f8d31cf8662b80bc,25,41
817a4cedf3afb138491004770b0b29ecba5d2d60,115,342
2c745df7ac58068c5e6a8583138029f6d5f25645,40,132
c3d6b3aa159843ad81076c262aab1f77ad04a232,133,374
f7e684579f9d7383b62c310ef6051fba15a5e034,108,420
4e51e62c96717fe9da3624687f932d4a7ecca0e3,34,65
dbc4b0d9cef3a2591feed616e1783d50aaeceee3,61,148
7b6090eb5bfe9cccbcf62c48bff378003e931f8a,168,449
0ec5fddc5e00b0e33759d7cebdcbf9614b75171e,317,1197
5016ef6f7a7b2f25694306da4828d7bbfee1f517,62,227
fc17f1ac89d5abcc4e2186cb5fd17547cd9a02f1,23,39
6c87a68cb39a9c4fc031f1b833661b55bc5073fe,607,2456
b0c46f7ae1a0cf9e543421bc241e32a1e0415d28,118,192
2b5402717db5efb7bbfaec21fe27f74e85029162,309,1016
a3a331ea220f21eeadececddf1e20a67526867b8,103,182
db973ce8a49f9725ae6e90ced37bf144303782ee,194,1337
eb51e3207810aab880cf83f606458a97459283ef,297,989
ffc53aa7db3622b8bafa31cd63ad7288b2d3ee42,13,26
f5f48463891c9e55e03dbeed194651aba52050cc,117,449
cc499c5ba2e28fc1d2abecce24a6d7f9ba37b68e,347,3024
2a227496b004e7229193c0a1d0d099d91096eaa0,829,3713
f747b2883ccd923da86e157cfa58df9e3652e60d,260,847
ebace849e2f35ed8f7b0895485fbafd3a5e50e23,510,2412
6bccb2e16826af1694dd4d9d87b7e40aa5d74c10,133,339
d548e23651af9ba21de890442cbfae04870c2ef5,59,128
3b97d1883c0ee7d422bdab4757ffafe5eb72fecf,144,591
67ab09d1b048fb1557575014f778b3399dc2498e,282,600
ac1de8831ba601118f81400784b7a48bdd9929a8,375,2388
916288108c7a495e13a5bcd96d6bf141b286ab4b,343,1630
1a1d7c6f5cc51dae8dd64909e0c1899ffa7ae9c1,244,768
03c2376ff62984bc9c632b64c6f059650d07359a,168,400
61729d7593e311b7916d92fdfa080f46dccf65ba,16,20
be2b57b7ba3cf7987a99f4a1b54ce0cad3f60f92,330,1500
8a028035fb86a399467a2cb438dbac14f7e01e97,83,194
e6585aa2a85b120d8899b5cdb2542d673127f44c,22,57
39761668847f2fc51df79b5b15c90d5b91d7a86d,564,5012
61bd5065e272a7e0ee892fc81824779675922ac0,196,917
2c2ce101796c81dae4622abdd10e7cbc3935f6a2,197,470
0b5d9c325fc1e8247b4dff3eebcadade140fdbaa,418,4390
db030d64555b54280298bc772c961ca5467de918,266,1600
8e72809e7a6d1c2b4d00efd734b3907725856133,551,4266
8cf7e0bcc6394150f5b3a44f6628e0412d0e6ffb,15,56
262a9b32a559020b225034012d62a2afd1d4b20d,57,95
30f6972f1f232135ee8102161165be018248f330,310,1474
0952affe9c7fd700d10bbbbb1050e5360937ae08,485,2862
f922413ff8f47b9f57180b087dd557dafa3968ea,666,5156
7b47c33ceddb2d93478b995bdc6d1fd0958b3c6c,285,1336
3cf40027f8059c42fa422cdecd28843ca157ac33,514,3024
266ad77c085ad06fb8f3600412f4e47a67a33ace,469,2008
696bc36f58e4aa39c56dd98da80a06c64a18c4ba,32,49
325d5501fc3bffa67ab9345462291cd6aaaa6b6e,408,1442
2f05684c58270cb52e643f50c98aa908e3f8d773,321,1218
81ecf310b1e2c2abea2f9ab93e4a0c0fcd862987,477,2870
d5eadebc23494cef3eaa5ab05c48df63aa04f05b,36,81
0d2ff40b7b317338ae8fb14de06068e72bb9615a,52,369
3e10ca5548d47910dc09bc9b2b61adcf94cbb624,35,47
5e333597984e12eb710f8eabd577d2fad6e4ddf6,36,59
16fbd6a2398f65435904d2bd0e80999fad2a4797,337,1308
d43aad29d74250217f5a41a26ce00dbb90159953,104,491
013d56bab6c34190562f784e3ab5a98840248907,21,40
3cf31efe2b1f42c624b923f1fdcd1aaaaf431719,877,7676
f82917da3416fe966ff2fb86eacd6cacda818aa7,158,695
4b71b3c31e45d7e202a39d58f6f2b66d540fdec5,284,792
13168fa7577466c5b01ad958d75ece97ed20b547,611,5040
7655bc9f8eda2d2b8491d22eb3714e7bfda4bb28,20,44
