metadata,unique_words,total_words
950961,62,106
981012,25,43
1193683,27,36
1292706,42,89
1382388,35,83
1500938,19,27
1520769,15,21
1520774,38,83
1533473,24,42
1536064,73,116
1538051,15,17
1538702,28,32
1538743,23,31
1541009,57,85
1541372,29,37
1542026,37,46
1546200,22,38
1548902,84,439
1549282,12,16
1560006,18,22
1560584,36,103
1565447,23,34
1569735,66,120
1570554,18,21
1571629,28,36
1571752,24,36
1574587,17,23
1575505,15,25
1576535,42,62
1578785,40,54
1584436,53,80
1589360,45,60
1593359,30,40
1593375,33,38
1593389,24,32
1593464,22,28
1593523,33,39
1593526,27,35
1593543,28,37
1593576,34,46
1593735,36,45
1594234,15,20
1594910,32,52
1599024,35,46
1599709,95,456
1600401,157,2106
1601718,12,13
1608486,31,35
1608948,76,124
1611766,37,57
1617509,8,15
1620694,22,28
1628053,12,16
1630805,32,38
1638642,11,15
1641997,21,22
1642574,13,18
1645528,15,27
1646058,56,84
1649033,26,39
1654543,19,26
1658252,12,18
1659666,36,67
1663617,19,27
1664900,47,78
1668893,17,19
1671312,40,62
1676041,28,35
1687264,19,33
1694133,26,36
1708876,16,32
1708881,24,34
1723506,14,20
1724940,20,32
1730845,19,25
1739675,14,17
1744674,31,45
1747300,19,25
1748509,24,49
1749475,19,26
1768638,95,172
1781853,20,28
1788847,62,124
1789707,42,55
1818140,21,33
1825720,12,14
1834620,21,29
1854542,26,36
1866836,7,13
1869978,15,21
1883809,16,20
1887293,11,16
1894235,60,94
1906288,153,718
1910061,19,34
1912735,16,20
1913979,84,551
1923613,31,35
1931333,23,34
1936518,13,18
1938174,44,58
1942313,43,59
1947676,18,36
1961989,31,55
1965114,22,28
1984000,11,16
1984974,18,24
1999448,54,65
2015210,24,38
2017514,55,78
2060078,14,16
2068307,36,53
2069249,27,40
2077326,19,27
2089713,22,50
2091052,15,26
2122926,12,22
2129419,97,685
2169354,26,52
2173091,12,18
2173112,28,46
2183929,26,60
2199003,43,70
2218621,28,48
2220025,21,35
2220033,24,46
2446121,41,77
2555956,18,22
2569381,15,20
2596087,25,184
2646484,24,25
2668434,14,16
2688862,24,47
2696564,22,27
2744708,35,50
2759434,82,509
2762745,19,29
2777073,19,34
2781716,17,22
2814857,16,20
2823909,20,35
2824045,33,43
2842444,39,53
2844750,40,55
2846169,19,26
2882702,26,36
2887515,12,16
2887516,10,15
2896464,13,20
2911122,28,33
