sha,issues,change_type,name,additions,removals,context,message
f533aefdc3562f578f16a6dd27bbe6a08a77d130,857,M,examples/src/main/java/org/apache/mahout/classifier/sgd/NewsgroupHelper.java,21,5,16,4
f533aefdc3562f578f16a6dd27bbe6a08a77d130,857,M,examples/src/main/java/org/apache/mahout/classifier/sgd/TestNewsGroups.java,0,5,19,4
b6f37a5cf89037a4aa6c0fa9f635aeb75f2e2340,0,M,core/pom.xml,8,9,25,4
b6f37a5cf89037a4aa6c0fa9f635aeb75f2e2340,0,M,examples/pom.xml,11,12,27,4
b6f37a5cf89037a4aa6c0fa9f635aeb75f2e2340,0,M,maven/pom.xml,8,9,24,4
b6f37a5cf89037a4aa6c0fa9f635aeb75f2e2340,0,M,pom.xml,3,4,16,4
b6f37a5cf89037a4aa6c0fa9f635aeb75f2e2340,0,M,taste-web/pom.xml,4,5,21,4
b6f37a5cf89037a4aa6c0fa9f635aeb75f2e2340,0,M,utils/pom.xml,4,5,19,4
81419837bb4a88540e126f20009419c644236f09,1026,M,examples/bin/cluster-reuters.sh,29,2,18,4
6604f1d9f636bf331ac70077be557e75d3b035d9,1655,M,.gitignore,5,5,6,2
9416447d0aeb84b2c4c08833d2914c377fe26700,175,D,core/src/main/java/org/apache/mahout/cf/taste/impl/common/FileLineIterable.java,0,63,0,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,D,core/src/main/java/org/apache/mahout/cf/taste/impl/common/FileLineIterator.java,0,144,0,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,D,core/src/main/java/org/apache/mahout/cf/taste/impl/common/IOUtils.java,0,134,0,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/model/AbstractJDBCIDMigrator.java,1,1,6,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/model/file/FileDataModel.java,1,1,6,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/AbstractBooleanPrefJDBCDataModel.java,1,1,6,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/AbstractJDBCDataModel.java,1,1,6,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/model/jdbc/GenericJDBCDataModel.java,1,1,6,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/recommender/slopeone/jdbc/AbstractJDBCDiffStorage.java,1,1,6,4
9416447d0aeb84b2c4c08833d2914c377fe26700,175,M,core/src/main/java/org/apache/mahout/cf/taste/impl/similarity/jdbc/AbstractJDBCItemSimilarity.java,1,1,6,4
