algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,48.3975015161,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,46.5585798231,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,45.3770264857,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,47.70621042,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,46.1603070763,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,45.2773241531,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,47.9420718668,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,46.3093579464,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,45.2238045383,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,48.8692795393,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,46.9624692011,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,45.478987879,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,48.4093997892,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,46.5759055466,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,45.4012792758,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,47.7176424466,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,46.1774586235,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,45.3014688021,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,47.9535298127,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,46.32673127,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,45.2459453076,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,48.8824223737,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,46.977904789,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,45.5007064377,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,48.434723228,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,46.5502726876,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,45.3645132349,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,47.7426862954,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,46.1517745608,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,45.2649895302,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,47.9587132918,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,46.3027795083,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,45.210282378,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,48.8803634339,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,46.9762208566,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,45.4850818239,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,48.5035732392,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,46.6370455771,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,45.3958896348,True,True,False,True
batch,0.05,0.5,0.01,1000,1000,100,1.0,1,1,47.8080785099,True,True,False,True
batch,0.025,0.5,0.005,1000,1000,200,1.0,1,1,46.2367534279,True,True,False,True
batch,0.01,0.5,0.002,1000,1000,500,1.0,1,1,45.2957572808,True,True,False,True
batch,0.05,0.5,0.02,1000,1000,100,1.0,1,1,48.0299476631,True,True,False,True
batch,0.025,0.5,0.01,1000,1000,200,1.0,1,1,46.3825186971,True,True,False,True
batch,0.01,0.5,0.004,1000,1000,500,1.0,1,1,45.239788824,True,True,False,True
