algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,35.1571061163,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,35.2903785593,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,34.9874233431,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,35.322293088,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,35.2700369776,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,35.2477041689,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,35.1659055002,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,35.369532038,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,35.0349841119,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,35.1817791301,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,35.1678847642,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,35.0355294871,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,35.3361796924,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,35.2378395555,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,35.0799472844,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,34.9882178292,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,35.242328977,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,35.0750378771,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,35.0532540004,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,35.5156307307,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,35.2200697176,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,35.3282963528,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,35.1354225207,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,35.2313282982,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,35.0720009792,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,35.3052955934,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,35.2241234641,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,35.2902870896,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,35.145591276,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,35.1559060137,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,35.1716919194,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,35.0568061116,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,35.2777583848,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,35.3226810669,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,35.4177844897,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,35.0417250191,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,35.0861896599,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,34.9961037253,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,35.1504144713,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,35.4248120329,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,35.1954957612,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,35.3954575249,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,34.9615726521,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,35.297189665,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,35.1523741836,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,35.0716993509,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,35.1934780723,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,35.3870769436,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,35.2279137157,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,35.3997238526,True,True,False,True
