algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,89.8988815103,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,90.4333765267,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,89.8231885004,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,90.0156940075,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,90.0914870828,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,89.7954378712,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,90.2523717019,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,89.9294334101,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,89.8592106409,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,89.78825016,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,90.0359436341,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,90.7472097508,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,90.1162337412,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,89.9698964126,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,89.9863825497,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,90.0732860534,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,90.142930953,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,89.8140277563,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,90.0574217646,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,89.7590880458,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,90.2396772001,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,90.0120249065,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,90.3224675984,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,89.6782262663,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,90.0112988013,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,89.6295749548,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,90.2128646765,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,90.4146640918,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,90.3148492403,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,89.7494404015,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,90.2700374474,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,90.3538172517,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,89.4911083264,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,89.9996661209,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,89.9195777083,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,88.9924643627,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,90.0362653107,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,90.0345176444,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,90.3361544442,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,89.1103230196,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,90.1310204802,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,89.821785013,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,89.9003522272,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,90.1130845235,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,89.7841456335,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,89.8756430269,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,90.0784275863,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,90.0146362471,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,89.8062500507,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,90.5392476795,True,True,False,True
