score,model_base_alpha,model_base_eta,num_topics
0.3115879382156902,1,1,100
0.22041181274369581,1,1,200
0.1181059469425105,1,1,500
0.14975526415623172,1,2,100
0.22687402532550965,1,2,200
0.17675361486750757,1,2,500
0.33379723905243458,1,5,100
0.21118676315333929,1,5,200
0.20373680945332176,1,5,500
0.20104855995746559,2,1,100
0.29697323081456983,2,1,200
0.20047291340588877,2,1,500
0.24618538617836516,2,2,100
0.26443698152753997,2,2,200
0.13442877364189429,2,2,500
0.33778366485168393,2,5,100
0.2525234007502638,2,5,200
0.16263816881453794,2,5,500
0.37330093220142824,5,1,100
0.28812412533379439,5,1,200
0.1616952393587133,5,1,500
0.21258321857344006,5,2,100
0.15680436440203044,5,2,200
0.13938719549149331,5,2,500
0.24932554161782161,5,5,100
0.25476408513944188,5,5,200
0.13038545111270849,5,5,500
