score,model_base_alpha,model_base_eta,num_topics
0.24283293854530505,auto,auto,100
0.2710951529773365,auto,auto,200
0.28157649501811954,auto,auto,500
0.19821942750112304,auto,1,100
0.23110544384111154,auto,1,200
0.30459468647583809,auto,1,500
0.19465904159628386,auto,2,100
0.23920460031771745,auto,2,200
0.28509721037141283,auto,2,500
0.16094951242773775,auto,5,100
0.25549902882583631,auto,5,200
0.26367134459064506,auto,5,500
0.15526946784612869,1,auto,100
0.27812322617912821,1,auto,200
0.28850864498087414,1,auto,500
0.16398208435672287,1,1,100
0.24565507629455696,1,1,200
0.24233014628540489,1,1,500
0.20353726369675154,1,2,100
0.22218774852247467,1,2,200
0.31530238125909987,1,2,500
0.21892193818568337,1,5,100
0.21102098035578076,1,5,200
0.30947856513798977,1,5,500
0.19126133582865998,2,auto,100
0.22169237257354329,2,auto,200
0.27263395985310251,2,auto,500
0.23004891965471291,2,1,100
0.26998983180855313,2,1,200
0.29122758111057667,2,1,500
0.22358212700514671,2,2,100
0.28965953042993992,2,2,200
0.29188849797043526,2,2,500
0.18920652400122637,2,5,100
0.24357902495471462,2,5,200
0.30368268584959507,2,5,500
0.28093642453279999,5,auto,100
0.2120183883815108,5,auto,200
0.27506686678191561,5,auto,500
0.21239027194454793,5,1,100
0.17540078185377769,5,1,200
0.29742060818991845,5,1,500
0.18045576233346761,5,2,100
0.22643625101356196,5,2,200
0.26867125017478727,5,2,500
0.1916450960793066,5,5,100
0.24105107875497814,5,5,200
0.31461547103475196,5,5,500
