score,model_base_alpha,model_base_eta,num_topics
0.25505972001386135,auto,auto,100
0.28441688659991243,auto,auto,200
0.33126501361024302,auto,auto,500
0.2368610005874115,auto,1,100
0.31823106380509192,auto,1,200
0.26847006713946803,auto,1,500
0.24837491442038295,auto,2,100
0.25417272775483413,auto,2,200
0.28737723658594583,auto,2,500
0.25956160213763135,auto,5,100
0.22809998273576662,auto,5,200
0.26532117401278438,auto,5,500
0.20980292318511309,1,auto,100
0.29144072012838279,1,auto,200
0.31585194106787823,1,auto,500
0.23667282014955737,1,1,100
0.24764668022749103,1,1,200
0.2691472124473499,1,1,500
0.24509957475373073,1,2,100
0.25736861939275107,1,2,200
0.26121819822388365,1,2,500
0.23150179019227018,1,5,100
0.27711996933690269,1,5,200
0.28754930270601942,1,5,500
0.21823659427386433,2,auto,100
0.25721894370617321,2,auto,200
0.26814872752483271,2,auto,500
0.23994402280730717,2,1,100
0.2541030220255992,2,1,200
0.312352471119898,2,1,500
0.24479045815519207,2,2,100
0.22519875754788893,2,2,200
0.31846753339133849,2,2,500
0.23993701168007039,2,5,100
0.27661213080760866,2,5,200
0.27217846258403211,2,5,500
0.2437612946238587,5,auto,100
0.25432188124532562,5,auto,200
0.26314913705763116,5,auto,500
0.2341513993132803,5,1,100
0.2250515723695915,5,1,200
0.30111849716553946,5,1,500
0.218346978033954,5,2,100
0.26170924693263048,5,2,200
0.25917593758800811,5,2,500
0.26558130308673922,5,5,100
0.24573378950523442,5,5,200
0.29487105200132147,5,5,500
