metadata,unique_words,total_words
1564,40,54
1526,14,19
1521,46,94
1522,23,30
1566,10,11
1523,10,14
1491,12,20
1492,5,5
1493,10,15
1496,7,7
1497,53,103
1498,66,182
1529,49,57
1667,19,27
1665,11,14
1662,77,281
1661,7,11
1451,172,448
1448,21,33
1537,18,25
1533,34,46
1532,10,15
1530,6,11
1622,26,42
1519,18,26
1310,9,12
1278,48,81
1472,23,36
1471,22,35
1476,22,29
1573,64,77
1572,20,34
1571,15,18
1577,26,28
1576,7,7
1575,19,24
1574,19,29
1374,31,56
1346,34,46
1483,28,46
1480,21,26
1489,12,18
1488,77,409
1659,14,19
1513,22,33
1652,3,4
1656,7,10
1655,20,32
1434,37,89
1433,19,26
1438,6,6
1502,21,25
1503,38,76
1500,5,5
1501,30,53
1504,24,31
1505,51,90
1508,19,25
1509,26,37
1619,14,25
1616,6,6
1615,49,87
1612,41,71
1610,40,55
1611,17,31
1578,17,20
1542,28,34
1541,50,71
1548,17,21
1468,25,31
1464,23,31
1467,37,61
1466,51,120
1463,17,24
1388,91,203
1385,31,44
1387,17,26
1649,5,9
1420,25,29
1589,7,10
1425,36,54
1427,7,10
1429,20,22
1428,30,49
1580,18,21
1581,28,34
1356,11,11
1517,11,16
1516,42,112
1511,14,17
1510,11,11
1608,19,36
1603,5,7
1602,25,46
1605,23,33
1604,27,35
1606,19,20
1447,40,47
1446,5,5
1445,6,6
1676,8,8
1672,5,5
1560,29,47
1561,10,18
1555,16,26
1554,15,19
1559,7,11
1558,11,14
1565,7,17
1419,93,122
1413,14,19
1415,25,38
1416,32,40
1417,91,139
1329,4,7
1568,49,62
1527,30,37
1520,41,56
1583,15,17
1630,41,110
1635,55,124
1638,52,201
1639,53,172
1595,10,16
1597,45,72
1596,9,13
1590,78,255
1593,65,379
1598,59,81
1569,31,45
1440,42,69
1563,78,168
1449,47,69
