metadata,unique_words,total_words
org.apache.mahout.cf.taste.recommender.MostSimilarItemsCandidateItemsStrategy,14,21
org.apache.mahout.cf.taste.impl.common.LongPrimitiveIterator,24,41
org.apache.mahout.cf.taste.impl.recommender.RandomRecommender,48,170
org.apache.mahout.cf.taste.impl.recommender.NullRescorer<T>,16,94
org.apache.mahout.classifier.sequencelearning.hmm.BaumWelchTrainer,75,380
org.apache.mahout.cf.taste.hadoop.slopeone.SlopeOnePrefsToDiffsReducer,31,94
org.apache.mahout.cf.taste.eval.IRStatistics,31,98
org.apache.mahout.cf.taste.impl.similarity.precompute.FileSimilarItemsWriter,29,101
org.apache.mahout.clustering.minhash.MinHashMapper,62,291
org.apache.mahout.cf.taste.similarity.precompute.SimilarItem,8,34
org.apache.mahout.cf.taste.similarity.precompute.SimilarItem.$1,6,10
org.apache.mahout.Version,12,27
org.apache.mahout.clustering.spectral.common.UnitVectorizerJob,40,114
org.apache.mahout.clustering.spectral.common.UnitVectorizerJob.UnitVectorizerMapper,13,29
org.apache.mahout.cf.taste.impl.similarity.CityBlockSimilarity,53,243
org.apache.mahout.cf.taste.impl.similarity.file.FileItemItemSimilarityIterable,16,62
org.apache.mahout.cf.taste.impl.model.GenericUserPreferenceArray,73,370
org.apache.mahout.cf.taste.impl.model.GenericUserPreferenceArray.iterator().$1,5,6
org.apache.mahout.cf.taste.impl.model.GenericUserPreferenceArray.PreferenceView,10,28
org.apache.mahout.clustering.meanshift.MeanShiftCanopyReducer,46,149
org.apache.mahout.cf.taste.impl.recommender.knn.ConjugateGradientOptimizer,37,66
org.apache.mahout.classifier.df.mapreduce.Builder,127,604
org.apache.mahout.classifier.df.mapreduce.Builder.sortSplits(InputSplit[]).$1,11,26
org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator,14,46
org.apache.mahout.common.IntPairWritable,34,119
org.apache.mahout.common.IntPairWritable.Comparator,12,30
org.apache.mahout.common.IntPairWritable.FirstGroupingComparator,12,40
org.apache.mahout.common.IntPairWritable.Frequency,19,63
org.apache.mahout.classifier.df.data.conditions.Condition,13,57
org.apache.mahout.classifier.sgd.RankingGradient,47,110
org.apache.mahout.cf.taste.impl.recommender.AllSimilarItemsCandidateItemsStrategy,22,71
org.apache.mahout.classifier.df.data.Data,93,402
org.apache.mahout.classifier.df.node.NumericalNode,33,162
org.apache.mahout.cf.taste.impl.common.InvertedRunningAverage,15,50
org.apache.mahout.math.VarIntWritable,23,75
org.apache.mahout.cf.taste.hadoop.als.PredictionMapper,72,348
"org.apache.mahout.cf.taste.hadoop.als.PredictionMapper.map(IntWritable,VectorWritable,Context).$1",19,39
org.apache.mahout.cf.taste.hadoop.RecommendedItemsWritable,36,140
org.apache.mahout.cf.taste.impl.recommender.AllUnknownItemsCandidateItemsStrategy,20,48
org.apache.mahout.clustering.iterator.CIMapper,41,117
org.apache.mahout.clustering.spectral.common.AffinityMatrixInputMapper,69,184
org.apache.mahout.common.distance.SquaredEuclideanDistanceMeasure,33,64
org.apache.mahout.clustering.canopy.CanopyReducer,37,107
org.apache.mahout.cf.taste.impl.recommender.svd.FunkSVDFactorizer,75,513
org.apache.mahout.common.distance.MinkowskiDistanceMeasure,53,127
org.apache.mahout.cf.taste.impl.common.WeightedRunningAverageAndStdDev,38,195
org.apache.mahout.clustering.kmeans.KMeansDriver,119,823
org.apache.mahout.cf.taste.hadoop.item.AggregateAndRecommendReducer,117,546
org.apache.mahout.common.CommandLineUtil,40,130
org.apache.mahout.classifier.df.tools.ForestVisualizer,70,371
org.apache.mahout.cf.taste.impl.recommender.GenericItemBasedRecommender,121,760
"org.apache.mahout.cf.taste.impl.recommender.GenericItemBasedRecommender.GenericItemBasedRecommender(DataModel,ItemSimilarity,CandidateItemsStrategy,MostSimilarItemsCandidateItemsStrategy).$1",4,5
org.apache.mahout.cf.taste.impl.recommender.GenericItemBasedRecommender.MostSimilarEstimator,15,56
org.apache.mahout.cf.taste.impl.recommender.GenericItemBasedRecommender.Estimator,12,32
org.apache.mahout.cf.taste.impl.recommender.GenericItemBasedRecommender.MultiMostSimilarEstimator,22,94
org.apache.mahout.cf.taste.impl.recommender.GenericItemBasedRecommender.RecommendedBecauseEstimator,16,43
org.apache.mahout.cf.taste.impl.recommender.svd.ParallelSGDFactorizer,225,844
org.apache.mahout.cf.taste.impl.recommender.svd.ParallelSGDFactorizer.PreferenceShuffler,36,150
org.apache.mahout.cf.taste.impl.recommender.svd.ParallelSGDFactorizer.factorize().$1,5,5
org.apache.mahout.cf.taste.impl.common.FixedRunningAverageAndStdDev,21,69
org.apache.mahout.clustering.kmeans.KMeansConfigKeys,17,28
org.apache.mahout.cf.taste.similarity.precompute.SimilarItemsWriter,16,23
org.apache.mahout.cf.taste.similarity.UserSimilarity,37,78
org.apache.mahout.cf.taste.impl.model.GenericDataModel,107,776
org.apache.mahout.cf.taste.impl.neighborhood.AbstractUserNeighborhood,23,111
org.apache.mahout.clustering.Cluster,51,101
org.apache.mahout.cf.taste.hadoop.als.SolveExplicitFeedbackMapper,52,137
org.apache.mahout.classifier.naivebayes.test.TestNaiveBayesDriver,107,436
org.apache.mahout.clustering.streaming.mapreduce.StreamingKMeansMapper,53,192
org.apache.mahout.cf.taste.impl.common.FastIDSet,88,575
org.apache.mahout.cf.taste.impl.common.FastIDSet.KeyIterator,16,57
org.apache.mahout.clustering.iterator.AbstractClusteringPolicy,42,93
org.apache.mahout.classifier.sgd.PassiveAggressive,120,435
org.apache.mahout.cf.taste.impl.common.SkippingIterator<V>,22,36
org.apache.mahout.fpm.pfpgrowth.MultiTransactionTreeIterator,15,59
org.apache.mahout.classifier.naivebayes.training.ThetaMapper,37,135
org.apache.mahout.cf.taste.hadoop.slopeone.SlopeOneAverageDiffsJob,55,174
org.apache.mahout.classifier.df.node.Node,34,80
org.apache.mahout.classifier.df.node.Node.Type,4,4
org.apache.mahout.clustering.kmeans.Kluster,34,156
org.apache.mahout.cf.taste.impl.eval.GenericRelevantItemsDataSplitter,46,158
org.apache.mahout.cf.taste.impl.eval.OrderBasedRecommenderEvaluator,163,979
org.apache.mahout.cf.taste.impl.similarity.precompute.MultithreadedBatchItemSimilarities,88,341
org.apache.mahout.cf.taste.impl.similarity.precompute.MultithreadedBatchItemSimilarities.Output,26,93
org.apache.mahout.cf.taste.impl.similarity.precompute.MultithreadedBatchItemSimilarities.SimilarItemsWorker,33,129
org.apache.mahout.cf.taste.hadoop.als.SolveImplicitFeedbackMapper,53,141
org.apache.mahout.cf.taste.impl.common.jdbc.AbstractJDBCComponent,53,153
org.apache.mahout.classifier.df.data.conditions.Equals,7,19
org.apache.mahout.cf.taste.model.JDBCDataModel,22,40
org.apache.mahout.classifier.naivebayes.training.ComplementaryThetaTrainer,24,58
org.apache.mahout.vectorizer.document.SequenceFileTokenizerMapper,42,118
"org.apache.mahout.cf.taste.hadoop.als.SharingMapper<K1,V1,K2,V2,S>",27,61
org.apache.mahout.fpm.pfpgrowth.convertors.StatusUpdater,5,6
org.apache.mahout.cf.taste.hadoop.pseudo.ReducerMetrics,10,13
org.apache.mahout.common.parameters.Parametered,39,71
org.apache.mahout.common.parameters.Parametered.ParameteredGeneralizations,38,155
org.apache.mahout.common.parameters.Parametered.ParameteredGeneralizations.Help,23,108
org.apache.mahout.common.parameters.Parametered.ParameteredGeneralizations.Conf,19,105
org.apache.mahout.cf.taste.hadoop.item.ToVectorAndPrefReducer,30,107
org.apache.mahout.cf.taste.impl.common.RunningAverage,32,86
org.apache.mahout.cf.taste.impl.recommender.FarthestNeighborClusterSimilarity,50,171
org.apache.mahout.common.Parameters,37,173
org.apache.mahout.math.DistributedRowMatrixWriter,24,66
org.apache.mahout.math.hadoop.similarity.cooccurrence.measures.TanimotoCoefficientSimilarity,18,45
org.apache.mahout.cf.taste.impl.recommender.svd.SVDPlusPlusFactorizer,95,510
org.apache.mahout.cf.taste.similarity.PreferenceInferrer,27,49
org.apache.mahout.cf.taste.impl.recommender.slopeone.MemoryDiffStorage,140,1066
"org.apache.mahout.cf.taste.impl.recommender.slopeone.MemoryDiffStorage.MemoryDiffStorage(DataModel,Weighting,long).$1",8,8
org.apache.mahout.classifier.df.data.DataLoader,90,462
org.apache.mahout.clustering.iterator.KMeansClusteringPolicy,31,80
org.apache.mahout.classifier.naivebayes.training.StandardThetaTrainer,21,52
org.apache.mahout.vectorizer.encoders.WordValueEncoder,48,151
org.apache.mahout.classifier.sgd.CsvRecordFactory,193,949
org.apache.mahout.classifier.sgd.CsvRecordFactory.firstLine(String).$1,10,12
org.apache.mahout.classifier.sgd.CsvRecordFactory.getPredictors().$2,8,8
org.apache.mahout.cf.taste.impl.model.file.FileDataModel,263,1840
org.apache.mahout.cf.taste.impl.model.file.FileDataModel.findUpdateFilesAfter(long).$1,4,6
org.apache.mahout.math.hadoop.stochasticsvd.SSVDSolver,327,1400
org.apache.mahout.math.hadoop.stochasticsvd.SSVDSolver.OutputScalingEnum,5,5
org.apache.mahout.math.hadoop.TransposeJob,52,275
org.apache.mahout.math.hadoop.TransposeJob.TransposeMapper,33,66
org.apache.mahout.math.hadoop.TransposeJob.MergeVectorsCombiner,18,39
org.apache.mahout.math.hadoop.TransposeJob.MergeVectorsReducer,21,48
org.apache.mahout.cf.taste.hadoop.pseudo.RecommenderJob,52,169
org.apache.mahout.vectorizer.collocations.llr.GramKey,58,211
org.apache.mahout.math.random.RandomProjector,55,359
org.apache.mahout.classifier.sgd.DefaultGradient,37,64
org.apache.mahout.cf.taste.impl.common.RunningAverageAndStdDev,16,29
org.apache.mahout.classifier.ClassifierResult,17,87
org.apache.mahout.cf.taste.impl.recommender.svd.NoPersistenceStrategy,9,17
"org.apache.mahout.ep.State<T,U>",128,395
org.apache.mahout.classifier.df.data.Dataset,115,712
org.apache.mahout.classifier.df.data.Dataset.Attribute,8,33
org.apache.mahout.classifier.df.builder.DefaultTreeBuilder,95,420
org.apache.mahout.cf.taste.impl.model.AbstractJDBCIDMigrator,57,210
"org.apache.mahout.cf.taste.hadoop.als.MultithreadedSharingMapper<K1,V1,K2,V2>",33,75
org.apache.mahout.common.AbstractJob,240,1907
org.apache.mahout.classifier.df.mapreduce.partial.PartialBuilder,67,291
org.apache.mahout.cf.taste.impl.common.SamplingLongPrimitiveIterator,38,134
org.apache.mahout.clustering.classify.ClusterClassificationConfigKeys,12,23
org.apache.mahout.math.hadoop.stochasticsvd.VJob,62,306
org.apache.mahout.math.hadoop.stochasticsvd.VJob.VMapper,62,220
org.apache.mahout.cf.taste.model.UpdatableIDMigrator,28,58
org.apache.mahout.classifier.ConfusionMatrix,121,790
org.apache.mahout.cf.taste.impl.common.RefreshHelperTest,22,121
org.apache.mahout.cf.taste.hadoop.slopeone.FullRunningAverageAndStdDevWritable,21,95
org.apache.mahout.cf.taste.hadoop.TopItemsQueue,26,90
org.apache.mahout.cf.taste.hadoop.preparation.ToItemVectorsReducer,21,45
org.apache.mahout.cf.taste.impl.model.PlusAnonymousUserDataModel,106,670
org.apache.mahout.cf.taste.recommender.ItemBasedRecommender,58,369
org.apache.mahout.clustering.canopy.CanopyClusterer,90,379
org.apache.mahout.cf.taste.impl.common.BitSet,25,87
org.apache.mahout.cf.taste.impl.model.GenericBooleanPrefDataModel,93,694
org.apache.mahout.cf.taste.impl.eval.LoadStatistics,5,16
org.apache.mahout.clustering.lda.cvb.CVB0Driver,253,2167
org.apache.mahout.clustering.lda.cvb.CVB0Driver.DualDoubleSumReducer,18,55
org.apache.mahout.clustering.AbstractCluster,92,472
org.apache.mahout.cf.taste.impl.recommender.knn.Optimizer,4,4
org.apache.mahout.clustering.lda.cvb.CVB0TopicTermVectorNormalizerMapper,23,39
org.apache.mahout.cf.taste.hadoop.als.DatasetSplitter,57,297
org.apache.mahout.cf.taste.hadoop.als.DatasetSplitter.MarkPreferencesMapper,24,73
org.apache.mahout.cf.taste.hadoop.als.DatasetSplitter.WritePrefsMapper,16,36
org.apache.mahout.cf.taste.hadoop.item.ItemFilterMapper,26,70
org.apache.mahout.common.distance.TestEuclideanDistanceMeasure,6,16
org.apache.mahout.cf.taste.impl.recommender.GenericUserBasedRecommender,83,413
"org.apache.mahout.cf.taste.impl.recommender.GenericUserBasedRecommender.GenericUserBasedRecommender(DataModel,UserNeighborhood,UserSimilarity).$1",4,5
org.apache.mahout.cf.taste.impl.recommender.GenericUserBasedRecommender.MostSimilarEstimator,17,65
org.apache.mahout.cf.taste.impl.recommender.GenericUserBasedRecommender.Estimator,11,23
org.apache.mahout.clustering.spectral.common.MatrixDiagonalizeJob,53,157
org.apache.mahout.clustering.spectral.common.MatrixDiagonalizeJob.MatrixDiagonalizeMapper,16,36
org.apache.mahout.clustering.spectral.common.MatrixDiagonalizeJob.MatrixDiagonalizeReducer,30,55
org.apache.mahout.cf.taste.impl.similarity.PearsonCorrelationSimilarity,60,163
org.apache.mahout.math.ssvd.SequentialOutOfCoreSvd,139,522
org.apache.mahout.cf.taste.impl.recommender.svd.Factorizer,11,12
org.apache.mahout.cf.taste.impl.recommender.svd.ALSWRFactorizer,120,574
