metadata,unique_words,total_words
105dd44c6cb008456d58ef4e21c4530fd90dd731,926,19098
310394956149b8b40d6d2bdfadc0ea7e0338d254,370,747
14076ee7c9bf4b21d0fb6526cf08282cea2a0c33,6,9
015f96d1c2a99e18d5a39d37e2726e6eb22fdd00,53,100
f4186bd05d91fdf3ae5fc3f9b62f0a554e47ffc3,36,106
29692b43dd216bde24b8daa31bb774f73b42b623,0,0
555d8a0441461d0e6823da08a92289126c673172,41,74
bfac920f2cce3950f00cdc3c2225ef658fd0fdbf,11,12
9d69b9cab4832b45c66c4b3bd1ab3f27b04bba85,11,14
c6a9ee3a7aff986d9e5b80db25b0f153e033b100,11,12
a5fcefd046b8f9f2c159b40928982a0da1aa5a10,24,47
06be4d19ed675ab00bab4328af60e129b739ccc0,0,0
eb2b998387473012894f49dfd963bf11badf8c6c,0,0
15dd7ded424107b7ea50ab2c1a7fb06ad6e75877,29,91
05e5a0287b1927eefadf7366de01744373cf1d68,25,63
fe905f28ac0165796715e3563f4d87dca87fbf9a,146,990
2f34057ecf847edb3a9d1bdd49a3ff70f96b5a3f,8,24
a67504148699d0ed29d341fa354ec2e9b8e30b6a,35,189
856c531790abc880c3ffe4a91928d10a6c7f6547,16,82
86d2cd4f13d3d8854efe36859bf7a89b19651443,32,119
3cef4e609759623303f192b3b85eba8988d99550,52,186
4d51977c3061556d7dd8967cfae4dfbb2cb5d0b9,98,305
75f6462f3579b4623665654c4044be4c4e160dab,155,656
7775f5538c089fedcdc72dc9a13f0846061cb72f,99,454
f3f357012519ae050a7eda64740b88318da8ffb6,114,609
d9d0435078602099fb890bc3a3453d1d9d7094da,42,111
040b9f04a3c0273c9e73c91befd3b2eb146e7628,194,981
a9aac664bc668fbd0ea8997399cc4f700bde9a51,10,18
5b7ac76a9395911c681555aad0056843b7323bcc,183,387
aa6a2e89822fdbe22148a5819768c7793212faa4,10,32
21d2a8d5fa120562e6c053d69250f32614444e54,49,86
eb697055c4153fa89b1924dbd59102ef8fc7e63d,490,1787
b9d6bea16b723b1709911be6689043e62df25c6b,292,2970
78a1b638ef94f0f63ae9beedf984d1f4afd1e66a,442,4301
7fa8722163701a7139dcd9d6bda7250d32713c65,284,2897
ff6d80c0eeecf4ca0fd1df2064dcc4cd6339ac8a,209,1276
d9107144b2b5b3679d8b8750a0f86319ad59547d,289,2682
a3cef0b7fb13c8108de8962724d5143c19eefe5d,214,2743
5480f6b84ce876e2a85dbe962e25c4136fe2d6b6,45,145
9b191ff7929ffcc35d1300b35179030ed588810d,70,268
