metadata,unique_words,total_words
com.mucommander.desktop.CommandOpenInFileManager,20,65
com.mucommander.file.impl.iso.IsoFormatProvider,28,73
com.mucommander.command.PermissionsFileFilter,36,108
com.mucommander.file.MutableFileAttributes,42,142
com.mucommander.ant.jnlp.PropertyElement,13,29
com.mucommander.file.filter.FilenameGenerator,14,32
com.mucommander.file.PathCanonizer,25,47
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.unpack.decode.LowDistDecode,11,17
com.mucommander.io.RandomGeneratorInputStream,37,103
com.mucommander.ui.action.impl.ToggleOwnerColumnAction,23,41
com.mucommander.ui.action.impl.ToggleOwnerColumnAction.Factory,12,21
com.mucommander.ui.action.impl.ToggleOwnerColumnAction.Descriptor,6,8
com.mucommander.file.util.PathTokenizer,100,502
com.mucommander.ant.macosx.DataValue,16,42
com.mucommander.ui.action.impl.CustomizeCommandBarAction,19,41
com.mucommander.ui.action.impl.CustomizeCommandBarAction.Factory,12,21
com.mucommander.ui.action.impl.CustomizeCommandBarAction.Descriptor,12,25
com.mucommander.file.impl.s3.S3File,103,521
com.mucommander.file.AbstractROArchiveFile,39,90
com.mucommander.file.DefaultPathCanonizerTest,30,214
com.mucommander.ui.dialog.startup.CheckVersionDialog,133,483
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.unpack.decode.BitDecode,9,14
com.mucommander.ant.macosx.BooleanKey,17,24
com.mucommander.ant.jnlp.PackageElement,12,28
com.mucommander.process.AbstractProcess,105,351
com.mucommander.process.AbstractProcess.destroy().$1,19,30
com.mucommander.ui.main.toolbar.ToolBar,145,587
com.mucommander.ui.main.toolbar.ToolBar.HistoryPopupButton,27,83
com.mucommander.ui.action.impl.InternalViewAction,36,80
com.mucommander.ui.action.impl.InternalViewAction.Factory,11,21
com.mucommander.ui.action.impl.InternalViewAction.Descriptor,11,24
com.mucommander.ui.dialog.pref.component.PrefComboBox,12,24
com.mucommander.ui.dialog.pref.component.PrefComboBox.addDialogListener(PreferencesDialog).$1,8,10
"com.mucommander.cache.LRUCache<K,V>",140,515
com.mucommander.commons.CommonsLogger,45,219
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.AVHeader,18,58
com.mucommander.ui.action.impl.RecallPreviousWindowAction,18,37
com.mucommander.ui.action.impl.RecallPreviousWindowAction.Factory,12,21
com.mucommander.ui.action.impl.RecallPreviousWindowAction.Descriptor,15,36
com.mucommander.ant.macosx.NamedInfoElement,110,346
com.mucommander.ant.macosx.RealValue,77,220
com.mucommander.desktop.gnome.GnomeTrashProvider,9,20
com.mucommander.ant.jnlp.ExtensionElement,23,78
com.mucommander.ui.dialog.auth.AuthDialog,165,1031
com.mucommander.extension.ExtensionManager,161,834
com.mucommander.file.impl.zip.ZipFormatProvider,38,78
com.mucommander.ant.macosx.StringValue,17,48
com.mucommander.file.impl.iso.IsoParser,165,651
com.mucommander.file.impl.iso.IsoParser.stat,3,3
com.mucommander.file.impl.iso.IsoParser.todo,5,6
com.mucommander.file.impl.iso.IsoParser.isoDr,28,78
com.mucommander.file.impl.iso.IsoParser.isoPvd,56,221
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.BaseBlock,69,337
com.mucommander.desktop.gnome.GnomeTrash,183,848
com.mucommander.file.filter.ContainsPathFilter,24,96
com.mucommander.conf.ConfigurationEvent,53,316
com.mucommander.bookmark.BookmarkManager,172,880
com.mucommander.bookmark.BookmarkManager.Loader,11,21
com.mucommander.shell.Shell,103,401
com.mucommander.ant.jnlp.JnlpTask,139,1745
com.mucommander.file.impl.sevenzip.SevenZipArchiveFile,59,209
com.mucommander.file.impl.sevenzip.SevenZipArchiveFile.$1,7,11
"com.mucommander.file.impl.sevenzip.SevenZipArchiveFile.getEntryInputStream(ArchiveEntry,ArchiveEntryIterator).$2",23,60
com.mucommander.Launcher,385,2245
com.mucommander.desktop.kde.Kde3TrashProvider,11,26
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.exception.RarException,20,80
com.mucommander.io.bom.BOMTest,58,358
com.mucommander.ui.action.impl.GoToForumsAction,21,38
com.mucommander.ui.action.impl.GoToForumsAction.Factory,10,19
com.mucommander.ui.action.impl.GoToForumsAction.Descriptor,10,23
com.mucommander.file.AbstractRWArchiveFile,99,373
com.mucommander.file.RWArchiveEntryFile,94,482
com.mucommander.file.RWArchiveEntryFile.getOutputStream().$1,11,16
com.mucommander.conf.ConfigurationReaderFactory,36,91
com.mucommander.test.ConditionalTestRunner,47,139
com.mucommander.file.UnsupportedFileOperation,11,12
com.mucommander.ui.notifier.GrowlNotifier,137,544
com.mucommander.bookmark.file.BookmarkOutputStream,40,105
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.unpack.vm.VMStandardFilterSignature,13,53
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.HostSystem,23,102
