metadata,unique_words,total_words
com.mucommander.conf.XmlConfigurationWriterFactoryTest.testFactoryMethod(),9,23
com.mucommander.file.filter.EndsWithPathFilter.EndsWithPathFilter(String),12,16
"com.mucommander.file.filter.EndsWithPathFilter.EndsWithPathFilter(String,boolean)",12,22
"com.mucommander.file.filter.EndsWithPathFilter.EndsWithPathFilter(String,boolean,boolean)",15,32
com.mucommander.ant.jnlp.ArgumentElement.ArgumentElement(),5,5
com.mucommander.ant.jnlp.ArgumentElement.addText(String),4,5
com.mucommander.ant.jnlp.ArgumentElement.getText(),3,5
com.mucommander.bookmark.BookmarkListener.bookmarksChanged(),8,8
com.mucommander.auth.CredentialsWriter.write(OutputStream),54,196
com.mucommander.file.DefaultPathCanonizer.DefaultPathCanonizer(String),12,21
"com.mucommander.file.DefaultPathCanonizer.DefaultPathCanonizer(String,String)",15,42
com.mucommander.file.DefaultPathCanonizer.canonize(String),52,168
"com.mucommander.conf.ValueList.ValueList(String,String)",16,40
com.mucommander.conf.ValueList.valueAt(int),10,23
com.mucommander.conf.ValueList.integerValueAt(int),14,32
com.mucommander.conf.ValueList.floatValueAt(int),13,27
com.mucommander.conf.ValueList.doubleValueAt(int),13,27
com.mucommander.conf.ValueList.longValueAt(int),13,27
com.mucommander.conf.ValueList.booleanValueAt(int),10,23
"com.mucommander.conf.ValueList.listValueAt(int,String)",15,42
com.mucommander.conf.ValueList.valueIterator(),5,16
"com.mucommander.conf.ValueList.toString(List<>,String)",20,60
com.mucommander.file.filter.AndFileFilter.AndFileFilter(FileFilter),13,23
"com.mucommander.file.filter.AndFileFilter.AndFileFilter(boolean,FileFilter)",14,31
com.mucommander.file.filter.AndFileFilter.accept(AbstractFile),21,47
com.mucommander.conf.SourceConfigurationException.SourceConfigurationException(String),8,14
com.mucommander.conf.SourceConfigurationException.SourceConfigurationException(Throwable),13,32
"com.mucommander.conf.SourceConfigurationException.SourceConfigurationException(String,Throwable)",15,34
com.mucommander.file.filter.PathGenerator.getCriterionValue(AbstractFile),5,7
"com.mucommander.RuntimeConstants.getAttribute(Attributes,String)",10,31
com.mucommander.desktop.windows.WindowsTrash.canMoveToTrash(AbstractFile),6,9
com.mucommander.desktop.windows.WindowsTrash.canEmpty(),1,1
com.mucommander.desktop.windows.WindowsTrash.empty(),9,12
com.mucommander.desktop.windows.WindowsTrash.isTrashFile(AbstractFile),42,58
com.mucommander.desktop.windows.WindowsTrash.getItemCount(),27,40
com.mucommander.desktop.windows.WindowsTrash.canOpen(),0,0
com.mucommander.desktop.windows.WindowsTrash.open(),12,13
com.mucommander.desktop.windows.WindowsTrash.moveToTrash(Vector<AbstractFile>),37,74
com.mucommander.file.WrapperArchiveEntryIterator.WrapperArchiveEntryIterator(Iterator<>),12,28
com.mucommander.file.WrapperArchiveEntryIterator.nextEntry(),3,5
com.mucommander.file.WrapperArchiveEntryIterator.close(),3,4
com.mucommander.PlatformManager.getDefaultPreferencesFolder(),32,81
com.mucommander.PlatformManager.getPreferencesFolder(),20,51
com.mucommander.PlatformManager.setPreferencesFolder(File),22,52
com.mucommander.PlatformManager.setPreferencesFolder(String),23,60
com.mucommander.PlatformManager.setPreferencesFolder(AbstractFile),24,55
com.mucommander.bookmark.file.BookmarkOutputStream.close(),10,15
com.mucommander.bookmark.file.BookmarkOutputStream.startBookmarks(),3,3
com.mucommander.bookmark.file.BookmarkOutputStream.endBookmarks(),2,2
"com.mucommander.bookmark.file.BookmarkOutputStream.addBookmark(String,String)",17,58
com.mucommander.conf.impl.VersionedXmlConfigurationReader.getVersion(),12,25
"com.mucommander.conf.impl.VersionedXmlConfigurationReader.startElement(String,String,String,Attributes)",14,30
com.mucommander.desktop.kde.Kde3TrashProvider.getTrash(),6,9
com.mucommander.ant.macosx.IntegerKey.setValue(int),8,14
com.mucommander.ant.jnlp.AppletDescElement.AppletDescElement(),6,7
com.mucommander.ant.jnlp.AppletDescElement.getDocumentBase(),3,5
com.mucommander.ant.jnlp.AppletDescElement.getMain(),2,3
com.mucommander.ant.jnlp.AppletDescElement.getName(),2,3
com.mucommander.ant.jnlp.AppletDescElement.getWidth(),1,2
com.mucommander.ant.jnlp.AppletDescElement.getHeight(),1,2
com.mucommander.ant.jnlp.AppletDescElement.hasParams(),2,3
com.mucommander.ant.jnlp.AppletDescElement.params(),4,6
com.mucommander.ant.jnlp.AppletDescElement.setDocumentBase(String),4,6
com.mucommander.ant.jnlp.AppletDescElement.setMain(String),3,4
com.mucommander.ant.jnlp.AppletDescElement.setName(String),3,4
com.mucommander.ant.jnlp.AppletDescElement.setWidth(int),2,3
com.mucommander.ant.jnlp.AppletDescElement.setHeight(int),2,3
com.mucommander.ant.jnlp.AppletDescElement.createParam(),7,14
com.mucommander.command.CommandWriter.CommandWriter(OutputStream),14,24
com.mucommander.command.CommandWriter.startBuilding(),8,15
com.mucommander.command.CommandWriter.endBuilding(),7,13
com.mucommander.command.CommandWriter.addCommand(Command),26,86
com.mucommander.bookmark.BookmarkManager.BookmarkManager(),5,8
com.mucommander.bookmark.BookmarkManager.buildBookmarks(BookmarkBuilder),17,37
com.mucommander.bookmark.BookmarkManager.getBookmarksFile(),22,44
com.mucommander.bookmark.BookmarkManager.setBookmarksFile(String),17,57
com.mucommander.bookmark.BookmarkManager.setBookmarksFile(File),17,52
com.mucommander.bookmark.BookmarkManager.setBookmarksFile(AbstractFile),9,21
com.mucommander.bookmark.BookmarkManager.loadBookmarks(),16,26
com.mucommander.bookmark.BookmarkManager.readBookmarks(InputStream),12,21
"com.mucommander.bookmark.BookmarkManager.readBookmarks(InputStream,BookmarkBuilder)",20,36
com.mucommander.bookmark.BookmarkManager.getBookmarkWriter(OutputStream),19,39
com.mucommander.bookmark.BookmarkManager.writeBookmarks(boolean),21,57
com.mucommander.bookmark.BookmarkManager.getBookmarks(),23,36
com.mucommander.bookmark.BookmarkManager.removeBookmark(Bookmark),8,15
com.mucommander.bookmark.BookmarkManager.getBookmark(String),18,36
com.mucommander.bookmark.BookmarkManager.addBookmark(Bookmark),9,17
com.mucommander.bookmark.BookmarkManager.addBookmarkListener(BookmarkListener),20,46
com.mucommander.bookmark.BookmarkManager.removeBookmarkListener(BookmarkListener),10,30
com.mucommander.bookmark.BookmarkManager.fireBookmarksChanged(),28,48
com.mucommander.bookmark.BookmarkManager.setFireEvents(boolean),34,68
"com.mucommander.bookmark.BookmarkManager.elementsAdded(int,int)",7,8
"com.mucommander.bookmark.BookmarkManager.elementsRemoved(int,int)",7,8
com.mucommander.bookmark.BookmarkManager.elementChanged(int),5,6
com.mucommander.bookmark.BookmarkManager.Loader.startBookmarks(),2,2
com.mucommander.bookmark.BookmarkManager.Loader.endBookmarks(),1,1
"com.mucommander.bookmark.BookmarkManager.Loader.addBookmark(String,String)",6,13
com.mucommander.desktop.kde.KdeTrash.KdeTrash(String),14,27
com.mucommander.desktop.kde.KdeTrash.executeAndWait(String),21,72
com.mucommander.desktop.kde.KdeTrash.canMoveToTrash(AbstractFile),6,9
com.mucommander.desktop.kde.KdeTrash.canEmpty(),1,1
com.mucommander.desktop.kde.KdeTrash.empty(),5,6
com.mucommander.desktop.kde.KdeTrash.isTrashFile(AbstractFile),9,16
com.mucommander.desktop.kde.KdeTrash.getItemCount(),2,2
com.mucommander.desktop.kde.KdeTrash.open(),6,6
com.mucommander.desktop.kde.KdeTrash.canOpen(),0,0
com.mucommander.desktop.kde.KdeTrash.moveToTrash(Vector<AbstractFile>),16,32
com.mucommander.desktop.kde.Kde4TrashProvider.getTrash(),6,9
"com.mucommander.file.impl.nfs.NFSProtocolProvider.getFile(FileURL,Object)",7,12
com.mucommander.bonjour.BonjourDirectory.BonjourDirectory(),6,6
com.mucommander.bonjour.BonjourDirectory.setActive(boolean),37,72
com.mucommander.bonjour.BonjourDirectory.isActive(),10,20
com.mucommander.bonjour.BonjourDirectory.getServices(),13,38
com.mucommander.bonjour.BonjourDirectory.createBonjourService(ServiceInfo),32,85
com.mucommander.bonjour.BonjourDirectory.serviceAdded(ServiceEvent),23,44
com.mucommander.bonjour.BonjourDirectory.serviceAdded(ServiceEvent).$1.run(),10,14
com.mucommander.bonjour.BonjourDirectory.serviceResolved(ServiceEvent),36,84
com.mucommander.bonjour.BonjourDirectory.serviceRemoved(ServiceEvent),44,101
com.mucommander.io.compound.CompoundReaderTest.getTestReaderIterator(),8,30
com.mucommander.io.compound.CompoundReaderTest.copyReader(Reader),7,14
com.mucommander.io.compound.CompoundReaderTest.testMerged(),15,32
com.mucommander.io.compound.CompoundReaderTest.testUnmerged(),18,41
com.mucommander.file.impl.ar.ArFormatProvider.getFile(AbstractFile),3,9
com.mucommander.file.impl.ar.ArFormatProvider.getFilenameFilter(),2,6
com.mucommander.ant.macosx.BooleanKey.setValue(boolean),7,12
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.SubBlockHeaderType.SubBlockHeaderType(short),4,7
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.SubBlockHeaderType.getSubblocktype(),3,3
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.SubBlockHeaderType.findSubblockHeaderType(short),10,19
com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.SubBlockHeaderType.equals(Object),8,15
com.mucommander.ant.jnlp.J2seElement.J2seElement(),3,5
com.mucommander.ant.jnlp.J2seElement.getVersion(),2,3
com.mucommander.ant.jnlp.J2seElement.getHref(),2,3
com.mucommander.ant.jnlp.J2seElement.getInitialHeap(),2,4
com.mucommander.ant.jnlp.J2seElement.getMaxHeap(),2,4
com.mucommander.ant.jnlp.J2seElement.resources(),3,6
com.mucommander.ant.jnlp.J2seElement.hasResources(),2,3
com.mucommander.ant.jnlp.J2seElement.setVersion(String),3,4
com.mucommander.ant.jnlp.J2seElement.setHref(String),3,4
com.mucommander.ant.jnlp.J2seElement.setInitialHeap(int),3,5
com.mucommander.ant.jnlp.J2seElement.setMaxHeap(int),3,5
com.mucommander.ant.jnlp.J2seElement.createResources(),5,14
com.mucommander.file.filter.CriterionValueGenerator<C>.getCriterionValue(AbstractFile),3,4
com.mucommander.conf.XmlConfigurationReaderFactoryTest.testFactoryMethod(),9,23
com.mucommander.ant.macosx.StringKey.setValue(String),6,11
com.mucommander.ant.macosx.DataKey.DataKey(),5,9
com.mucommander.ant.macosx.DataKey.addText(String),6,10
com.mucommander.bookmark.file.BookmarkFile.BookmarkFile(Bookmark),19,38
com.mucommander.bookmark.file.BookmarkFile.getUnderlyingFile(),21,38
com.mucommander.bookmark.file.BookmarkFile.getBookmark(),3,8
com.mucommander.bookmark.file.BookmarkFile.getName(),3,4
com.mucommander.bookmark.file.BookmarkFile.ls(),5,8
com.mucommander.bookmark.file.BookmarkFile.getParent(),5,5
com.mucommander.bookmark.file.BookmarkFile.getFreeSpace(),7,11
com.mucommander.bookmark.file.BookmarkFile.getTotalSpace(),7,11
com.mucommander.bookmark.file.BookmarkFile.isDirectory(),1,1
com.mucommander.bookmark.file.BookmarkFile.setParent(AbstractFile),4,9
com.mucommander.bookmark.file.BookmarkFile.exists(),4,6
com.mucommander.bookmark.file.BookmarkFile.mkfile(),4,6
com.mucommander.bookmark.file.BookmarkFile.equals(Object),15,31
com.mucommander.bookmark.file.BookmarkFile.getCanonicalPath(),5,5
com.mucommander.bookmark.file.BookmarkFile.renameTo(AbstractFile),21,57
com.mucommander.bookmark.file.BookmarkFile.delete(),5,12
com.mucommander.bookmark.file.BookmarkFile.copyRemotelyTo(AbstractFile),15,28
com.mucommander.bookmark.file.BookmarkFile.getPermissions(),2,4
"com.mucommander.bookmark.file.BookmarkFile.changePermission(int,int,boolean)",8,17
com.mucommander.bookmark.file.BookmarkFile.getInputStream(),25,61
com.mucommander.bookmark.file.BookmarkFile.getOutputStream(),4,8
com.mucommander.bookmark.file.BookmarkFile.mkdir(),7,13
com.mucommander.bookmark.file.BookmarkFile.getDate(),1,1
com.mucommander.bookmark.file.BookmarkFile.getChangeablePermissions(),5,9
com.mucommander.bookmark.file.BookmarkFile.changeDate(long),7,15
com.mucommander.bookmark.file.BookmarkFile.getSize(),1,1
com.mucommander.bookmark.file.BookmarkFile.getRandomAccessInputStream(),9,21
com.mucommander.bookmark.file.BookmarkFile.getAppendOutputStream(),7,17
com.mucommander.bookmark.file.BookmarkFile.getRandomAccessOutputStream(),9,21
com.mucommander.bookmark.file.BookmarkFile.getUnderlyingFileObject(),3,4
com.mucommander.bookmark.file.BookmarkFile.isSymlink(),1,1
com.mucommander.bookmark.file.BookmarkFile.getOwner(),2,2
com.mucommander.bookmark.file.BookmarkFile.canGetOwner(),1,1
com.mucommander.bookmark.file.BookmarkFile.getGroup(),1,1
com.mucommander.bookmark.file.BookmarkFile.canGetGroup(),0,0
com.mucommander.file.impl.gzip.GzipArchiveFile.GzipArchiveFile(AbstractFile),8,19
com.mucommander.file.impl.gzip.GzipArchiveFile.getEntryIterator(),17,45
"com.mucommander.file.impl.gzip.GzipArchiveFile.getEntryInputStream(ArchiveEntry,ArchiveEntryIterator)",10,23
com.mucommander.desktop.AbstractTrash.canMoveToTrash(AbstractFile),22,35
com.mucommander.desktop.AbstractTrash.moveToTrash(AbstractFile),9,23
com.mucommander.desktop.AbstractTrash.canEmpty(),5,8
com.mucommander.desktop.AbstractTrash.empty(),7,12
com.mucommander.desktop.AbstractTrash.isTrashFile(AbstractFile),23,62
com.mucommander.desktop.AbstractTrash.getItemCount(),9,17
com.mucommander.desktop.AbstractTrash.open(),5,6
com.mucommander.desktop.AbstractTrash.canOpen(),9,17
com.mucommander.desktop.AbstractTrash.waitForPendingOperations(),17,22
"com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.FileNameDecoder.getChar(byte[],int)",2,4
"com.mucommander.file.impl.rar.provider.de.innosystec.unrar.rarfile.FileNameDecoder.decode(byte[],int)",15,107
"com.mucommander.runtime.ComparableRuntimeProperty.ComparableRuntimeProperty(String,Integer)",15,32
com.mucommander.runtime.ComparableRuntimeProperty.isCurrentOrLower(),15,31
com.mucommander.runtime.ComparableRuntimeProperty.isCurrentLower(),14,29
com.mucommander.runtime.ComparableRuntimeProperty.isCurrentOrHigher(),14,28
com.mucommander.runtime.ComparableRuntimeProperty.isCurrentHigher(),13,26
com.mucommander.runtime.ComparableRuntimeProperty.compareTo(ComparableRuntimeProperty),6,9
com.mucommander.desktop.TrashProvider.getTrash(),3,7
com.mucommander.bookmark.file.BookmarkRoot.BookmarkRoot(),8,12
com.mucommander.bookmark.file.BookmarkRoot.BookmarkRoot(FileURL),12,16
com.mucommander.bookmark.file.BookmarkRoot.ls(),15,31
