sha,issues,change_type,name,additions,removals,context,message
4d28f28b20ee8300fe6c68c914e1f0b2e0974c24,825,D,openjpa-slice/src/main/java/org/apache/openjpa/slice/ExecutorServiceValue.java,0,102,0,4
4d28f28b20ee8300fe6c68c914e1f0b2e0974c24,825,M,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,0,6,24,4
eced6dc23285e5dd62652e31733e5d8ddefdb8e4,1213,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/compat/TestEmbeddableSuperclass.java,12,3,15,4
5a014cc6cdfa5475f4869e2cb3b2a2046f6151af,802,M,openjpa-project/CHANGES.txt,1,0,6,4
5a014cc6cdfa5475f4869e2cb3b2a2046f6151af,802,M,openjpa-project/RELEASE-NOTES.html,1,0,6,4
7185be3250b94be2469569e65fecbe0b311fe7ed,1712,M,pom.xml,17,3,18,4
8c8cd98a655144d072b6849eb42108435a3ebed8,645,M,openjpa-project/CHANGES.txt,1,0,6,4
8c8cd98a655144d072b6849eb42108435a3ebed8,645,M,openjpa-project/RELEASE-NOTES.html,1,0,6,4
add6a29be4017c1cf670034811ab5942f756ce94,230,M,openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java,0,1,6,4
1f47d6379813e5cfefae45ad1f874921ffc54920,2143,M,openjpa-kernel/src/main/java/org/apache/openjpa/event/LifecycleEventManager.java,118,99,39,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,2,0,6,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java,30,21,28,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,57,48,20,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StoreCollectionFieldStrategy.java,13,4,51,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/BindParameter.java,18,9,32,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,12,4,22,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Select.java,0,13,4,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectExecutor.java,16,0,10,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java,8,2,18,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java,17,20,60,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-lib/src/test/java/org/apache/openjpa/lib/util/TestGate.java,1,1,6,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAQuery.java,7,7,36,4
49adef7c61f3bf2c2257a01375b01264bb333088,2099,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,3,3,11,4
8746348ea3352d60a0b2e33f36b165ed0d01eda2,876,M,openjpa-persistence-jdbc/pom.xml,7,3,16,4
e34e85396e08fda7c9ddec531869b0cc2dd6291b,1501,M,openjpa-kernel/src/main/java/org/apache/openjpa/util/StringId.java,6,4,16,4
e34e85396e08fda7c9ddec531869b0cc2dd6291b,1501,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/identity/StringIdEntity.java,52,0,0,4
e34e85396e08fda7c9ddec531869b0cc2dd6291b,1501,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/identity/TestStringId.java,112,0,0,4
ee170672b1c1d04321e2350f01f8ff17974e6a5c,573,M,openjpa-kernel/src/main/jjtree/org/apache/openjpa/kernel/jpql/JPQL.jjt,1,1,6,4
ee170672b1c1d04321e2350f01f8ff17974e6a5c,573,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jpql/expressions/TestEJBQLCondExpression.java,8,2,18,4
4b3d520ee9c59831beb199ff429d5783dffd6ce2,1492,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,1,1,6,4
43b545eca415b965f3e7d7a91dedf1890323fa53,1725,M,openjpa-project/src/doc/manual/ref_guide_dbsetup.xml,18,1,12,4
aa88b32b06ec37c1b618d3e4c2d552b852a0b1b5,1725,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,6,1,12,4
aa88b32b06ec37c1b618d3e4c2d552b852a0b1b5,1725,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,6,3,24,4
eb7eb2ee0fda172c286b56b3a3c64f6fe691fadf,552,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProviderImpl.java,0,6,6,4
9223144782ea6369c611645e667a2149b1bd170d,1932,M,openjpa-project/src/doc/manual/jpa_overview_arch.xml,1,1,6,4
9223144782ea6369c611645e667a2149b1bd170d,1932,M,openjpa-project/src/doc/manual/jpa_overview_em.xml,3,3,18,4
9223144782ea6369c611645e667a2149b1bd170d,1932,M,openjpa-project/src/doc/manual/jpa_overview_pc.xml,7,7,42,4
9223144782ea6369c611645e667a2149b1bd170d,1932,M,openjpa-project/src/doc/manual/jpa_overview_persistence.xml,2,2,12,4
