algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,51.4910818143,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,49.3502700697,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,49.7484699691,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,49.173528736,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,47.8404871944,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,50.1329235038,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,49.3506791285,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,48.1594429224,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,49.3614324207,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,51.0880652016,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,49.4602271912,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,49.5774124419,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,51.6125414264,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,49.5687377434,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,50.0402711078,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,49.2895499948,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,48.5266124654,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.4260430715,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,49.466124424,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,48.3582776254,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,49.6375996207,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,51.4971751521,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,49.6426802003,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,49.8530116885,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,51.6174112481,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,49.4279651078,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,49.5893834421,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,49.2957013807,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,48.3919009636,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,49.9665953605,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,49.47526727,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,48.1699722539,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,49.2466428927,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,51.2185053006,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,49.5612374895,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,49.538421655,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,52.2315018216,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,49.7606164609,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,48.8871950231,True,True,False,True
