algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,94.4062480525,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,95.0437268921,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,94.1518093778,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,94.3585081903,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,94.7330117431,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,94.743431922,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,95.5574599171,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,95.0735375087,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,95.1039156611,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,95.0896580575,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,94.0861652706,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,94.6166119033,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,94.54186626,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,94.5300465289,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,95.6330733614,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,95.0355965151,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,95.4684876955,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,95.7518481876,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,95.376387821,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,95.5953694958,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,95.1332737509,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,95.264955774,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,94.5597573904,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,94.7934673663,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,94.1405107391,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,95.0862638116,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,94.5272778542,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,93.5100929898,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,95.0815679304,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,94.5371333658,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,94.4479489492,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,94.5965418907,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,94.8564994088,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,94.4769126605,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,95.3445750954,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,94.1273609052,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,94.4736849976,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,94.2982272321,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,95.1237824789,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,94.2679852099,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,95.1204687218,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,94.1484696253,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,95.2256026786,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,95.3917774572,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,94.1363550652,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,94.3404681098,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,94.8420812099,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,95.0499659909,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,94.7122724201,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,94.8066315642,True,True,False,True
