metadata,unique_words,total_words
org.apache.openjpa.jdbc.meta.JDBCOrder,23,30
org.apache.openjpa.integration.validation.ConstraintNull,25,67
org.apache.openjpa.jdbc.kernel.exps.InSubQExpression,35,146
org.apache.openjpa.jdbc.kernel.exps.InSubQExpression.InSubQExpState,6,21
org.apache.openjpa.jdbc.meta.strats.AbstractDiscriminatorStrategy,49,109
org.apache.openjpa.jdbc.schema.LazySchemaFactory,70,300
org.apache.openjpa.datacache.DelegatingQueryCache,51,256
embeddables.User,24,68
org.apache.openjpa.jdbc.kernel.exps.TypeLit,47,181
org.apache.openjpa.jdbc.kernel.exps.TypeLit.LitExpState,10,15
org.apache.openjpa.jdbc.meta.strats.PrimitiveFieldStrategy,131,922
org.apache.openjpa.jdbc.kernel.AbstractUpdateManager,112,981
org.apache.openjpa.jdbc.kernel.AbstractUpdateManager.CustomMapping,18,47
org.apache.openjpa.datacache.ClearableScheduler,82,231
org.apache.openjpa.datacache.ClearableScheduler.Schedule,51,238
org.apache.openjpa.jdbc.meta.strats.UntypedPCValueHandler,74,241
org.apache.openjpa.kernel.LocalManagedRuntime,69,288
org.apache.openjpa.jdbc.sql.PostgresDictionary,381,1986
org.apache.openjpa.jdbc.sql.PostgresDictionary.PostgresConnection,24,72
org.apache.openjpa.jdbc.sql.PostgresDictionary.PostgresPreparedStatement,42,111
org.apache.openjpa.event.ClearListener,12,21
org.apache.openjpa.jdbc.sql.LogicalUnion,81,469
org.apache.openjpa.jdbc.sql.LogicalUnion.Selector,10,14
org.apache.openjpa.jdbc.sql.LogicalUnion.UnionSelect,109,1139
org.apache.openjpa.jdbc.sql.LogicalUnion.ResultComparator,32,125
org.apache.openjpa.kernel.UUIDHexSeq,28,66
org.apache.openjpa.kernel.exps.CollectionParam,27,66
org.apache.openjpa.kernel.exps.Args,37,106
org.apache.openjpa.kernel.exps.GreaterThanEqualExpression,13,27
org.apache.openjpa.integration.validation.SimpleEntity,27,127
org.apache.openjpa.jdbc.kernel.exps.Param,56,303
org.apache.openjpa.jdbc.kernel.exps.Param.ParamExpState,10,15
org.apache.openjpa.lib.jdbc.JDBCEventConnectionDecorator,41,235
org.apache.openjpa.lib.jdbc.JDBCEventConnectionDecorator.EventConnection,30,270
org.apache.openjpa.lib.jdbc.JDBCEventConnectionDecorator.EventPreparedStatement,22,117
org.apache.openjpa.lib.jdbc.JDBCEventConnectionDecorator.EventStatement,21,87
org.apache.openjpa.jdbc.kernel.exps.IsNotEmptyExpression,33,88
org.apache.openjpa.jdbc.kernel.JDBCStoreQuery,312,3085
"org.apache.openjpa.jdbc.kernel.JDBCStoreQuery.populateUnion(Union,ClassMapping[],boolean,ExpressionFactory[],QueryExpressions[],QueryExpressionsState[],ExpContext,boolean,int,long,long).$1",18,28
org.apache.openjpa.jdbc.kernel.JDBCStoreQuery.ThreadLocalContext,5,9
org.apache.openjpa.jdbc.schema.ForeignKey,174,1894
org.apache.openjpa.jdbc.schema.ForeignKey.FKMapKey,22,79
org.apache.openjpa.jdbc.kernel.exps.WhenCondition,34,136
org.apache.openjpa.jdbc.meta.strats.ObjectIdClassStrategy,31,54
org.apache.openjpa.kernel.exps.ToUpperCase,26,56
org.apache.openjpa.lib.rop.ResultList<E>,46,85
org.apache.openjpa.jdbc.kernel.exps.PCPath,273,2750
org.apache.openjpa.jdbc.kernel.exps.PCPath.PathExpState,14,22
org.apache.openjpa.jdbc.kernel.exps.PCPath.Action,19,37
org.apache.openjpa.meta.NoneMetaDataFactory,79,215
org.apache.openjpa.event.MethodLifecycleCallbacks,69,230
org.apache.openjpa.jdbc.kernel.exps.EmptyExpression,24,46
org.apache.openjpa.jdbc.kernel.ConnectionInfo,13,16
org.apache.openjpa.integration.daytrader.OrderDataBean,103,710
org.apache.openjpa.jdbc.kernel.exps.ConstInstanceofExpression,35,81
org.apache.openjpa.jdbc.identifier.QualifiedDBIdentifier,73,666
org.apache.openjpa.integration.validation.TestConstraints,138,3368
org.apache.openjpa.jdbc.schema.ColumnIO,28,403
org.apache.openjpa.jdbc.schema.ColumnIO.$1,7,28
org.apache.openjpa.jdbc.meta.VersionStrategy,49,106
org.apache.openjpa.kernel.QueryImpl,384,3401
org.apache.openjpa.kernel.QueryImpl.Compilation,12,17
org.apache.openjpa.kernel.QueryImpl.CompilationKey,24,97
org.apache.openjpa.kernel.QueryImpl.MergedExecutor,112,491
org.apache.openjpa.kernel.QueryImpl.PackingResultObjectProvider,23,101
org.apache.openjpa.kernel.QueryImpl.RemoveOnCloseResultList,46,214
org.apache.openjpa.jdbc.sql.TestDictionaryFactory,133,477
org.apache.openjpa.jdbc.kernel.exps.WhenScalar,34,133
org.apache.openjpa.jdbc.sql.FoxProDictionary,136,462
org.apache.openjpa.kernel.UUIDType4StringSeq,27,70
org.apache.openjpa.jdbc.kernel.exps.Min,14,18
org.apache.openjpa.jdbc.kernel.exps.StringLength,34,85
org.apache.openjpa.jdbc.schema.SchemaTool,334,3278
org.apache.openjpa.jdbc.schema.SchemaTool.main(String[]).$1,12,18
org.apache.openjpa.jdbc.schema.SchemaTool.Flags,17,24
org.apache.openjpa.jdbc.meta.Embeddable,62,146
org.apache.openjpa.enhance.PCDataGenerator,213,3164
org.apache.openjpa.enhance.PCDataGenerator.DynamicPCData,12,23
org.apache.openjpa.lib.conf.ProductDerivation,105,298
org.apache.openjpa.enhance.ManagedClassSubclasser,203,800
"org.apache.openjpa.enhance.ManagedClassSubclasser.prepareUnenhancedClasses(OpenJPAConfiguration,Collection<>,ClassLoader).$1",8,9
org.apache.openjpa.event.OrphanedKeyAction,31,53
org.apache.openjpa.lib.identifier.DefaultTestIdRule,3,4
org.apache.openjpa.jdbc.meta.FieldStrategy,129,592
org.apache.openjpa.jdbc.identifier.DBIdentifierRule,30,91
org.apache.openjpa.jdbc.meta.strats.LobFieldStrategy,86,545
org.apache.openjpa.jdbc.kernel.MixedLockManager,84,361
org.apache.openjpa.jdbc.sql.RowImpl,181,2045
org.apache.openjpa.jdbc.meta.ReverseCustomizer,103,365
org.apache.openjpa.jdbc.kernel.exps.NotExpression,28,85
org.apache.openjpa.jdbc.kernel.exps.NotExpression.NotExpState,3,9
org.apache.openjpa.jdbc.meta.strats.NanoPrecisionTimestampVersionStrategy,15,32
org.apache.openjpa.jdbc.kernel.exps.Any,7,9
org.apache.openjpa.jdbc.meta.strats.RelationCollectionTableFieldStrategy,60,218
org.apache.openjpa.jdbc.sql.HSQLDictionary,173,751
org.apache.openjpa.jdbc.meta.ValueHandler,81,218
org.apache.openjpa.util.ProxyManagerImpl,322,4227
org.apache.openjpa.util.ProxyManagerImpl.getFactoryProxyBean(Object).$1,6,6
org.apache.openjpa.util.ProxyManagerImpl.main(String[]).$2,7,7
hellojpa.Message,13,40
org.apache.openjpa.kernel.HollowState,28,80
org.apache.openjpa.conf.SeqValue,28,60
org.apache.openjpa.integration.daytrader.TradeBuildDB,91,316
org.apache.openjpa.jdbc.kernel.exps.CompareEqualExpression,60,285
org.apache.openjpa.jdbc.meta.strats.ColumnVersionStrategy,150,773
org.apache.openjpa.jdbc.kernel.exps.InExpression,80,437
org.apache.openjpa.jdbc.kernel.exps.InExpression.InExpState,5,19
org.apache.openjpa.integration.persistence.provider.DummyPersistenceProviderResolver,7,14
org.apache.openjpa.jdbc.kernel.JDBCStore,55,134
org.apache.openjpa.jdbc.conf.JDBCConfiguration,185,1561
org.apache.openjpa.jdbc.meta.Strategy,78,273
org.apache.openjpa.jdbc.kernel.PreparedQueryImpl,179,993
org.apache.openjpa.jdbc.sql.SelectImpl,374,4525
org.apache.openjpa.jdbc.sql.SelectImpl.NullId,4,4
org.apache.openjpa.jdbc.sql.SelectImpl.Placeholder,4,5
org.apache.openjpa.jdbc.sql.SelectImpl.Key,9,42
org.apache.openjpa.jdbc.sql.SelectImpl.SelectResult,127,610
org.apache.openjpa.jdbc.sql.SelectImpl.PathJoinsImpl,38,169
org.apache.openjpa.jdbc.sql.SelectImpl.SelectJoins,83,569
org.apache.openjpa.jdbc.sql.SelectImpl.Selects,55,245
"org.apache.openjpa.jdbc.sql.SelectImpl.Selects.getAliases(boolean,boolean).$1",19,53
org.apache.openjpa.jdbc.sql.PathJoins,26,57
org.apache.openjpa.integration.validation.ConstraintDates,37,183
org.apache.openjpa.integration.validation.IAddress,8,34
org.apache.openjpa.kernel.ConnectionRetainModes,21,35
org.apache.openjpa.jdbc.meta.strats.LRSProxyCollection,56,231
org.apache.openjpa.jdbc.meta.strats.LRSProxyCollection.count().$1,15,25
org.apache.openjpa.jdbc.meta.strats.LRSProxyCollection.has(Object).$2,29,79
org.apache.openjpa.jdbc.meta.strats.LRSProxyCollection.itr().$3,28,62
org.apache.openjpa.jdbc.meta.strats.LRSProxyCollection.ResultIterator,26,80
org.apache.openjpa.datacache.CacheDistributionPolicy,75,155
org.apache.openjpa.jdbc.kernel.PagingResultObjectProvider,169,1040
org.apache.openjpa.jdbc.sql.SQLExceptions,42,322
org.apache.openjpa.jdbc.meta.strats.RelationToManyTableFieldStrategy,126,788
org.apache.openjpa.enhance.CodeGenerator,165,1554
org.apache.openjpa.integration.validation.ValGroup1,1,1
org.apache.openjpa.jdbc.ant.ReverseMappingToolTask,122,622
org.apache.openjpa.jdbc.ant.ReverseMappingToolTask.Level,6,7
org.apache.openjpa.jdbc.ant.ReverseMappingToolTask.AccessType,8,9
org.apache.openjpa.event.PostPersistListener,17,25
org.apache.openjpa.kernel.exps.ContainsKeyExpression,19,41
org.apache.openjpa.kernel.DelegatingExtent,40,182
org.apache.openjpa.datacache.DataCachePCDataGenerator,111,626
org.apache.openjpa.datacache.DataCachePCDataGenerator.Timed,7,8
org.apache.openjpa.jdbc.sql.JoinSet,97,558
org.apache.openjpa.jdbc.sql.JoinSet.iterator().$1,12,19
org.apache.openjpa.jdbc.sql.JoinSet.Node,18,63
org.apache.openjpa.jdbc.kernel.exps.Val,85,338
org.apache.openjpa.jdbc.kernel.exps.NullIfExpression,57,303
org.apache.openjpa.meta.InterfaceImplGenerator,134,562
org.apache.openjpa.jdbc.kernel.exps.Substring,61,301
org.apache.openjpa.jdbc.kernel.DelegatingJDBCFetchConfiguration,45,429
org.apache.openjpa.kernel.ObjectFactory<T>,15,17
org.apache.openjpa.kernel.PCResultObjectProvider,24,41
org.apache.openjpa.jdbc.sql.InformixDictionary,244,980
org.apache.openjpa.jdbc.meta.strats.NoneFieldStrategy,16,41
org.apache.openjpa.event.AbstractTransactionListener,23,91
org.apache.openjpa.kernel.OrderingMergedResultObjectProvider,29,119
org.apache.openjpa.kernel.OrderingMergedResultObjectProvider.OrderingComparator,11,46
reversemapping.Main,98,299
org.apache.openjpa.kernel.PNonTransNewState,19,35
org.apache.openjpa.util.DoubleId,18,52
org.apache.openjpa.jdbc.sql.EmpressDictionary,180,429
org.apache.openjpa.jdbc.kernel.exps.ContainsExpression,29,73
org.apache.openjpa.jdbc.meta.strats.InValueDiscriminatorStrategy,99,396
org.apache.openjpa.datacache.PartitionedDataCache,86,336
org.apache.openjpa.jdbc.identifier.DBIdentifier,158,1787
org.apache.openjpa.jdbc.identifier.DBIdentifier.DBIdentifierType,14,15
org.apache.openjpa.event.BeginTransactionListener,13,22
relations.Main,123,455
org.apache.openjpa.jdbc.kernel.exps.AndExpression,32,146
org.apache.openjpa.jdbc.conf.MappingRepositoryValue,46,94
org.apache.openjpa.datacache.DataCacheManagerImpl,99,467
org.apache.openjpa.kernel.EDirtyState,32,77
org.apache.openjpa.jdbc.meta.strats.EmbedFieldStrategy,148,1376
org.apache.openjpa.jdbc.meta.strats.EmbedFieldStrategy.NullEmbeddedStateManager,98,866
org.apache.openjpa.jdbc.meta.strats.EmbedFieldStrategy.EmbeddedRowManager,26,137
org.apache.openjpa.jdbc.meta.strats.EmbedFieldStrategy.EmbeddedRow,51,827
org.apache.openjpa.jdbc.meta.RefreshStrategyInstaller,62,284
org.apache.openjpa.jdbc.kernel.TestUpdateManagerFlushException,34,82
org.apache.openjpa.jdbc.kernel.TestUpdateManagerFlushException.TestUpdateManager,27,88
"org.apache.openjpa.jdbc.kernel.TestUpdateManagerFlushException.TestUpdateManager.populateRowManager(OpenJPAStateManager,RowManager,JDBCStore,Collection,Collection).$1",17,90
org.apache.openjpa.jdbc.kernel.TestUpdateManagerFlushException.TestOpenJPAStateManager,68,563
org.apache.openjpa.jdbc.kernel.TestUpdateManagerFlushException.TestConnection,41,263
org.apache.openjpa.jdbc.kernel.TestUpdateManagerFlushException.TestJDBCStore,24,61
org.apache.openjpa.conf.OpenJPAVersionAndConfigurationTypeValidationPolicy,31,69
org.apache.openjpa.kernel.exps.Sqrt,16,25
org.apache.openjpa.jdbc.kernel.exps.Aggregate,77,306
org.apache.openjpa.jdbc.kernel.JDBCFetchConfigurationImpl,128,1008
org.apache.openjpa.jdbc.kernel.JDBCFetchConfigurationImpl.JDBCConfigurationState,22,27
org.apache.openjpa.jdbc.schema.TableSchemaFactory,187,1130
org.apache.openjpa.jdbc.schema.TableSchemaFactory.main(String[]).$1,13,19
org.apache.openjpa.kernel.AbstractPCResultObjectProvider,68,237
org.apache.openjpa.jdbc.kernel.exps.SelectConstructor,174,1032
org.apache.openjpa.jdbc.kernel.exps.SelectConstructor.ProjectionExpressionVisitor,20,47
org.apache.openjpa.jdbc.sql.CacheDictionary,41,65
org.apache.openjpa.jdbc.sql.Select,172,1252
