score,model_base_alpha,model_base_eta,num_topics
0.17757685757815761,1,1,100
0.20453367621083893,1,1,200
0.18224589582223949,1,1,500
0.17310941289213327,1,2,100
0.20643286311593159,1,2,200
0.17149423411282472,1,2,500
0.20427378697557078,1,5,100
0.18087098931351134,1,5,200
0.20590937560306599,1,5,500
0.18084564844052237,2,1,100
0.20992664334013492,2,1,200
0.2008034482883754,2,1,500
0.22736913896279473,2,2,100
0.20168577919371197,2,2,200
0.18146778480551598,2,2,500
0.1988476344395346,2,5,100
0.23250928691034517,2,5,200
0.17724903519075227,2,5,500
0.1441949477482255,5,1,100
0.22728882850828294,5,1,200
0.15521732327950535,5,1,500
0.17833589660443749,5,2,100
0.13769163772019458,5,2,200
0.13819788925321952,5,2,500
0.15134704167231935,5,5,100
0.23040819542174681,5,5,200
0.1790710824114661,5,5,500
