score,model_base_alpha,model_base_eta,num_topics
0.22711167587434808,auto,auto,100
0.30418465439207754,auto,auto,200
0.31133094002038114,auto,auto,500
0.20665097415433872,auto,1,100
0.26970282437518739,auto,1,200
0.29735769482716012,auto,1,500
0.17093448429097299,auto,2,100
0.24057699218098871,auto,2,200
0.25857187301110229,auto,2,500
0.18575034964266188,auto,5,100
0.25238326129848443,auto,5,200
0.27670580723804822,auto,5,500
0.20170484703305747,1,auto,100
0.26784395377249631,1,auto,200
0.29777732483905872,1,auto,500
0.19873374758255649,1,1,100
0.23542971541064503,1,1,200
0.29667297663153713,1,1,500
0.23587779899236228,1,2,100
0.24209239547313582,1,2,200
0.2986067950254675,1,2,500
0.18463567079940435,1,5,100
0.25885417570186681,1,5,200
0.2889891769025576,1,5,500
0.21334237491201835,2,auto,100
0.28366616425846969,2,auto,200
0.30167074041750885,2,auto,500
0.21010902831818309,2,1,100
0.25584690876919242,2,1,200
0.2864881102692094,2,1,500
0.2145897388502605,2,2,100
0.28271895243259842,2,2,200
0.29950028838379522,2,2,500
0.23271868571138363,2,5,100
0.274818988488014,2,5,200
0.32805531680289574,2,5,500
0.18761669189314586,5,auto,100
0.24194200549436806,5,auto,200
0.3464784736315798,5,auto,500
0.22641702123823645,5,1,100
0.26456626715785125,5,1,200
0.2882951431545499,5,1,500
0.25576821528391813,5,2,100
0.28098443280857666,5,2,200
0.30312798131527052,5,2,500
0.22949064581948772,5,5,100
0.24488749153022144,5,5,200
0.29794870391951461,5,5,500
