score,model_base_alpha,model_base_eta,num_topics
0.32009289765622956,auto,auto,100
0.32762775491227708,auto,auto,200
0.3999347600302946,auto,auto,500
0.28507340825819505,auto,1,100
0.35049943600174099,auto,1,200
0.33307179438566298,auto,1,500
0.3042124391619318,auto,2,100
0.33064484058472893,auto,2,200
0.34972640530170307,auto,2,500
0.28206327970062123,auto,5,100
0.30155416538520874,auto,5,200
0.35505609556704454,auto,5,500
0.30610023057425378,1,auto,100
0.31926555729040418,1,auto,200
0.36124392817716133,1,auto,500
0.31761832684325964,1,1,100
0.32737974909168782,1,1,200
0.38398485429936696,1,1,500
0.28221743370412333,1,2,100
0.33495297579668559,1,2,200
0.34029689479453323,1,2,500
0.27668584946047603,1,5,100
0.32438903788404366,1,5,200
0.31489941109412983,1,5,500
0.28206449459133015,2,auto,100
0.3044945171812361,2,auto,200
0.3672992442613468,2,auto,500
0.27562968328515997,2,1,100
0.3590247880071839,2,1,200
0.37594299753488242,2,1,500
0.28242053202686612,2,2,100
0.3019423692909603,2,2,200
0.35091552095631101,2,2,500
0.29690196800894614,2,5,100
0.28972406066861556,2,5,200
0.32826597868998042,2,5,500
0.27318957846318809,5,auto,100
0.28840706726601961,5,auto,200
0.3782804989009369,5,auto,500
0.28036205064436065,5,1,100
0.35475625570510433,5,1,200
0.34787897625488867,5,1,500
0.2940922251164933,5,2,100
0.30087905316431224,5,2,200
0.32373344341887428,5,2,500
0.28608083947494356,5,5,100
0.29279966074191061,5,5,200
0.35052519086326234,5,5,500
