metadata,unique_words,total_words
openbook.domain.Author.getId(),0,0
openbook.domain.Author.getName(),2,3
openbook.domain.Author.setName(String),3,6
openbook.domain.Author.getBooks(),3,4
openbook.domain.Author.addBook(Book),5,12
openbook.domain.Author.getVersion(),1,2
org.apache.openjpa.trader.service.Exchange.Exchange(String),3,4
"org.apache.openjpa.trader.service.Exchange.Exchange(String,Map<String,Object>)",31,55
"org.apache.openjpa.trader.service.Exchange.ask(Trader,Stock,int,double)",9,17
"org.apache.openjpa.trader.service.Exchange.bid(Trader,Stock,int,double)",10,24
org.apache.openjpa.trader.service.Exchange.matchBid(Bid),14,30
org.apache.openjpa.trader.service.Exchange.matchAsk(Ask),13,24
org.apache.openjpa.trader.service.Exchange.withdraw(Tradable),18,22
org.apache.openjpa.trader.service.Exchange.refresh(Tradable),6,10
org.apache.openjpa.trader.service.Exchange.trade(Match),9,24
org.apache.openjpa.trader.service.Exchange.login(String),9,24
org.apache.openjpa.trader.service.Exchange.getStock(String),8,17
"org.apache.openjpa.trader.service.Exchange.getTrades(Timestamp,Timestamp)",15,29
"org.apache.openjpa.trader.service.Exchange.getTrades(Trader,Boolean,Timestamp,Timestamp)",25,66
org.apache.openjpa.trader.service.Exchange.populate(),29,76
org.apache.openjpa.trader.service.Exchange.getStocks(),10,19
org.apache.openjpa.trader.service.Exchange.getLog(),4,10
org.apache.openjpa.trader.service.Exchange.close(),1,2
"org.apache.openjpa.trader.service.Exchange.addLog(Map<String,Object>)",10,22
org.apache.openjpa.trader.service.Exchange.getServiceURI(),16,30
"jpa.tools.swing.EntityTable<T>.EntityTable(Class<T>,List<T>,int,EntityManagerFactory)",30,58
jpa.tools.swing.EntityTable<T>.getInstanceRenderer(),3,8
"jpa.tools.swing.EntityTable<T>.getCellRenderer(int,int)",27,68
"jpa.tools.swing.EntityTable<T>.getCellEditor(int,int)",14,34
jpa.tools.swing.EntityTable<T>.initColumnSizes(),29,130
jpa.tools.swing.EntityTable<T>.InstanceCellRenderer.InstanceCellRenderer(PersistenceUnitUtil),6,9
jpa.tools.swing.EntityTable<T>.InstanceCellRenderer.renderAsString(Object),11,28
jpa.tools.swing.EntityTable<T>.InstanceCellRenderer.setValue(Object),10,13
jpa.tools.swing.EntityTable<T>.CollectionCellRenderer.CollectionCellRenderer(),7,7
"jpa.tools.swing.EntityTable<T>.CollectionCellRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)",10,23
org.apache.openjpa.example.gallery.constraint.ImageContentValidator.initialize(ImageContent),15,21
"org.apache.openjpa.example.gallery.constraint.ImageContentValidator.isValid(byte[],ConstraintValidatorContext)",26,62
jpa.tools.swing.QueryDecorator.decorate(Query),2,2
org.apache.openjpa.trader.client.ui.HelpLink.HelpLink(String),10,20
org.apache.openjpa.trader.client.ui.HelpLink.onClick(ClickEvent),6,9
org.apache.openjpa.trader.client.ui.HelpLink.HelpWindow.HelpWindow(),20,43
org.apache.openjpa.trader.client.ui.HelpLink.HelpWindow.HelpWindow().$1.onClick(ClickEvent),3,5
org.apache.openjpa.trader.client.ui.HelpLink.HelpWindow.showHelp(String),7,10
"org.apache.openjpa.trader.client.ui.HelpLink.HelpWindow.setPosition(int,int)",11,19
org.apache.openjpa.integration.validation.TestEagerInit.setUp(),25,38
org.apache.openjpa.integration.validation.TestEagerInit.tearDown(),9,10
org.apache.openjpa.integration.validation.TestEagerInit.testNonNullEmf(),2,3
org.apache.openjpa.trader.client.LoginDialog.LoginDialog(OpenTrader),35,112
org.apache.openjpa.trader.client.LoginDialog.LoginDialog(OpenTrader).$1.onClick(ClickEvent),21,30
org.apache.openjpa.trader.client.LoginDialog.LoginCallback.onFailure(Throwable),9,10
org.apache.openjpa.trader.client.LoginDialog.LoginCallback.onSuccess(Trader),7,11
org.apache.openjpa.trader.client.LoginDialog.GetServerURI.onFailure(Throwable),6,7
org.apache.openjpa.trader.client.LoginDialog.GetServerURI.onSuccess(String),8,11
org.apache.openjpa.trader.client.LoginDialog.InitializeStocks.onFailure(Throwable),6,7
org.apache.openjpa.trader.client.LoginDialog.InitializeStocks.onSuccess(List<Stock>),12,13
org.apache.openjpa.jdbc.kernel.PreparedStatementManager.getExceptions(),4,5
org.apache.openjpa.jdbc.kernel.PreparedStatementManager.flush(RowImpl),3,6
org.apache.openjpa.jdbc.kernel.PreparedStatementManager.flush(),7,8
openbook.tools.ant.Java2HTMLConverterTask.getSourcepath(),2,3
openbook.tools.ant.Java2HTMLConverterTask.setSourcepath(String),3,6
openbook.tools.ant.Java2HTMLConverterTask.execute(),31,120
openbook.tools.ant.Java2HTMLConverterTask.getFiles(),11,30
openbook.tools.ant.Java2HTMLConverterTask.createArg(),4,10
openbook.tools.ant.Java2HTMLConverterTask.getDestDir(),3,5
openbook.tools.ant.Java2HTMLConverterTask.setDestDir(String),4,10
openbook.tools.ant.Java2HTMLConverterTask.isVerbose(),1,2
openbook.tools.ant.Java2HTMLConverterTask.setVerbose(boolean),2,5
openbook.tools.ant.Java2HTMLConverterTask.getExtension(),2,4
openbook.tools.ant.Java2HTMLConverterTask.setExtension(String),4,10
openbook.tools.ant.Java2HTMLConverterTask.getStylesheet(),2,4
openbook.tools.ant.Java2HTMLConverterTask.setStylesheet(String),4,10
openbook.tools.ant.Java2HTMLConverterTask.isShowLineNumber(),1,3
openbook.tools.ant.Java2HTMLConverterTask.setShowLineNumber(boolean),3,9
openbook.tools.ant.Java2HTMLConverterTask.isAnchorLineNumber(),2,6
openbook.tools.ant.Java2HTMLConverterTask.setAnchorLineNumber(boolean),4,15
openbook.tools.ant.Java2HTMLConverterTask.isAddLineBreak(),2,6
openbook.tools.ant.Java2HTMLConverterTask.setAddLineBreak(boolean),4,15
openbook.tools.ant.Java2HTMLConverterTask.isAddExplicitSpace(),3,9
openbook.tools.ant.Java2HTMLConverterTask.setAddExplicitSpace(boolean),5,21
openbook.tools.ant.Java2HTMLConverterTask.getLineNumberFormat(),3,7
openbook.tools.ant.Java2HTMLConverterTask.setLineNumberFormat(String),5,16
openbook.tools.ant.Java2HTMLConverterTask.Arg.getName(),2,3
openbook.tools.ant.Java2HTMLConverterTask.Arg.setName(String),3,6
openbook.tools.ant.Java2HTMLConverterTask.Arg.getValue(),2,3
openbook.tools.ant.Java2HTMLConverterTask.Arg.setValue(String),3,6
org.apache.openjpa.integration.validation.ConstraintPattern.createInvalidString(),11,18
org.apache.openjpa.integration.validation.ConstraintPattern.createInvalidZipcode(),7,13
org.apache.openjpa.integration.validation.ConstraintPattern.createValid(),7,12
org.apache.openjpa.integration.validation.ConstraintPattern.ConstraintPattern(),5,5
org.apache.openjpa.integration.validation.ConstraintPattern.getId(),0,0
org.apache.openjpa.integration.validation.ConstraintPattern.getMyString(),1,3
org.apache.openjpa.integration.validation.ConstraintPattern.setMyString(String),2,4
org.apache.openjpa.integration.validation.ConstraintPattern.getZipcode(),2,3
org.apache.openjpa.integration.validation.ConstraintPattern.setZipcode(String),3,4
mapping.BuildSchemaPC.BuildSchemaPC(),2,2
mapping.BuildSchemaPC.BuildSchemaPC(String),5,7
mapping.BuildSchemaPC.getStringField(),2,5
mapping.BuildSchemaPC.setStringField(String),4,8
mapping.BuildSchemaPC.getId(),0,0
"org.apache.openjpa.jdbc.kernel.JDBCSeq.addSchema(ClassMapping,SchemaGroup)",7,12
"org.apache.openjpa.jdbc.conf.JDBCProductDerivation.putBrokerFactoryAliases(Map<String,String>)",7,11
org.apache.openjpa.jdbc.conf.JDBCProductDerivation.getType(),2,3
org.apache.openjpa.jdbc.conf.JDBCProductDerivation.beforeConfigurationConstruct(ConfigurationProvider),8,16
org.apache.openjpa.jdbc.conf.JDBCProductDerivation.getSupportedQueryHints(),5,6
org.apache.openjpa.jdbc.kernel.exps.Avg.Avg(Val),6,8
org.apache.openjpa.jdbc.kernel.exps.Avg.getOperator(),3,3
org.apache.openjpa.jdbc.kernel.exps.Avg.isAggregate(),1,1
"org.apache.openjpa.jdbc.kernel.exps.JDBCWildcardMatch.appendTo(SQLBuffer,FilterValue,FilterValue[],ClassMapping,JDBCStore)",24,48
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.GetObjectId(PCPath),7,10
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.getColumns(ExpState),8,10
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.getMetaData(),2,5
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.setMetaData(ClassMetaData),3,8
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.getType(),2,2
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.setImplicitType(Class),3,4
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.initialize(Select,ExpContext,int)",27,40
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.toDataStoreValue(Select,ExpContext,ExpState,Object)",38,112
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.select(Select,ExpContext,ExpState,boolean)",7,12
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.selectColumns(Select,ExpContext,ExpState,boolean)",8,14
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.groupBy(Select,ExpContext,ExpState)",6,9
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.orderBy(Select,ExpContext,ExpState,boolean)",7,11
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.load(ExpContext,ExpState,Result)",10,14
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.calculateValue(Select,ExpContext,ExpState,Val,ExpState)",9,15
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.length(Select,ExpContext,ExpState)",7,11
"org.apache.openjpa.jdbc.kernel.exps.GetObjectId.appendTo(Select,ExpContext,ExpState,SQLBuffer,int)",10,17
org.apache.openjpa.jdbc.kernel.exps.GetObjectId.acceptVisit(ExpressionVisitor),7,13
org.apache.openjpa.integration.daytrader.TradeScenario.TradeScenario(TradeAction),3,7
org.apache.openjpa.integration.daytrader.TradeScenario.performUserTasks(String),29,155
"org.apache.openjpa.integration.daytrader.TradeScenario.performTask(String,String)",128,456
"org.apache.openjpa.integration.daytrader.TradeScenario.log(StringBuilder,String)",12,18
"org.apache.openjpa.integration.daytrader.TradeScenario.log(StringBuilder,String,Object)",14,23
org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.setDiscriminator(Discriminator),5,8
"org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.select(Select,ClassMapping)",11,17
org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.loadSubclasses(JDBCStore),10,14
"org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.getClass(JDBCStore,ClassMapping,Result)",10,14
"org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.hasClassConditions(ClassMapping,boolean)",4,6
"org.apache.openjpa.jdbc.meta.DiscriminatorStrategy.getClassConditions(Select,Joins,ClassMapping,boolean)",18,23
org.apache.openjpa.jdbc.meta.strats.ImmutableValueHandler.getInstance(),5,7
"org.apache.openjpa.jdbc.meta.strats.ImmutableValueHandler.map(ValueMapping,String,ColumnIO,boolean)",14,27
"org.apache.openjpa.jdbc.meta.strats.ImmutableValueHandler.map(ValueMapping,DBIdentifier,ColumnIO,boolean)",15,39
org.apache.openjpa.jdbc.meta.strats.ImmutableValueHandler.isVersionable(ValueMapping),12,47
"org.apache.openjpa.jdbc.meta.strats.ImmutableValueHandler.toDataStoreValue(ValueMapping,Object,JDBCStore)",20,37
"org.apache.openjpa.jdbc.kernel.BatchingOperationOrderUpdateManager.newPreparedStatementManager(JDBCStore,Connection)",12,25
"org.apache.openjpa.jdbc.kernel.BatchingOperationOrderUpdateManager.flush(RowManager,PreparedStatementManager,Collection)",22,59
org.apache.openjpa.jdbc.kernel.exps.PCPath.PCPath(ClassMapping),6,8
"org.apache.openjpa.jdbc.kernel.exps.PCPath.PCPath(ClassMapping,Variable)",24,74
