sha,issues,change_type,name,additions,removals,context,message
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,M,contrib/zebra/CHANGES.txt,2,0,6,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,M,contrib/zebra/build.xml,4,2,18,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,M,contrib/zebra/src/java/org/apache/hadoop/zebra/mapred/BasicTableOutputFormat.java,196,29,93,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/java/org/apache/hadoop/zebra/mapred/ZebraOutputPartition.java,44,0,0,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs.java,785,0,0,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs2.java,784,0,0,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs3.java,663,0,0,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs4.java,690,0,0,4
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestOrderPreserveMultiTable.java,421,0,0,4
2cb79498cc84c3ba640792fb688f4c9e4a932a5c,2917,M,CHANGES.txt,2,0,6,4
2cb79498cc84c3ba640792fb688f4c9e4a932a5c,2917,M,src/org/apache/pig/impl/util/SpillableMemoryManager.java,15,11,24,4
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,CHANGES.txt,2,0,6,4
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,src/org/apache/pig/Main.java,23,7,36,4
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,A,src/org/apache/pig/parser/DryRunGruntParser.java,345,0,0,4
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,src/org/apache/pig/parser/QueryParserDriver.java,7,53,46,4
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,test/org/apache/pig/test/TestMacroExpansion.java,36,0,6,4
2251ce27a32f667a35c10f60300d5ae229572946,1384,M,CHANGES.txt,2,0,6,4
2251ce27a32f667a35c10f60300d5ae229572946,1384,M,build.xml,21,2,15,4
2251ce27a32f667a35c10f60300d5ae229572946,1384,M,src/docs/src/documentation/content/xdocs/site.xml,1,8,12,4
5dc0dd94c55405c87cda6653eb45aa50dafc1810,3115,M,CHANGES.txt,2,0,6,4
5dc0dd94c55405c87cda6653eb45aa50dafc1810,3115,M,src/org/apache/pig/builtin/Distinct.java,8,1,18,4
