algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,51.6609065946,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,51.7029618982,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,52.0489705436,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,51.2313089497,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,51.4930537026,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,52.0672236043,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,51.3036234485,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,51.5121064273,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,51.925733072,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,51.6718226576,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,51.7382322504,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,51.9703628739,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,51.6615241135,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,51.7041348404,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,52.0507561394,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,51.2318598559,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,51.4943369666,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,52.0685917026,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,51.3046691543,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,51.5132147331,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,51.9272930508,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,51.6723237925,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,51.7392334534,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,51.9716934376,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,51.6566103923,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,51.7050470104,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,52.043528463,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,51.2269809283,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,51.4925537952,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,52.058117602,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,51.3024662568,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,51.5090353937,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,51.9196216105,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,51.6708758741,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,51.7365969386,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,51.9572528852,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,51.6551839024,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,51.7030968652,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,51.9673169496,True,True,False,True
batch,0.05,0.5,0.01,1000,1000,100,1.0,1,1,51.2240596237,True,True,False,True
batch,0.025,0.5,0.005,1000,1000,200,1.0,1,1,51.4924574363,True,True,False,True
batch,0.01,0.5,0.002,1000,1000,500,1.0,1,1,51.9805254853,True,True,False,True
batch,0.05,0.5,0.02,1000,1000,100,1.0,1,1,51.2973101438,True,True,False,True
batch,0.025,0.5,0.01,1000,1000,200,1.0,1,1,51.5095385463,True,True,False,True
batch,0.01,0.5,0.004,1000,1000,500,1.0,1,1,51.9195617532,True,True,False,True
batch,0.05,0.5,0.05,1000,1000,100,1.0,1,1,51.6658828456,True,True,False,True
batch,0.025,0.5,0.025,1000,1000,200,1.0,1,1,51.735343814,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,500,1.0,1,1,51.9411024603,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.2149230246,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.0007221178,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.7997446717,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.1033899071,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.8985316061,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,49.970193276,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.7425794523,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,49.2024718436,False,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.5949754307,False,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,49.1503927892,False,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,49.6432194795,False,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,65.0860386794,False,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,61.4391744056,False,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,89.614887987,False,False,True,False
batch,0.025,0.5,0.025,1000,1000,200,1.0,1,1,51.735343814,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,500,1.0,1,1,51.9411024603,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.2149230246,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.0007221178,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.7997446717,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,50.1033899071,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.8985316061,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,49.970193276,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,51.7425794523,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,52.0685917026,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,51.8684471174,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,51.9198937034,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,52.0041674896,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,52.010457327,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,51.6043383345,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,51.8175272631,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,52.0867805938,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,51.4581530637,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,51.832964092,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,52.1914369013,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,51.801666777,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,51.7800923369,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,52.0495172402,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,51.9935246026,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,52.1024980329,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,51.9017068946,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,51.7718405185,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,51.8689525946,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,51.6356376409,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,52.1240699714,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,51.603214904,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,51.8097924143,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,52.1272249957,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,51.8326592083,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,51.8151456476,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,51.9969494665,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,51.833101356,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,52.1311336659,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,51.9919563101,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,52.0156114983,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,51.4897392042,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,51.9964764242,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,52.0117141463,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,51.9180954513,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,51.9189103269,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,51.8572320744,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,51.8582632143,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,51.9305759039,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,51.6609967325,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,51.4757406602,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,51.7551737492,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,52.069317051,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,52.1334493211,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,51.9641505113,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,51.8037783172,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,51.9202537092,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,51.9455016185,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,51.8627457081,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,52.2140587346,True,True,False,True
