algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,61.883710051,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,2,61.8436133149,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,3,60.4914845592,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,4,60.0924100809,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,5,60.1511206182,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,6,61.0754836832,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,7,61.7655419245,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,8,62.1765333478,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,9,57.6008962063,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,10,59.033007828,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,11,58.7719877861,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,12,61.7644475854,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,13,60.6608601285,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,14,59.7410847495,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,15,58.5911527969,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,16,61.156066263,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,17,58.3023190815,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,18,62.0793089681,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,19,62.1156626726,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,20,61.9271923028,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,21,62.7566853137,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,22,61.3716577512,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,23,57.2719687307,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,24,61.9466919424,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,25,61.7836682417,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,26,57.8370217857,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,27,61.674944024,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,28,60.7030416959,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,29,58.0406299219,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,30,61.7372026363,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,31,60.9620533978,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,32,60.7520314265,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,33,62.0889831212,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,34,62.0567563154,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,35,62.5705516606,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,36,62.189554946,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,37,59.4630539787,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,38,62.0788642264,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,39,61.375478659,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,40,58.6951612628,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,41,62.2745937988,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,42,62.1871626733,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,43,61.1704284161,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,44,62.0688970554,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,45,61.5942554885,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,46,61.3906055876,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,47,62.1027779571,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,48,58.1692557275,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,49,59.6710021394,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,50,61.0124472568,True,True,False,True
