sha,issues,change_type,name,additions,removals,context,message
398e8b1237e9481d5931462588c4f45189fc2916,4054,M,build.xml,1,1,6,4
398e8b1237e9481d5931462588c4f45189fc2916,4054,M,contrib/piggybank/java/build.xml,8,4,18,4
a0e987447e80360e824a6fad17021c727ab14db7,4227,M,src/python/streaming/controller.py,7,1,12,4
9b21bc2cf65bf1800bbadd5532cb44a31dc37d47,4170,M,CHANGES.txt,2,0,6,4
9b21bc2cf65bf1800bbadd5532cb44a31dc37d47,4170,M,src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/MultiQueryPackager.java,9,3,6,4
9b21bc2cf65bf1800bbadd5532cb44a31dc37d47,4170,M,test/org/apache/pig/test/TestMultiQuery.java,26,0,6,4
dc3f2401f44ff0b46db8de29480561344dd4314a,4164,M,CHANGES.txt,2,0,6,4
dc3f2401f44ff0b46db8de29480561344dd4314a,4164,M,shims/src/hadoop23/org/apache/pig/backend/hadoop/executionengine/shims/HadoopShims.java,13,3,18,4
9e494884fb088bff976ec6826a0e3674674957e0,4101,M,CHANGES.txt,2,0,6,5
9e494884fb088bff976ec6826a0e3674674957e0,4101,M,shims/test/hadoop23/org/apache/pig/test/TezMiniCluster.java,3,0,6,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,CHANGES.txt,2,0,6,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,conf/pig.properties,5,0,6,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,shims/src/hadoop20/org/apache/pig/backend/hadoop/executionengine/shims/HadoopShims.java,10,0,24,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,shims/src/hadoop23/org/apache/pig/backend/hadoop/executionengine/shims/HadoopShims.java,5,0,12,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,src/org/apache/pig/PigConfiguration.java,5,0,4,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/MapReduceLauncher.java,10,6,7,5
2d29b318321132dd973b3b9727e49e621700f204,4043,M,test/org/apache/pig/test/TestMRJobStats.java,58,0,20,5
0fb27a9a7a5cb7fdd277db66b647e09f319bef32,4159,M,CHANGES.txt,2,0,6,5
0fb27a9a7a5cb7fdd277db66b647e09f319bef32,4159,M,test/excluded-tests-20,2,0,3,5
f5049cf026ed897d940c948c101429a6a9488f46,4259,M,test/org/apache/pig/tez/TestTezAutoParallelism.java,1,1,6,4
fd2b9d128ebf3bcfcdf9a4a105fbee00238ef566,4180,M,CHANGES.txt,2,0,6,4
fd2b9d128ebf3bcfcdf9a4a105fbee00238ef566,4180,M,test/e2e/pig/drivers/TestDriverPig.pm,3,0,6,4
fd2b9d128ebf3bcfcdf9a4a105fbee00238ef566,4180,M,test/e2e/pig/tests/nightly.conf,1,1,6,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,M,CHANGES.txt,2,0,6,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/AccumulatorOptimizer.java,0,38,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/CombinerOptimizer.java,0,96,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/FindQuantilesTez.java,0,114,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/MultiQueryOptimizerTez.java,0,189,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/NativeTezOper.java,0,107,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/ObjectCache.java,0,52,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POFRJoinTez.java,0,209,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POIdentityInOutTez.java,0,164,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POLocalRearrangeTez.java,0,186,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POLocalRearrangeTezFactory.java,0,91,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POPartitionRearrangeTez.java,0,256,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POShuffleTezLoad.java,0,364,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POSimpleTezLoad.java,0,128,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POStoreTez.java,0,144,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POValueInputTez.java,0,171,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/POValueOutputTez.java,0,204,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/PartitionSkewedKeysTez.java,0,86,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/PartitionerDefinedVertexManager.java,0,111,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/PigProcessor.java,0,370,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/ReadScalarsTez.java,0,105,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/RoundRobinPartitioner.java,0,31,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/SecondaryKeyOptimizerTez.java,0,132,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/SkewedPartitionerTez.java,0,89,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezCompiler.java,0,2429,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezCompilerException.java,0,188,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,M,src/org/apache/pig/backend/hadoop/executionengine/tez/TezDagBuilder.java,19,8,18,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezEdgeDescriptor.java,0,111,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezInput.java,0,49,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,M,src/org/apache/pig/backend/hadoop/executionengine/tez/TezJobCompiler.java,2,0,6,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,M,src/org/apache/pig/backend/hadoop/executionengine/tez/TezLauncher.java,24,13,37,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezOpPlanVisitor.java,0,40,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezOperDependencyParallelismEstimator.java,0,241,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezOperPlan.java,0,227,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezOperator.java,0,594,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezOutput.java,0,41,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPOPackageAnnotator.java,0,188,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPOStreamVisitor.java,0,68,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPOUserFuncVisitor.java,0,52,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezParallelismEstimator.java,0,26,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPlanContainer.java,0,192,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPlanContainerNode.java,0,74,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPlanContainerPrinter.java,0,59,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPlanContainerUDFCollector.java,0,51,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPlanContainerVisitor.java,0,34,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezPrinter.java,0,127,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezTaskConfigurable.java,0,33,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/TezTaskContext.java,0,75,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/WeightedRangePartitionerTez.java,0,80,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/operators/POCounterStatsTez.java,0,194,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/operators/POCounterTez.java,0,156,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/operators/PORankTez.java,0,175,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/operators/POShuffledValueInputTez.java,0,165,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/optimizers/LoaderProcessor.java,0,165,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/optimizers/NoopFilterRemover.java,0,78,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/optimizers/ParallelismSetter.java,0,154,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,D,src/org/apache/pig/backend/hadoop/executionengine/tez/optimizers/UnionOptimizer.java,0,288,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezCompiler.java,2443,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezCompilerException.java,188,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezEdgeDescriptor.java,111,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezOpPlanVisitor.java,38,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezOperPlan.java,228,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezOperator.java,611,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPOPackageAnnotator.java,189,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPOStreamVisitor.java,69,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPOUserFuncVisitor.java,52,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPlanContainer.java,193,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPlanContainerNode.java,74,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPlanContainerPrinter.java,59,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPlanContainerUDFCollector.java,51,0,0,4
40b396a75153dc33bc445ee483ec8760e9a3fb25,3838,A,src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPlanContainerVisitor.java,34,0,0,4
