sha,issues,change_type,name
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,M,contrib/zebra/CHANGES.txt
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,M,contrib/zebra/build.xml
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,M,contrib/zebra/src/java/org/apache/hadoop/zebra/mapred/BasicTableOutputFormat.java
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/java/org/apache/hadoop/zebra/mapred/ZebraOutputPartition.java
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs.java
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs2.java
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs3.java
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TestMultipleOutputs4.java
eace9875730784fa5e128f19229dd5b7cd1c0b58,1111,A,contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestOrderPreserveMultiTable.java
2cb79498cc84c3ba640792fb688f4c9e4a932a5c,2917,M,CHANGES.txt
2cb79498cc84c3ba640792fb688f4c9e4a932a5c,2917,M,src/org/apache/pig/impl/util/SpillableMemoryManager.java
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,CHANGES.txt
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,src/org/apache/pig/Main.java
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,A,src/org/apache/pig/parser/DryRunGruntParser.java
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,src/org/apache/pig/parser/QueryParserDriver.java
5e09973c2a27d46a877b5a61f06ca0823b98d6b0,1987,M,test/org/apache/pig/test/TestMacroExpansion.java
2251ce27a32f667a35c10f60300d5ae229572946,1384,M,CHANGES.txt
2251ce27a32f667a35c10f60300d5ae229572946,1384,M,build.xml
2251ce27a32f667a35c10f60300d5ae229572946,1384,M,src/docs/src/documentation/content/xdocs/site.xml
5dc0dd94c55405c87cda6653eb45aa50dafc1810,3115,M,CHANGES.txt
5dc0dd94c55405c87cda6653eb45aa50dafc1810,3115,M,src/org/apache/pig/builtin/Distinct.java
5dc0dd94c55405c87cda6653eb45aa50dafc1810,3115,M,test/org/apache/pig/test/TestBuiltin.java
cd83bfbc5900b8598fde7f3f650f94a6c02bfb55,4036,M,CHANGES.txt
cd83bfbc5900b8598fde7f3f650f94a6c02bfb55,4036,M,src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POPackage.java
cd83bfbc5900b8598fde7f3f650f94a6c02bfb55,4036,M,src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/Packager.java
cd83bfbc5900b8598fde7f3f650f94a6c02bfb55,4036,M,src/org/apache/pig/impl/streaming/StreamingCommand.java
04b7aacdd55e6d63b1cd4cdc47b82c3b2f66f4aa,627,M,CHANGES.txt
04b7aacdd55e6d63b1cd4cdc47b82c3b2f66f4aa,627,M,src/org/apache/pig/PigServer.java
04b7aacdd55e6d63b1cd4cdc47b82c3b2f66f4aa,627,M,src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/plans/DotPOPrinter.java
04b7aacdd55e6d63b1cd4cdc47b82c3b2f66f4aa,627,M,src/org/apache/pig/tools/grunt/GruntParser.java
f878f90c267ec45ef1091d98b7d92e77020d5ea4,3132,M,CHANGES.txt
f878f90c267ec45ef1091d98b7d92e77020d5ea4,3132,M,src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/POLoad.java
f878f90c267ec45ef1091d98b7d92e77020d5ea4,3132,M,src/org/apache/pig/impl/io/ReadToEndLoader.java
f878f90c267ec45ef1091d98b7d92e77020d5ea4,3132,M,src/org/apache/pig/pen/LocalMapReduceSimulator.java
f878f90c267ec45ef1091d98b7d92e77020d5ea4,3132,M,test/org/apache/pig/test/TestExampleGenerator.java
a0e67ff51b74947bcad31f3dd94f396e6b34937c,4432,M,CHANGES.txt
a0e67ff51b74947bcad31f3dd94f396e6b34937c,4432,M,src/org/apache/pig/builtin/VALUELIST.java
a0e67ff51b74947bcad31f3dd94f396e6b34937c,4432,M,src/org/apache/pig/builtin/VALUESET.java
a0e67ff51b74947bcad31f3dd94f396e6b34937c,4432,M,test/org/apache/pig/test/TestBuiltin.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,M,CHANGES.txt
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,A,src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigFileInputFormat.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,A,src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigSequenceFileInputFormat.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,A,src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigTextInputFormat.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,M,src/org/apache/pig/backend/hadoop/executionengine/util/MapRedUtil.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,M,src/org/apache/pig/builtin/PigStorage.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,M,src/org/apache/pig/impl/io/BinStorageInputFormat.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,M,test/org/apache/pig/test/TestMergeJoin.java
3eb369c6ca575b4609b8c0cb4591260e51443621,1298,M,test/org/apache/pig/test/TestSkewedJoin.java
398e8b1237e9481d5931462588c4f45189fc2916,4054,M,build.xml
398e8b1237e9481d5931462588c4f45189fc2916,4054,M,contrib/piggybank/java/build.xml
92ec30d7a0e9e8b2ffb6d874fa181e47b8f75306,2036,M,CHANGES.txt
92ec30d7a0e9e8b2ffb6d874fa181e47b8f75306,2036,M,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/PigStorageSchema.java
92ec30d7a0e9e8b2ffb6d874fa181e47b8f75306,2036,M,contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/TestPigStorageSchema.java
98784c9db3274909869e60916771fd95ad25607a,1933,M,CHANGES.txt
98784c9db3274909869e60916771fd95ad25607a,1933,M,src/org/apache/pig/parser/AliasMasker.g
