metadata,unique_words,total_words
98f01f5d875b6c4f83c0d5469456457865b653c8,8299,395643
bbb97b0523e8b19092ecdf2d65118ff4068b100f,19,30
d80a6a18dbf78a734e2793b02498eae1fe80faf2,322,3458
d983edfbaa449233df6f6aa510beb38455ffcadb,76,548
b4122430450bc11e42e8a2d87f4e0508a8db4d4e,81,281
5eba0138238f13fd0e0e0a0e0dfb8682afd96402,68,372
99c0f6785610b82c672bca47c6065fbf5ead112e,1002,8070
12c008e05cc7bc381e2250c93ab6ae175d3189c5,62,162
1bc27eda41c9fb14747da976a6e2f6e961551bc2,68,183
a360bc113fd54f07a169045035e6a6043be4e5af,1845,34228
c22d6f54a17a7cfecf426b7afd1bc93fc036f48a,301,1129
48aa2dcbc69c58e6e5ad61c41c0fa66110b50cd9,170,318
52c2570366654b8c1091b7cbd47b4f9c5cdb0a42,114,420
347afb4649b6a1ee2db7e80ea585d3c03bf57558,535,2976
1976cb567395296e84245086b2e9572bbfb206af,76,219
18abb95290ac5a990761f17dff2de168b4316d44,151,350
d91ca62cbed9024515fcbaec44008eddb8832215,11,15
d659376eafcd316c4b6fbca5f463feeab6d2cfdd,10,34
b4d341ae53d75656a09de2820a197c8b3868c6ab,118,323
c8fc6352c047aa67cd8d139037aab5a7700b60c2,94,295
ef960db5718cb662c3e73dccd63d7ea6498b7941,13,14
1ec9958c9102685301eb48d393e8d61404850ae6,53,119
867b207e50098a71c0449b33f51d0ca423036aa2,320,7320
d6a8bf2af9bf00b99214e5b525cc26fb4bb1db62,200,816
75bbf831dcad6c0033db17fd51714c0b27ba43ca,130,277
a980a8001ec21a79b00ff41d839785e5e9c2b360,133,140
601a2c10f2596036df72ae0ccc2097efc67d7bef,50,98
6d4ccac86b461f7da3fc72cd66dbf13f8c8d69cf,59,130
edf26b4b2b755648296e1a9304859399d10b7c8c,288,1943
576e650ed2276cfcf638fc91ec67c0cfd863c75f,500,10268
4cad27cfa97a99889e54d934ca690e0676ebfa46,188,4587
9a206a997b44526158ad6a631a570d1021665011,439,3746
b303db3fd2c223ee865a47ed420b2d204eb8649e,1198,33105
7c356ebfcec10ca77063d49508c777f7dabd60cd,88,1107
f6a6633e995c6d263aa4519d13d4f0dbe0ae939f,87,391
e0430bf85876d30db93f042e39b1e0153a6c4baf,16,208
eb5101ee659f57290206c707f4e8971f06c7cd96,104,276
35e82d987661cc663b11623c32cb0dc62c6b39e5,222,1174
4b13a95646af54ad28b739dc4afc8bc05a9a0404,700,4477
220129eb25d8256eccf08156e4476db6c3cc4769,544,7500
90335186f82431558d90c21bad28b1e278dc3df5,164,602
d952abb94e81843964a812dbb05d79cd072cc58c,99,300
520c5b6b76e93bf1d4628c880f9bddea508f67ad,161,562
039483ae780ff6bc2e95bb89dc27d1081325e753,165,610
07f94fc6fca29f2d498e15f23a6a1ac102d9241d,92,289
b5da18c2fcc43b5bf5512701cda9bf7a174e0999,351,5275
d7d07b00560481cf6b7d3ff0a8f4eb1b321123a9,68,98
0e20c2523acaff5118477c7207586bdf07e708bb,17,19
500b8f26383e205e706ef70f2e2fd2ce296932a9,87,302
6c0cdfeb9d2daf997df8ccea091873706ef3b160,105,323
1d64916466db0da7c57a00a49f3235e7b190a074,21,33
20c9bdb06da0a868e46a26cbd5087078815a4c99,424,4160
d0036ad8d1f79ce4170e6841eb006dcc435f08e6,29,89
315f7f41a831f80d9813e4c54978da428af0e5d0,43,71
bcfb130488cf6995ef8449866b0afd312de2c59b,293,8086
b2c92bc931b9f20157cf8bd1fde0caebb37565c3,122,381
ad88a576943a8c84a498db0a70ea168a88347646,50,133
1bb695693749422e43968b3abd3aefc2789af61c,242,15310
189aefe0b5ac36623d1522ddd544ab21d83f9ae6,100,197
6a28d8a153083d67dd881a84dd1c5d647ba92581,27,78
92e4aa35e7ade1e7f42756c250c6054b2e02e63a,59,150
b54a10617f876ba5aa7f9bdfc135895a9d4bf68d,91,944
aa320ae5e39687cd7512486360752ba7b1e05f17,113,436
8db14360355238a76c80c704cb139323e6f23724,221,1382
1270c1a175e4bf50cdf8c9f1b464591a9301fb27,36,76
50d31d53ffa242d532613d6e3ff557be164b0b11,392,1943
2d4c1145ac9f4466c057244ab05a6b83887e1218,169,668
7624eec528567b627bbf2fbd10d85c603abc7813,147,6454
9154a3b4feeaf33e3e45ccbbfd0e1014e606e4bd,991,11193
81c47243d696c7eae4f5f8f92bc60314078e2b69,140,623
b7a6c3606ca1a5ff34bce4cda4041e2d9f2d968b,213,749
a1a74e9b37d55e096baea9f596bfb5cbe86de04b,708,9090
a8de187f25905ff3eab09f831875e121ef285c1f,8,10
ed77b9186fa6272a959bc28644aa44b3277205bf,23,50
9ab725986303f23d3fb6e735c079f5e9336c2895,69,170
adc9095ec3ca5e4e16b2a19de2cec4033a90cb28,274,1383
5900d57940ae5ef71e556da46c6217899a2bda82,23,26
9770cc0e379c55ee177a04c3bc763d558926474d,662,12171
018d92eba5685b328e1cde68b35c83f73df3d98d,28,33
545ef2f7b03efb2b557a344951d161359a0e03c0,297,1531
1c337e0d856f1f37ebddbd54be887420f9b137a1,18,24
19603d42d34595726a4835d2fb09113df7c69935,104,471
805c0d8d894bef08ab5377011741b5e8f99530d4,62,150
d125ddbe5bf9045e4a91a06e6dc0743c11e71051,107,316
0109f8c4cb63fc296b8f9fbe40cd9e9537f76647,127,541
5fbba6e7b823b428b9404fe0728275b262379a1e,513,11339
93c2bd19cda6a683cfdb5e96b21dc89e81508b23,47,81
ab4abef1449b752b921417de12bc6728c55705b8,316,3474
ed00ada6caf7a742fc64e66d7d2348204c9b0139,143,631
e84961b800b5a1c708ef35512491f7480685565f,34,93
bbe5c3a8e1f7b06f391502356891b11f691b9b4c,313,10347
1c37465e9edc9765f17e436254d2d92a4f27141b,15,37
82e3abcfd8b6d0f26f91224fbd3b2c02d383b4cf,350,2433
31d34cd0770b1995159e7b20d96eba3231e3586e,156,1328
cbfb7eb0ae5831ea67bc41c0768c89448f64077c,297,5197
aaa0880ac4c211fcd916afd08770a9462e90b009,44,73
09801e0f4a36b81202d725e9396221db80a69535,50,131
494daa54c30734276c803752e9513b3cddf19549,155,671
b03e010eb91d974c515e878bfd7a269a08572db7,66,150
89737055e94379a070db8a3795f912157ca56928,64,181
c6959f8eb7ef4708850bdbede15efb9d26d29913,125,588
890fe709adbc29e5559ca0208db93d1860bb40df,50,129
80dc672a9a85b8a78a97d82fc410561164a98cb5,130,903
6d02e573d4ead1d7c730715a7dbe52b79f3fc0bc,76,169
8c8767337414104a9e959e188af7a40d374d3fc3,33,61
952a8a848212f422ff800a074ce3c79bfae9530e,119,601
76d08757cbd00091c65317cd161fcbc3c839a73f,97,858
efef848e813519ca23a7bc7a982d82668998e02b,99,227
bbf2cb0686909803332f07a33a49c79e29f98a72,699,10710
ace3f80bd1dbc50351227f2197bd87aa45533cb0,277,3393
5caba492b1bdc512c560330d78a45fc7256e3757,134,1130
48838be5cc0a4ab0f27ac1cb8a52903824d924ac,129,963
749137efb43a19ee10e2e1604a3ec7a949239459,137,730
