score,model_base_alpha,model_base_eta,num_topics
0.34142837727359826,auto,auto,100
0.20889833175467026,auto,auto,200
0.1664497387026424,auto,auto,500
0.19971016929594673,auto,1,100
0.21918019548396384,auto,1,200
0.16928455112186411,auto,1,500
0.30394710521705687,auto,2,100
0.23504734227927432,auto,2,200
0.18383209817983726,auto,2,500
0.38099808981336791,auto,5,100
0.25070114935568505,auto,5,200
0.17865117847385462,auto,5,500
0.29343821850548751,1,auto,100
0.28796230393745381,1,auto,200
0.14824839918568269,1,auto,500
0.24144912984078154,1,1,100
0.19014116420071048,1,1,200
0.16558927696028555,1,1,500
0.29816562530402879,1,2,100
0.19710715933805617,1,2,200
0.186026851108854,1,2,500
0.35263909251114556,1,5,100
0.22369406314789317,1,5,200
0.19529473221648816,1,5,500
0.26460390822770991,2,auto,100
0.27536255167170448,2,auto,200
0.14698194399288478,2,auto,500
0.22816487578700539,2,1,100
0.20914404118837357,2,1,200
0.12771685971528163,2,1,500
0.35263527516793486,2,2,100
0.15813749232787092,2,2,200
0.13744499028084969,2,2,500
0.3721598574317751,2,5,100
0.27545984563163112,2,5,200
0.13731102036431714,2,5,500
0.40955761207364916,5,auto,100
0.17737723372860403,5,auto,200
0.10284636311280496,5,auto,500
0.22467150324355478,5,1,100
0.23376338867819388,5,1,200
0.1077042446378568,5,1,500
0.405765799965565,5,2,100
0.17065180426729815,5,2,200
0.13107769193682675,5,2,500
0.28115164078346,5,5,100
0.18432975475159719,5,5,200
0.11834229865919514,5,5,500
