score,model_base_alpha,model_base_eta,num_topics
0.17509480005610037,auto,auto,100
0.17082386751504397,auto,auto,200
0.17879540075747508,auto,auto,500
0.18584024352213205,auto,1,100
0.2227898562457386,auto,1,200
0.16171486906781021,auto,1,500
0.21358753434991823,auto,2,100
0.18276757483413833,auto,2,200
0.16470122673683046,auto,2,500
0.17277787153948143,auto,5,100
0.19839911906475372,auto,5,200
0.18983692503429345,auto,5,500
0.18512194916993674,1,auto,100
0.20092558321374446,1,auto,200
0.17108524120908025,1,auto,500
0.19261381751706827,1,1,100
0.2015122213651625,1,1,200
0.14753738962330296,1,1,500
0.20590377434417681,1,2,100
0.17403894600102029,1,2,200
0.21142454956309445,1,2,500
0.16725466576472769,1,5,100
0.1838932340673827,1,5,200
0.25395820579644113,1,5,500
0.18023494979764326,2,auto,100
0.15934746457192278,2,auto,200
0.18733450745834648,2,auto,500
0.16019858471483858,2,1,100
0.19486182976895053,2,1,200
0.22607744703332938,2,1,500
0.16139457919643677,2,2,100
0.22801299720804363,2,2,200
0.19644413578237105,2,2,500
0.18358799974512049,2,5,100
0.1753580820531285,2,5,200
0.19214335648159175,2,5,500
0.16903107030816006,5,auto,100
0.21634130006808025,5,auto,200
0.16128544731485908,5,auto,500
0.21642794417562219,5,1,100
0.19414655397627534,5,1,200
0.13707147640971171,5,1,500
0.19977310379787167,5,2,100
0.19248323621388638,5,2,200
0.19834629788190161,5,2,500
0.15754938868328958,5,5,100
0.1628499030975811,5,5,200
0.23494318273730039,5,5,500
