score,model_base_alpha,model_base_eta,num_topics
0.23522808083744132,auto,auto,100
0.29761290404956364,auto,auto,200
0.38411192516407833,auto,auto,500
0.23413830678765485,auto,1,100
0.29148517365840021,auto,1,200
0.39311050882760795,auto,1,500
0.23112703514139238,auto,2,100
0.30965371085162985,auto,2,200
0.40099933326299864,auto,2,500
0.24206845426639351,auto,5,100
0.29182887678323632,auto,5,200
0.33821769979061123,auto,5,500
0.23482462518734729,1,auto,100
0.29704563593784444,1,auto,200
0.39378201004760482,1,auto,500
0.23349192694674345,1,1,100
0.29213429743101216,1,1,200
0.39306123488594225,1,1,500
0.22169758521387548,1,2,100
0.31108159243751721,1,2,200
0.40084510333421813,1,2,500
0.24724812483145875,1,5,100
0.29122594588179407,1,5,200
0.33206191738468199,1,5,500
0.23007879960682126,2,auto,100
0.29600001873556347,2,auto,200
0.37969586954063356,2,auto,500
0.23002766330731603,2,1,100
0.28471139913222832,2,1,200
0.39108806878360824,2,1,500
0.22446165293572903,2,2,100
0.30714865469345531,2,2,200
0.40906493049847886,2,2,500
0.23513073797486433,2,5,100
0.27830735061284101,2,5,200
0.34209035814705746,2,5,500
0.22344427399370781,5,auto,100
0.29007617669457475,5,auto,200
0.37847525177508273,5,auto,500
0.22497143451073592,5,1,100
0.28360958385280571,5,1,200
0.3791847343935989,5,1,500
0.23507537611987933,5,2,100
0.31127946717861965,5,2,200
0.40603164212843251,5,2,500
0.24641212138911855,5,5,100
0.30178305685368378,5,5,200
0.34090695216921429,5,5,500
