score,model_base_alpha,model_base_eta,num_topics
0.17870625018457839,auto,auto,100
0.17402632954103542,auto,auto,200
0.18040535420566381,auto,auto,500
0.19462939257830897,auto,1,100
0.21429746907688088,auto,1,200
0.16071924123394712,auto,1,500
0.21030603869226158,auto,2,100
0.1888990663564967,auto,2,200
0.16063792708529551,auto,2,500
0.16918389689287519,auto,5,100
0.19625364338986628,auto,5,200
0.1955901722349091,auto,5,500
0.1779657977346091,1,auto,100
0.19971116909971395,1,auto,200
0.18130444334004706,1,auto,500
0.1959622829011374,1,1,100
0.20586519189460364,1,1,200
0.14863545368576328,1,1,500
0.20474583522184142,1,2,100
0.19015681469241841,1,2,200
0.21835302707980728,1,2,500
0.16919649435129311,1,5,100
0.18599985492400353,1,5,200
0.24626645251645252,1,5,500
0.17752341674555294,2,auto,100
0.15724603563225853,2,auto,200
0.18240960437167869,2,auto,500
0.16822474274099661,2,1,100
0.20886105810641414,2,1,200
0.23501811847400086,2,1,500
0.1610395811440703,2,2,100
0.22762893248574359,2,2,200
0.19854428788252318,2,2,500
0.18376523484882615,2,5,100
0.17537641194761938,2,5,200
0.18302534322271163,2,5,500
0.16916272254894546,5,auto,100
0.22539616721118269,5,auto,200
0.16455386124503774,5,auto,500
0.20278958632286803,5,1,100
0.19659348142320279,5,1,200
0.13437144870968398,5,1,500
0.19476485558141901,5,2,100
0.18892927824816372,5,2,200
0.1919259750142103,5,2,500
0.15606757653971276,5,5,100
0.15797393103894652,5,5,200
0.22899526245114479,5,5,500
