metadata,unique_words,total_words
4027,38,51
4024,18,28
4025,24,38
4022,7,10
4023,65,488
4020,9,9
4021,15,21
4028,8,8
4029,5,5
3999,8,9
3998,17,22
3997,7,9
3996,6,8
3995,12,19
3991,16,20
3990,9,11
2689,52,136
4259,9,9
4258,34,51
4250,17,18
4253,4,4
4252,12,18
4257,87,426
4256,7,7
3838,24,30
4031,5,5
4030,10,13
4033,7,7
4032,67,133
4035,5,5
4034,7,7
4037,13,25
4039,39,47
4038,17,19
4299,55,151
4298,63,139
4199,7,9
4196,11,15
4197,10,22
4194,16,33
4195,9,13
4175,47,106
4176,72,267
4177,36,58
4170,17,26
4171,49,90
4178,10,14
2409,12,19
4181,10,11
4180,11,14
4182,118,1158
4184,63,134
4187,36,51
4186,31,34
3870,33,52
4166,58,187
4164,40,118
4162,5,5
4161,8,12
4160,37,45
4169,68,357
3478,10,14
4080,40,50
4082,30,39
4085,27,72
4086,37,80
3861,32,39
4153,14,22
4151,87,314
4156,51,164
4157,27,40
4154,17,22
4155,36,108
4158,11,12
4159,11,16
4091,4,4
4099,26,78
4098,7,7
4149,15,23
4145,13,26
4144,6,12
4146,15,19
4141,21,33
4140,43,220
4143,17,21
3456,26,28
4088,28,68
4089,47,201
4312,14,17
4314,58,188
4316,8,8
4318,16,21
4319,11,15
4224,10,16
4226,9,11
4227,31,55
4220,54,236
3939,43,57
3935,19,35
4139,84,307
4132,4,5
4133,18,35
4134,4,4
4135,32,41
4136,11,13
4137,7,7
3846,11,11
4044,51,149
4046,31,78
4047,59,184
4041,16,20
4043,26,42
4048,15,25
4238,28,44
4235,10,12
4230,26,63
4129,7,8
4128,39,65
4123,23,29
4122,7,8
4127,25,56
4125,4,4
4124,48,78
4057,28,60
4056,14,14
4055,13,18
4054,42,74
4053,255,530
4052,31,94
4050,23,27
4058,9,13
3434,34,44
4335,10,13
4202,21,26
4201,16,21
4205,43,72
3959,76,233
3958,12,13
3956,58,109
3954,14,20
4116,11,19
4117,5,5
4114,13,15
4112,68,290
4113,51,130
4110,51,152
4118,6,7
4119,19,38
4062,22,36
4060,30,54
4061,5,8
4067,14,20
4064,23,45
4065,8,14
4068,63,266
4069,21,41
3558,7,9
4328,6,7
4321,2,2
4325,41,460
4324,8,11
4215,12,16
4214,8,13
4217,39,64
4212,9,15
4219,29,49
4218,52,187
4101,35,70
4102,7,7
4105,13,16
4104,92,471
4106,24,30
4109,9,9
4108,7,8
3892,21,40
4079,37,61
4078,24,39
4075,47,152
4074,23,35
4077,5,5
4076,12,14
4071,33,72
4070,7,8
3960,34,128
3968,18,23
3969,62,150
2122,78,141
2834,15,22
4261,12,18
4263,22,43
4267,10,12
3886,36,86
4008,12,22
4000,21,22
4003,76,185
4005,8,18
4006,25,31
3971,8,8
3970,44,74
3974,47,77
3977,18,49
3976,18,20
3979,82,129
3978,30,72
3164,18,40
4019,43,97
4018,47,85
4013,21,24
4017,41,88
4015,10,10
4014,11,12
3988,22,38
3984,18,30
3985,90,310
3986,30,52
3982,13,15
3983,11,14
2495,248,1879
3507,115,514
4246,36,54
4245,26,45
4241,62,133
