metadata,unique_words,total_words
.eclipse.templates/.classpath,80,582
.eclipse.templates/.project,21,41
.eclipse.templates/README.txt,9,10
.gitignore,41,58
CHANGES.txt,2361,19246
KEYS,748,847
LICENSE.txt,345,734
NOTICE.txt,90,221
README.txt,70,131
RELEASE_NOTES.txt,92,192
autocomplete,56,64
bin/pig,229,1372
bin/pig.cmd,157,649
bin/pig.py,217,1592
build.xml,732,8880
conf/log4j.properties.template,54,95
conf/pig.properties,672,1997
conf/test-log4j.properties,52,93
contrib/CHANGES.txt,199,417
contrib/piggybank/java/build.xml,164,705
contrib/piggybank/java/lib/.gitignore,0,0
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/ExtremalTupleByNthField.java,230,811
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/IsDouble.java,82,160
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/IsFloat.java,82,160
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/IsInt.java,83,163
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/IsLong.java,82,160
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/IsNumeric.java,94,192
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/MaxTupleBy1stField.java,128,356
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Over.java,266,2059
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Stitch.java,116,415
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/DiffDate.java,96,287
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/convert/CustomFormatToISO.java,119,368
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/convert/ISOToUnix.java,111,288
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/convert/UnixToISO.java,109,289
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/diff/ISODaysBetween.java,118,383
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/diff/ISOHoursBetween.java,115,366
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/diff/ISOMinutesBetween.java,115,366
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/diff/ISOMonthsBetween.java,119,383
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/diff/ISOSecondsBetween.java,115,357
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/diff/ISOYearsBetween.java,116,357
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOHelper.java,91,221
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToDay.java,120,392
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToHour.java,120,386
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToMinute.java,120,382
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToMonth.java,120,397
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToSecond.java,120,376
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToWeek.java,124,411
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToYear.java,120,398
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/decode/Bin.java,93,224
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/decode/BinCond.java,93,232
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/decode/Decode.java,90,218
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/ABS.java,120,342
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/ACOS.java,77,139
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/ASIN.java,77,139
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/ATAN.java,77,139
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/ATAN2.java,81,132
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/Base.java,64,114
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/CBRT.java,77,134
