metadata,unique_words,total_words
org.apache.pig.piggybank.evaluation.datetime.diff.ISOYearsBetween.exec(Tuple),11,29
org.apache.pig.piggybank.evaluation.datetime.diff.ISOYearsBetween.outputSchema(Schema),8,16
org.apache.pig.piggybank.evaluation.datetime.diff.ISOYearsBetween.getArgToFuncMapping(),15,41
org.apache.pig.piggybank.evaluation.math.LOG.compute(Double),4,5
org.apache.pig.piggybank.evaluation.math.DoubleSignum.exec(Tuple),10,18
org.apache.pig.piggybank.evaluation.math.DoubleSignum.outputSchema(Schema),8,16
org.apache.pig.piggybank.evaluation.math.FloatRound.exec(Tuple),11,19
org.apache.pig.piggybank.evaluation.math.FloatRound.outputSchema(Schema),9,17
org.apache.pig.piggybank.evaluation.math.DoubleNextAfter.exec(Tuple),7,16
org.apache.pig.piggybank.evaluation.math.DoubleNextAfter.outputSchema(Schema),8,16
org.apache.pig.piggybank.evaluation.IsFloat.exec(Tuple),17,32
org.apache.pig.piggybank.evaluation.IsFloat.outputSchema(Schema),6,11
"org.apache.pig.piggybank.evaluation.math.ATAN2.compute(Double,Double)",4,7
org.apache.pig.piggybank.evaluation.math.SINH.compute(Double),4,5
org.apache.pig.piggybank.evaluation.math.NEXTUP.exec(Tuple),32,49
org.apache.pig.piggybank.evaluation.math.NEXTUP.outputSchema(Schema),8,16
org.apache.pig.piggybank.evaluation.math.NEXTUP.getArgToFuncMapping(),16,58
org.apache.pig.piggybank.evaluation.math.COSH.compute(Double),4,5
org.apache.pig.piggybank.evaluation.string.RegexExtractAll.exec(Tuple),25,65
org.apache.pig.piggybank.evaluation.string.RegexExtractAll.outputSchema(Schema),10,18
org.apache.pig.piggybank.evaluation.string.RegexExtractAll.getArgToFuncMapping(),15,41
org.apache.pig.piggybank.evaluation.math.SCALB.exec(Tuple),43,70
org.apache.pig.piggybank.evaluation.math.SCALB.outputSchema(Schema),8,16
org.apache.pig.piggybank.evaluation.math.SCALB.getArgToFuncMapping(),16,49
org.apache.pig.piggybank.storage.CSVLoader.CSVLoader(),2,2
org.apache.pig.piggybank.storage.CSVLoader.getNext(),48,135
"org.apache.pig.piggybank.storage.CSVLoader.readField(ByteBuffer,int)",15,30
"org.apache.pig.piggybank.storage.CSVLoader.setLocation(String,Job)",10,18
org.apache.pig.piggybank.storage.CSVLoader.getInputFormat(),8,17
"org.apache.pig.piggybank.storage.CSVLoader.prepareToRead(RecordReader,PigSplit)",10,13
org.apache.pig.piggybank.storage.CSVLoader.pushProjection(RequiredFieldList),22,68
org.apache.pig.piggybank.storage.CSVLoader.setUDFContextSignature(String),5,8
org.apache.pig.piggybank.storage.CSVLoader.getFeatures(),8,11
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testMin(),17,46
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testMax(),17,47
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testMaxComplexKey(),19,60
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testMinComplexKey(),19,60
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testMinStringey(),20,63
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testBiggerBag(),23,151
org.apache.pig.piggybank.test.evaluation.TestExtremalTupleByNthField.testBiggerTuple(),23,93
