metadata,unique_words,total_words
c3cda3e55a4ca5fbe035423e8843ac81f61a1f45,2,2
1d1ad9aae1dcfeff474a8a0c73875aa29f35ccdd,2704,60474
6b46acb9f1b2dfefa2f5416bf16d5c56069da585,103,170
988bf43d31f97cd4598a23dd8a480bbbe46cd6b3,0,0
d1f7e44abd532b41199d0434b0bc0ca2644d6c3c,3,3
40d88686c8e604e8f34a83ee2c825db8b64095c2,0,0
b5d2a9c750783da3ec344276e856c7f2ffe8dbc9,0,0
b235cddb48c3293c79f6e7460e31ef34885cdcf6,98,416
9210ef555c5df9160ce4d225daf3cf36c26ed7d5,345,734
db371292cbea8d8934c6a4fe022c04d973d915b8,61,173
b6dec267d6e2680a37ed49943e78780e8662435f,58,116
db2ddaaaa96244ad045e86fc6f70bf36e5535a41,112,958
36e5d3a0d88aeb322ee474e52dec83abd614929b,112,947
b685d49dba19b9e3f75a91be026bbb1bb460f4d4,1469,16915
b58e4d41f2c2b6c5cda9e87d098ac5c4daa3b53d,12,28
49ef0b8800ba0c85fc7cda0ac53741886a5d58f5,12,32
0a2020641a66efd709e2ad1c27e3e55ba7e149c8,206,2097
118e3eade91ceef3ca018e5f74408b81af0d67c0,244,5560
26218f50c9210e5060b088e015a3df3866cee3d1,124,565
c1dec5c97f2b5c996dd0d81e988ee017d34f31a7,0,0
341ea67f57198aaea0e4e0a00dfeabd74cb2be4f,120,333
7fe378ebf9c33d19b60f528458e178549571afde,110,651
e3a24f54e380e1c8e5f108a0946f2457fd06644c,480,4520
040c4064fdff4724827e34b3f594e08457d38439,701,12800
7582dd2931368f597c7500f33d015ad537af3ede,53,183
ee6fd1451f4a04f72ab6318db63bcf984c27192e,15,17
fe81cc45be5e840787731a7bb1ef03787283d0c5,55,148
ad439fa2a490c5342a783cf08c3e20a580d11129,427,1428
c0468aaa5801af3a1d4cc0bb8fe480b37dc51192,14,21
00b5b8cd8f14dc5ead08dd0b5dc6d1a3b5bf9149,103,1512
3169076a529c6c8fb691606f6aaea9aa2c2dd3e4,105,611
c3cf2f7d11e16bf7ba871d810d6ba35a90339ab3,161,604
b57945ca4e21d107092a7667834d3f2d6ed90063,40,117
fd0b235f01abcbd486ed812b820f6eb7b31a1fbc,0,0
7075b2e083df8b841e96d99a2ba03cd77a3b3581,0,0
73bbee756095524f04dad4bfe2b6f8023f5a9045,96,379
70d19fb0b27d70208abdfadb07b4a8ed2c0cee18,368,1259
