sha,change_type,name,additions,removals,context,message
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/CHM2XHTML.java,22,22,8,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/CHMDocumentInformation.java,147,148,15,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/ChmParser.java,20,19,6,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmAccessor.java,8,8,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmDirectoryListingSet.java,365,356,10,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmItsfHeader.java,455,455,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmItspHeader.java,503,503,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmLzxcControlData.java,274,274,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmLzxcResetTable.java,316,316,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmPmgiHeader.java,111,113,24,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/ChmPmglHeader.java,150,150,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/accessor/DirectoryListingEntry.java,107,107,19,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/assertion/ChmAssert.java,113,121,20,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/core/ChmCommons.java,366,340,11,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/core/ChmConstants.java,74,74,10,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/core/ChmExtractor.java,356,343,10,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/core/ChmWrapper.java,91,91,30,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/exception/ChmParsingException.java,7,7,6,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/lzx/ChmBlockInfo.java,197,197,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/lzx/ChmLzxBlock.java,871,868,10,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/lzx/ChmLzxState.java,282,282,4,4
77496972f24b850d371ad7a9d4b1303d6da70d74,M,tika-parsers/src/main/java/org/apache/tika/parser/chm/lzx/ChmSection.java,182,183,4,4
0906767d053f0d9a2e6513f77a203af48a35cf80,A,tika-parsers/src/test/resources/test-documents/testEXCEL_custom_props.xls,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,A,tika-parsers/src/test/resources/test-documents/testEXCEL_custom_props.xlsx,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,A,tika-parsers/src/test/resources/test-documents/testPPT_custom_props.ppt,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,A,tika-parsers/src/test/resources/test-documents/testPPT_custom_props.pptx,0,0,0,4
