sha,issues,change_type,name,additions,removals,context,message
0906767d053f0d9a2e6513f77a203af48a35cf80,695,A,tika-parsers/src/test/resources/test-documents/testEXCEL_custom_props.xls,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,695,A,tika-parsers/src/test/resources/test-documents/testEXCEL_custom_props.xlsx,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,695,A,tika-parsers/src/test/resources/test-documents/testPPT_custom_props.ppt,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,695,A,tika-parsers/src/test/resources/test-documents/testPPT_custom_props.pptx,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,695,A,tika-parsers/src/test/resources/test-documents/testWORD_custom_props.doc,0,0,0,4
0906767d053f0d9a2e6513f77a203af48a35cf80,695,A,tika-parsers/src/test/resources/test-documents/testWORD_custom_props.docx,0,0,0,4
fbd3e7f1e3ba25e7d69b09a4bc4bc3e54a269ae3,1558,A,tika-parsers/src/test/java/org/apache/tika/config/TikaParserConfigTest.java,137,0,0,4
fbd3e7f1e3ba25e7d69b09a4bc4bc3e54a269ae3,1558,A,tika-parsers/src/test/resources/org/apache/tika/config/TIKA-1558-blacklist.xml,29,0,0,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,920,M,CHANGES.txt,3,0,6,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,920,M,tika-app/src/main/java/org/apache/tika/cli/TikaCLI.java,4,2,6,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,920,M,tika-app/src/test/java/org/apache/tika/cli/TikaCLITest.java,22,11,70,4
bd0013ba25cd55650e62f77a4fb81c99c3ee3da2,920,A,tika-app/src/test/resources/test-data/testMultipleSheets.numbers,0,0,0,4
e818c00c527eb751999f3c5bb3e3d268b5aa5652,262,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/OfficeParser.java,16,5,33,6
70ca6cee9ec87b9fa596ecba2ce0035c204a34a2,149,M,CHANGES.txt,3,1,6,6
70ca6cee9ec87b9fa596ecba2ce0035c204a34a2,149,M,src/main/java/org/apache/tika/parser/zip/ZipParser.java,40,13,20,6
aceff84889da091010bcd893809427428a8b68a6,48,M,CHANGES.txt,2,0,3,9
aceff84889da091010bcd893809427428a8b68a6,48,A,src/main/java/org/apache/tika/ms/MSParser.java,75,0,0,9
aceff84889da091010bcd893809427428a8b68a6,48,A,src/main/java/org/apache/tika/ms/PropertiesReaderListener.java,107,0,0,9
aceff84889da091010bcd893809427428a8b68a6,48,D,src/main/java/org/apache/tika/parser/msexcel/ExcelExtractor.java,0,91,0,9
aceff84889da091010bcd893809427428a8b68a6,48,M,src/main/java/org/apache/tika/parser/msexcel/MsExcelParser.java,55,13,13,9
aceff84889da091010bcd893809427428a8b68a6,48,M,src/main/java/org/apache/tika/parser/mspowerpoint/ContentReaderListener.java,7,13,27,9
aceff84889da091010bcd893809427428a8b68a6,48,M,src/main/java/org/apache/tika/parser/mspowerpoint/MsPowerPointParser.java,11,14,13,9
aceff84889da091010bcd893809427428a8b68a6,48,D,src/main/java/org/apache/tika/parser/mspowerpoint/PPTExtractor.java,0,55,0,9
aceff84889da091010bcd893809427428a8b68a6,48,M,src/main/java/org/apache/tika/parser/msword/MsWordParser.java,166,13,14,9
aceff84889da091010bcd893809427428a8b68a6,48,D,src/main/java/org/apache/tika/parser/msword/WordExtractor.java,0,229,0,9
aceff84889da091010bcd893809427428a8b68a6,48,D,src/main/java/org/apache/tika/utils/MSExtractor.java,0,160,0,9
bea95ec81acdd04bada5651d37e0e605ed4f8222,1575,M,tika-parsers/pom.xml,1,1,6,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,92,M,tika-parsers/src/main/java/org/apache/tika/parser/image/ImageParser.java,0,1,6,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,92,A,tika-parsers/src/main/java/org/apache/tika/parser/image/TiffExtractor.java,64,0,0,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,92,A,tika-parsers/src/main/java/org/apache/tika/parser/image/TiffParser.java,68,0,0,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,92,M,tika-parsers/src/main/resources/META-INF/services/org.apache.tika.parser.Parser,1,0,6,6
0a4c37c6a4b95e530ba19d860f9e6dadf4b41d2f,92,A,tika-parsers/src/test/java/org/apache/tika/parser/image/TiffParserTest.java,42,0,0,6
0fadbd15f0fe277718e41d209347b2c6d5da9628,1292,M,tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java,27,0,4,4
0fadbd15f0fe277718e41d209347b2c6d5da9628,1292,M,tika-core/src/test/resources/org/apache/tika/mime/custom-mimetypes.xml,9,0,4,4
