algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,317.461457609,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,308.144883454,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,263.894371291,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,131.78924196,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,156.070585546,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,179.902661976,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,140.2202516,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,158.186399045,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,171.804925552,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,164.83532018,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,169.596846409,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,169.963521355,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,318.436130967,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,309.53080446,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,265.416492693,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,132.187130142,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,158.602020059,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,180.79235629,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,140.700229133,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,158.90832667,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,172.739161782,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,165.55208335,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,170.521796447,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,172.910946262,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,318.835691011,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,309.198321642,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,264.858266417,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,132.222361921,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,158.239478025,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,180.374886299,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,140.625012823,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,158.806261803,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,171.941209891,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,166.079355964,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,170.395075497,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,170.875790417,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,322.388588945,True,True,False,True
