algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,170.958150922,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,169.990223689,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,164.653100036,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,151.469035535,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,154.810727673,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,156.181541795,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,154.279723307,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,156.264553726,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,156.060574903,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,160.793609648,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,159.895594918,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,157.48671297,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,170.962818849,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,170.001976406,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,164.672785947,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,151.473204256,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,155.045785033,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,156.197221016,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,154.284503258,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,156.274530865,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,156.075777347,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,160.800534526,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,159.909847371,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,157.737434146,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,170.964378168,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,169.955708801,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,164.641854291,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,151.437314311,True,True,False,True
